S_meliloti|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20002,SM_b20002,100.000,358,0,0,1,358,1,358,0.0,722
SM_b20003,SM_b20003,100.000,258,0,0,1,258,1,258,0.0,511
SM_b20004,SM_b20004,100.000,301,0,0,1,301,1,301,0.0,603
SM_b20005,SM_b20005,100.000,203,0,0,1,203,1,203,6.52e-148,407
SM_b20006,SM_b20006,100.000,317,0,0,1,317,1,317,0.0,640
SM_b20007,SM_b20007,100.000,705,0,0,1,705,1,705,0.0,1446
SM_b20008,SM_b20008,100.000,355,0,0,1,355,1,355,0.0,724
SM_b20009,SM_b20009,100.000,309,0,0,1,309,1,309,0.0,602
SM_b20010,SM_b20010,100.000,355,0,0,1,355,1,355,0.0,704
SM_b20011,SM_b20011,100.000,259,0,0,1,259,1,259,0.0,511
SM_b20012,SM_b20012,100.000,847,0,0,1,847,1,847,0.0,1702
SM_b20013,SM_b20013,100.000,414,0,0,1,414,1,414,0.0,848
SM_b20014,SM_b20014,100.000,333,0,0,1,333,1,333,0.0,670
SM_b20015,SM_b20015,100.000,318,0,0,1,318,1,318,0.0,602
SM_b20016,SM_b20016,100.000,330,0,0,1,330,1,330,0.0,627
SM_b20017,SM_b20017,100.000,501,0,0,1,501,1,501,0.0,996
SM_b20018,SM_b20018,100.000,340,0,0,1,340,1,340,0.0,682
SM_b20019,SM_b20019,100.000,378,0,0,1,378,1,378,0.0,763
SM_b20020,SM_b20020,100.000,692,0,0,1,692,1,692,0.0,1417
SM_b20021,SM_b20021,100.000,156,0,0,1,156,1,156,1.37e-115,321
SM_b20022,SM_b20022,100.000,188,0,0,1,188,1,188,3.27e-136,376
SM_b20023,SM_b20023,100.000,1205,0,0,1,1205,1,1205,0.0,2446
SM_b20024,SM_b20024,100.000,320,0,0,1,320,1,320,0.0,641
SM_b20025,SM_b20025,100.000,325,0,0,1,325,1,325,0.0,662
SM_b20026,SM_b20026,100.000,153,0,0,1,153,1,153,1.87e-105,295
SM_b20027,SM_b20027,100.000,501,0,0,1,501,1,501,0.0,976
SM_b20028,SM_b20028,100.000,378,0,0,1,378,1,378,0.0,778
SM_b20029,SM_b20029,100.000,157,0,0,1,157,1,157,1.29e-113,316
SM_b20030,SM_b20030,100.000,285,0,0,1,285,1,285,0.0,574
SM_b20031,SM_b20031,100.000,82,0,0,1,82,1,82,1.53e-55,163
SM_b20032,SM_b20032,100.000,244,0,0,1,244,1,244,2.05e-179,489
SM_b20033,SM_b20033,100.000,220,0,0,1,220,1,220,1.15e-163,448
SM_b20034,SM_b20034,100.000,187,0,0,1,187,1,187,1.73e-135,374
SM_b20035,SM_b20035,100.000,426,0,0,1,426,1,426,0.0,815
SM_b20036,SM_b20036,100.000,338,0,0,1,338,1,338,0.0,687
SM_b20037,SM_b20037,100.000,286,0,0,1,286,1,286,0.0,571
SM_b20038,SM_b20038,100.000,75,0,0,1,75,1,75,2.43e-48,145
SM_b20039,SM_b20039,100.000,474,0,0,1,474,1,474,0.0,952
SM_b20040,SM_b20040,100.000,286,0,0,1,286,1,286,0.0,549
SM_b20041,SM_b20041,100.000,176,0,0,1,176,1,176,1.49e-124,345
SM_b20042,SM_b20042,100.000,385,0,0,1,385,1,385,0.0,749
SM_b20043,SM_b20043,100.000,280,0,0,1,280,1,280,0.0,570
SM_b20044,SM_b20044,100.000,436,0,0,1,436,1,436,0.0,886
SM_b20045,SM_b20045,100.000,334,0,0,1,334,1,334,0.0,665
SM_b20046,SM_b20046,100.000,398,0,0,1,398,1,398,0.0,824
SM_b20047,SM_b20047,100.000,62,0,0,1,62,1,62,1.87e-42,129
SM_b20048,SM_b20048,100.000,235,0,0,1,235,1,235,1.61e-174,476
SM_b20049,SM_b20049,100.000,653,0,0,1,653,1,653,0.0,1328
SM_b20050,SM_b20050,100.000,169,0,0,1,169,1,169,1.09e-112,315
SM_b20054,SM_b20054,100.000,275,0,0,1,275,1,275,0.0,564
SM_b20055,SM_b20055,100.000,329,0,0,1,329,1,329,0.0,671
SM_b20056,SM_b20056,100.000,355,0,0,1,355,1,355,0.0,722
SM_b20057,SM_b20057,100.000,347,0,0,1,347,1,347,0.0,655
SM_b20058,SM_b20058,100.000,266,0,0,1,266,1,266,0.0,531
SM_b20059,SM_b20059,100.000,259,0,0,1,259,1,259,0.0,528
SM_b20060,SM_b20060,100.000,398,0,0,1,398,1,398,0.0,813
SM_b20061,SM_b20061,100.000,51,0,0,1,51,1,51,5.66e-33,104
SM_b20062,SM_b20062,100.000,82,0,0,1,82,1,82,6.81e-56,164
SM_b20063,SM_b20063,100.000,98,0,0,1,98,1,98,7.06e-70,201
SM_b20064,SM_b20064,100.000,148,0,0,1,148,1,148,9.29e-108,300
SM_b20065,SM_b20065,100.000,132,0,0,1,132,1,132,1.74e-93,263
SM_b20066,SM_b20066,100.000,61,0,0,1,61,1,61,1.38e-38,119
SM_b20067,SM_b20067,100.000,173,0,0,1,173,1,173,1.42e-124,345
SM_b20068,SM_b20068,100.000,69,0,0,1,69,1,69,2.65e-47,142
SM_b20069,SM_b20069,100.000,467,0,0,1,467,1,467,0.0,918
SM_b20070,SM_b20070,100.000,495,0,0,1,495,1,495,0.0,981
SM_b20071,SM_b20071,100.000,397,0,0,1,397,1,397,0.0,748
SM_b20072,SM_b20072,100.000,309,0,0,1,309,1,309,0.0,628
SM_b20073,SM_b20073,100.000,285,0,0,1,285,1,285,0.0,588
SM_b20074,SM_b20074,100.000,80,0,0,1,80,1,80,3.73e-52,155
SM_b20075,SM_b20075,100.000,63,0,0,1,63,1,63,4.40e-41,125
SM_b20076,SM_b20076,100.000,338,0,0,1,338,1,338,0.0,672
SM_b20077,SM_b20077,100.000,554,0,0,1,554,1,554,0.0,1122
SM_b20078,SM_b20078,100.000,211,0,0,1,211,1,211,1.32e-153,422
SM_b20079,SM_b20079,100.000,1072,0,0,1,1072,1,1072,0.0,1986
SM_b20080,SM_b20080,100.000,389,0,0,1,389,1,389,0.0,796
SM_b20081,SM_b20081,100.000,236,0,0,1,236,1,236,7.18e-174,475
SM_b20082,SM_b20082,100.000,272,0,0,1,272,1,272,0.0,558
SM_b20083,SM_b20083,100.000,79,0,0,1,79,1,79,5.24e-54,159
SM_b20084,SM_b20084,100.000,57,0,0,1,57,1,57,7.41e-31,99.8
SM_b20085,SM_b20085,100.000,48,0,0,1,48,1,48,2.20e-28,92.8
SM_b20086,SM_b20086,100.000,100,0,0,1,100,1,100,5.19e-71,204
SM_b20087,SM_b20087,100.000,201,0,0,1,201,1,201,7.22e-138,381
SM_b20088,SM_b20088,100.000,658,0,0,1,658,1,658,0.0,1339
SM_b20089,SM_b20089,100.000,107,0,0,1,107,1,107,1.65e-75,216
SM_b20090,SM_b20090,100.000,63,0,0,1,63,1,63,1.41e-42,129
SM_b20091,SM_b20091,100.000,168,0,0,1,168,1,168,9.47e-125,345
SM_b20092,SM_b20092,100.000,252,0,0,1,252,1,252,0.0,505
SM_b20093,SM_b20093,100.000,313,0,0,1,313,1,313,0.0,609
SM_b20094,SM_b20094,100.000,590,0,0,1,590,1,590,0.0,1197
SM_b20095,SM_b20095,100.000,605,0,0,1,605,1,605,0.0,1233
SM_b20096,SM_b20096,100.000,146,0,0,1,146,1,146,9.75e-107,298
SM_b20097,SM_b20097,100.000,409,0,0,1,409,1,409,0.0,843
SM_b20098,SM_b20098,100.000,131,0,0,1,131,1,131,1.79e-93,263
SM_b20099,SM_b20099,100.000,544,0,0,1,544,1,544,0.0,1099
SM_b20100,SM_b20100,100.000,328,0,0,1,328,1,328,0.0,666
SM_b20101,SM_b20101,100.000,426,0,0,1,426,1,426,0.0,872
SM_b20102,SM_b20102,100.000,627,0,0,1,627,1,627,0.0,1264
SM_b20103,SM_b20103,100.000,600,0,0,1,600,1,600,0.0,1240
SM_b20104,SM_b20104,100.000,252,0,0,1,252,1,252,1.83e-176,483
SM_b20105,SM_b20105,100.000,210,0,0,1,210,1,210,2.45e-155,426
SM_b20106,SM_b20106,100.000,243,0,0,1,243,1,243,6.84e-179,488
SM_b20107,SM_b20107,100.000,318,0,0,1,318,1,318,0.0,629
SM_b20108,SM_b20108,100.000,502,0,0,1,502,1,502,0.0,1037
SM_b20109,SM_b20109,100.000,307,0,0,1,307,1,307,0.0,600
SM_b20110,SM_b20110,100.000,315,0,0,1,315,1,315,0.0,622
SM_b20111,SM_b20111,100.000,546,0,0,1,546,1,546,0.0,1113
SM_b20112,SM_b20112,100.000,295,0,0,1,295,1,295,0.0,556
SM_b20113,SM_b20113,100.000,310,0,0,1,310,1,310,0.0,619
SM_b20114,SM_b20114,100.000,241,0,0,1,241,1,241,0.0,496
SM_b20115,SM_b20115,100.000,573,0,0,1,573,1,573,0.0,1179
SM_b20116,SM_b20116,100.000,734,0,0,1,734,1,734,0.0,1494
SM_b20117,SM_b20117,100.000,366,0,0,1,366,1,366,0.0,746
SM_b20118,SM_b20118,100.000,139,0,0,1,139,1,139,1.44e-100,281
SM_b20119,SM_b20119,100.000,118,0,0,1,118,1,118,1.01e-84,240
SM_b20121,SM_b20121,100.000,91,0,0,1,91,1,91,8.17e-64,185
SM_b20122,SM_b20122,100.000,111,0,0,1,111,1,111,5.48e-78,222
SM_b20123,SM_b20123,100.000,298,0,0,1,298,1,298,0.0,598
SM_b20124,SM_b20124,100.000,508,0,0,1,508,1,508,0.0,1009
SM_b20125,SM_b20125,100.000,310,0,0,1,310,1,310,0.0,598
SM_b20126,SM_b20126,100.000,365,0,0,1,365,1,365,0.0,709
SM_b20127,SM_b20127,100.000,326,0,0,1,326,1,326,0.0,657
SM_b20128,SM_b20128,100.000,437,0,0,1,437,1,437,0.0,877
SM_b20129,SM_b20129,100.000,259,0,0,1,259,1,259,0.0,515
SM_b20130,SM_b20130,100.000,287,0,0,1,287,1,287,0.0,572
SM_b20131,SM_b20131,100.000,161,0,0,1,161,1,161,1.40e-118,329
SM_b20132,SM_b20132,100.000,772,0,0,1,772,1,772,0.0,1582
SM_b20133,SM_b20133,100.000,349,0,0,1,349,1,349,0.0,708
SM_b20134,SM_b20134,100.000,463,0,0,1,463,1,463,0.0,910
SM_b20135,SM_b20135,100.000,210,0,0,1,210,1,210,8.95e-155,424
SM_b20136,SM_b20136,100.000,457,0,0,1,457,1,457,0.0,939
