Melitensis16M|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00005,OANT_RS04410,95.601,341,15,0,1,341,1,341,0.0,669
BME_RS00010,OANT_RS04415,85.955,178,25,0,1,178,1,178,2.17e-115,322
BME_RS00020,OANT_RS04420,99.522,418,2,0,1,418,4,421,0.0,843
BME_RS00025,OANT_RS04425,82.289,463,82,0,6,468,12,474,0.0,816
BME_RS00030,OANT_RS04430,81.900,442,80,0,1,442,1,442,0.0,736
BME_RS00035,OANT_RS04435,86.950,636,83,0,1,636,1,636,0.0,1107
BME_RS00040,OANT_RS04440,87.264,212,27,0,1,212,1,212,9.95e-137,379
BME_RS00045,OANT_RS04445,95.849,265,11,0,1,265,1,265,0.0,513
BME_RS00050,OANT_RS04450,94.198,293,17,0,1,293,1,293,0.0,557
BME_RS00055,OANT_RS04455,89.914,347,35,0,1,347,1,347,0.0,642
BME_RS00060,OANT_RS04465,93.182,264,18,0,1,264,1,264,0.0,495
BME_RS00065,OANT_RS04470,96.939,294,9,0,1,294,1,294,0.0,550
BME_RS00070,OANT_RS04475,96.215,317,12,0,5,321,1,317,0.0,604
BME_RS00080,OANT_RS04480,89.412,340,36,0,1,340,1,340,0.0,638
BME_RS00085,OANT_RS04485,86.632,389,52,0,1,389,1,389,0.0,698
BME_RS00090,OANT_RS04490,94.034,352,20,1,1,352,1,351,0.0,661
BME_RS00095,OANT_RS04495,92.192,333,26,0,1,333,1,333,0.0,604
BME_RS00100,OANT_RS04500,89.118,533,21,1,1,496,1,533,0.0,945
BME_RS00105,OANT_RS04505,94.545,110,6,0,1,110,1,110,4.25e-70,213
BME_RS00110,OANT_RS04510,95.850,506,21,0,1,506,1,506,0.0,997
BME_RS00115,OANT_RS04515,88.259,494,58,0,1,494,1,494,0.0,874
BME_RS00120,OANT_RS04520,91.339,254,22,0,1,254,1,254,1.04e-147,410
BME_RS00125,OANT_RS04525,96.078,102,4,0,1,102,1,102,2.75e-63,210
BME_RS00135,OANT_RS04530,85.185,27,4,0,1,27,1,27,1.60e-11,55.8
BME_RS00140,OANT_RS04535,92.520,254,19,0,1,254,1,254,5.23e-177,484
BME_RS00145,OANT_RS04665,100.000,25,0,0,1,25,1,25,9.25e-12,48.9
BME_RS00150,OANT_RS04670,93.798,387,24,0,1,387,1,387,0.0,733
BME_RS00155,OANT_RS04675,85.714,371,53,0,1,371,1,371,0.0,636
BME_RS00160,OANT_RS04680,84.461,399,32,2,1,387,1,381,0.0,647
BME_RS00165,OANT_RS04685,84.000,75,12,0,4,78,4,78,6.05e-46,139
BME_RS00170,OANT_RS04690,84.223,412,56,3,1,403,1,412,0.0,693
BME_RS00175,OANT_RS04695,95.584,317,14,0,1,317,1,317,0.0,593
BME_RS00180,OANT_RS04700,87.622,307,38,0,1,307,1,307,0.0,528
BME_RS00185,OANT_RS04705,76.000,50,12,0,1,50,1,50,1.72e-23,81.6
BME_RS00190,OANT_RS04710,80.102,196,39,0,1,196,1,196,4.72e-117,328
BME_RS00195,OANT_RS04715,88.533,375,43,0,1,375,1,375,0.0,658
BME_RS00200,OANT_RS04720,88.657,432,49,0,1,432,1,432,0.0,778
BME_RS00205,OANT_RS04725,79.612,103,21,0,1,103,1,103,6.98e-54,160
BME_RS00210,OANT_RS04730,92.344,209,16,0,1,209,1,209,3.22e-150,412
BME_RS00215,OANT_RS04735,96.951,328,10,0,1,328,1,328,0.0,663
BME_RS00220,OANT_RS04740,96.172,627,24,0,1,627,1,627,0.0,1154
BME_RS00235,OANT_RS04770,79.527,845,132,5,1,809,5,844,0.0,1280
BME_RS00240,OANT_RS04765,80.714,140,27,0,1,140,2,141,1.12e-83,239
BME_RS00245,OANT_RS04760,81.041,269,46,1,8,271,8,276,3.34e-163,451
BME_RS00250,OANT_RS04755,96.875,96,3,0,1,96,1,96,4.97e-67,193
BME_RS00255,OANT_RS04750,89.671,213,22,0,8,220,3,215,2.35e-139,386
BME_RS00285,OANT_RS04990,88.398,181,21,0,1,181,1,181,5.86e-114,318
BME_RS00290,OANT_RS04985,98.678,227,3,0,1,227,1,227,6.86e-166,454
BME_RS00295,OANT_RS04980,88.591,149,17,0,1,149,1,149,7.47e-95,268
BME_RS00300,OANT_RS04970,89.925,268,27,0,1,268,1,268,0.0,508
BME_RS00305,OANT_RS04965,88.312,231,26,1,1,231,1,230,1.28e-143,398
BME_RS00310,OANT_RS05065,94.737,228,12,0,1,228,1,228,4.54e-150,414
BME_RS00315,OANT_RS05070,75.610,82,20,0,9,90,9,90,1.09e-44,136
BME_RS00320,OANT_RS05080,96.804,219,7,0,1,219,1,219,3.26e-155,426
BME_RS00325,OANT_RS05085,90.606,330,31,0,4,333,18,347,0.0,606
BME_RS00330,OANT_RS05090,67.778,270,85,1,22,289,22,291,6.79e-139,392
BME_RS00335,OANT_RS05095,94.595,259,14,0,1,259,1,259,1.71e-177,486
BME_RS00340,OANT_RS05100,99.432,176,1,0,1,176,1,176,3.40e-130,359
BME_RS00345,OANT_RS05105,92.708,96,7,0,1,96,1,96,1.06e-60,177
BME_RS00355,OANT_RS05110,84.024,169,27,0,6,174,11,179,2.88e-107,302
BME_RS00360,OANT_RS05115,74.926,339,85,0,1,339,1,339,0.0,532
BME_RS00365,OANT_RS05120,91.909,309,25,0,1,309,1,309,0.0,587
BME_RS00370,OANT_RS05125,91.576,368,31,0,1,368,1,368,0.0,676
BME_RS00375,OANT_RS05130,87.739,261,27,2,1,259,1,258,8.45e-171,469
BME_RS00380,OANT_RS05135,96.067,178,7,0,1,178,1,178,6.22e-123,341
BME_RS00385,OANT_RS05140,77.156,893,182,6,2,877,10,897,0.0,1296
BME_RS00390,OANT_RS05145,92.874,421,30,0,1,421,1,421,0.0,794
BME_RS00395,OANT_RS05150,83.333,60,10,0,1,60,1,60,2.05e-24,83.2
BME_RS00400,OANT_RS05155,96.567,466,16,0,1,466,1,466,0.0,930
BME_RS00405,OANT_RS05160,89.076,238,26,0,1,238,1,238,9.18e-159,437
BME_RS00410,OANT_RS05170,88.608,158,18,0,1,158,1,158,6.26e-102,286
BME_RS00415,OANT_RS05180,92.606,284,21,0,1,284,1,284,0.0,511
BME_RS00420,OANT_RS05185,82.117,274,49,0,7,280,11,284,4.90e-175,481
BME_RS00425,OANT_RS05190,89.552,67,7,0,1,67,1,67,3.60e-30,98.2
BME_RS00430,OANT_RS05195,87.179,195,24,1,1,194,1,195,5.92e-117,328
BME_RS00435,OANT_RS05200,81.513,238,44,0,15,252,9,246,4.19e-149,413
BME_RS00440,OANT_RS05205,84.259,108,17,0,1,108,1,108,3.11e-66,193
BME_RS00445,OANT_RS05210,84.914,232,35,0,1,232,1,232,1.87e-147,407
BME_RS00450,OANT_RS05215,98.790,248,3,0,1,248,1,248,6.17e-176,481
BME_RS00455,OANT_RS05220,96.440,309,11,0,1,309,1,309,0.0,585
BME_RS00460,OANT_RS05225,95.533,291,13,0,1,291,3,293,0.0,578
BME_RS00465,OANT_RS05230,89.939,328,32,1,1,327,1,328,0.0,528
BME_RS00470,OANT_RS05235,85.906,149,21,0,1,149,1,149,3.34e-88,251
BME_RS00475,OANT_RS05240,92.272,427,33,0,1,427,1,427,0.0,812
BME_RS00480,OANT_RS17425,25.330,454,277,21,9,435,11,429,3.50e-15,74.3
BME_RS00485,OANT_RS17590,28.797,316,195,7,4,314,8,298,8.31e-19,82.8
BME_RS00490,OANT_RS06180,30.052,193,133,2,16,208,12,202,3.27e-21,85.5
BME_RS00495,OANT_RS17590,36.808,307,171,5,8,311,5,291,4.76e-46,156
BME_RS00500,OANT_RS13250,71.888,249,70,0,3,251,21,269,4.34e-141,394
BME_RS00505,OANT_RS15645,46.067,445,233,5,11,452,4,444,1.17e-127,376
BME_RS00510,OANT_RS23230,62.025,316,120,0,5,320,3,318,8.32e-147,414
BME_RS00515,OANT_RS18200,52.632,247,117,0,6,252,13,259,7.86e-90,265
BME_RS00520,OANT_RS14770,35.514,214,138,0,4,217,2,215,1.00e-38,131
BME_RS00525,OANT_RS21025,39.490,157,94,1,5,160,60,216,2.72e-32,112
BME_RS00530,OANT_RS19665,31.008,258,165,3,9,265,7,252,3.13e-28,106
BME_RS00535,OANT_RS19785,25.497,302,212,7,12,304,2,299,8.00e-17,76.6
BME_RS00545,OANT_RS05245,100.000,28,0,0,1,28,1,28,2.93e-14,55.5
BME_RS00555,OANT_RS05250,77.022,544,125,0,1,544,1,544,0.0,912
BME_RS00560,OANT_RS05255,86.215,428,59,0,1,428,1,428,0.0,772
BME_RS00570,OANT_RS05265,95.585,906,40,0,1,906,1,906,0.0,1714
BME_RS00580,OANT_RS05270,84.478,335,39,3,1,331,1,326,0.0,545
BME_RS00585,OANT_RS05275,93.220,413,28,0,1,413,1,413,0.0,763
BME_RS00590,OANT_RS05280,78.884,251,53,0,2,252,6,256,2.78e-148,411
BME_RS00595,OANT_RS05285,89.855,138,14,0,1,138,1,138,2.93e-91,258
BME_RS00600,OANT_RS05290,64.655,116,26,1,1,101,1,116,7.29e-50,151
BME_RS00605,OANT_RS04775,77.381,168,33,1,1,163,1,168,4.74e-93,265
BME_RS00610,OANT_RS04780,86.538,260,35,0,1,260,1,260,1.61e-164,453
BME_RS00615,OANT_RS04785,93.182,220,15,0,1,220,1,220,3.54e-150,413
BME_RS00620,OANT_RS04790,81.579,494,62,4,1,465,1,494,0.0,747
BME_RS00625,OANT_RS04795,93.911,427,26,0,1,427,1,427,0.0,826
BME_RS00630,OANT_RS04800,87.459,303,35,1,1,303,1,300,1.11e-178,492
BME_RS00635,OANT_RS04805,89.385,179,17,1,1,177,1,179,4.88e-105,296
BME_RS00640,OANT_RS04810,87.990,383,46,0,1,383,1,383,0.0,702
BME_RS00645,OANT_RS04815,98.125,320,6,0,1,320,1,320,0.0,633
BME_RS00650,OANT_RS04820,96.985,398,12,0,1,398,1,398,0.0,769
BME_RS00655,OANT_RS04825,98.333,300,5,0,1,300,1,300,0.0,585
BME_RS00660,OANT_RS04830,95.418,1004,42,1,1,1004,1,1000,0.0,2003
BME_RS00665,OANT_RS04835,89.268,410,41,2,1,408,1,409,0.0,666
BME_RS00670,OANT_RS04840,89.781,137,14,0,1,137,1,137,1.73e-72,210
BME_RS00675,OANT_RS04845,92.453,212,16,0,1,212,1,212,2.00e-142,393
BME_RS00680,OANT_RS04850,86.111,180,25,0,1,180,1,180,1.10e-119,333
BME_RS00685,OANT_RS04855,95.966,471,15,1,1,467,1,471,0.0,896
BME_RS00690,OANT_RS04865,61.350,326,126,0,8,333,10,335,4.27e-153,430
BME_RS00695,OANT_RS04870,90.476,315,30,0,1,315,1,315,0.0,575
BME_RS00700,OANT_RS04875,86.702,188,25,0,1,188,1,188,2.02e-118,330
BME_RS00705,OANT_RS04880,85.597,243,32,2,1,240,1,243,2.42e-150,416
BME_RS00710,OANT_RS10345,51.364,220,103,3,1,217,1,219,2.27e-67,204
BME_RS00715,OANT_RS10340,71.429,105,30,0,1,105,1,105,2.21e-55,165
BME_RS00720,OANT_RS10335,61.404,114,43,1,1,113,1,114,1.12e-44,139
BME_RS00730,OANT_RS17720,75.862,58,14,0,9,66,8,65,3.80e-22,83.2
BME_RS00740,OANT_RS04890,97.241,145,4,0,1,145,1,145,9.21e-99,277
BME_RS00745,OANT_RS04895,89.979,469,47,0,1,469,1,469,0.0,868
BME_RS00750,OANT_RS04910,98.026,152,3,0,1,152,1,152,2.65e-108,302
BME_RS00755,OANT_RS04915,93.939,132,8,0,1,132,1,132,9.01e-90,253
BME_RS00760,OANT_RS04920,93.130,131,9,0,1,131,1,131,4.02e-89,252
BME_RS00765,OANT_RS04925,97.068,614,17,1,1,613,1,614,0.0,1233
BME_RS00770,OANT_RS04930,97.683,259,6,0,1,259,1,259,0.0,525
BME_RS00775,OANT_RS04935,89.431,123,13,0,1,123,1,123,3.83e-80,228
BME_RS00780,OANT_RS04945,93.961,414,25,0,1,414,1,414,0.0,773
BME_RS00785,OANT_RS04950,92.333,300,23,0,1,300,1,300,0.0,576
BME_RS00790,OANT_RS04955,93.764,433,27,0,1,433,1,433,0.0,781
BME_RS00795,OANT_RS04960,87.413,858,67,2,1,817,1,858,0.0,1489
BME_RS00800,OANT_RS05000,84.990,493,74,0,1,493,1,493,0.0,872
BME_RS00805,OANT_RS05005,90.141,284,28,0,2,285,7,290,5.85e-166,459
BME_RS00810,OANT_RS05010,85.780,218,31,0,1,218,1,218,2.38e-138,383
BME_RS00815,OANT_RS05015,94.964,139,7,0,1,139,1,139,7.27e-100,280
BME_RS00820,OANT_RS05020,93.750,96,6,0,1,96,1,96,1.07e-53,159
BME_RS00825,OANT_RS05025,84.308,325,51,0,2,326,5,329,0.0,551
BME_RS00830,OANT_RS05030,92.758,359,26,0,1,359,1,359,0.0,657
BME_RS00835,OANT_RS05035,83.439,314,52,0,1,314,1,314,0.0,532
BME_RS00840,OANT_RS05040,72.340,235,65,0,1,235,10,244,1.28e-119,338
BME_RS00845,OANT_RS05045,71.639,476,93,8,1,458,1,452,0.0,607
BME_RS00850,OANT_RS05050,79.137,556,80,5,1,523,1,553,0.0,795
BME_RS00855,OANT_RS05055,75.472,159,39,0,1,159,1,159,5.25e-87,249
BME_RS00860,OANT_RS05060,90.268,411,40,0,2,412,3,413,0.0,726
BME_RS00865,OANT_RS05295,89.116,294,32,0,1,294,1,294,0.0,525
BME_RS00870,OANT_RS05300,82.443,262,46,0,1,262,1,262,7.45e-162,446
