S_meliloti|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20002,AYT27_RS00955,46.518,359,171,7,4,357,4,346,2.87e-106,311
SM_b20003,AYT27_RS06260,37.165,261,156,4,1,255,1,259,2.76e-56,177
SM_b20004,AYT27_RS05920,30.319,188,131,0,4,191,7,194,2.87e-27,103
SM_b20009,AYT27_RS05920,32.456,114,73,1,1,110,5,118,2.78e-09,52.8
SM_b20017,AYT27_RS01235,24.854,515,334,19,19,498,24,520,2.19e-23,99.0
SM_b20019,AYT27_RS08630,33.578,408,219,12,6,376,4,396,4.24e-56,185
SM_b20020,AYT27_RS02985,34.295,312,193,4,379,682,139,446,1.07e-54,190
SM_b20021,AYT27_RS04150,38.000,150,92,1,7,156,1,149,3.12e-36,119
SM_b20024,AYT27_RS01340,39.556,225,129,5,85,306,10,230,2.28e-36,132
SM_b20037,AYT27_RS00015,28.470,281,174,5,10,278,15,280,9.00e-27,102
SM_b20046,AYT27_RS08695,25.514,243,159,6,115,353,3,227,6.76e-21,87.4
SM_b20049,AYT27_RS05375,27.303,608,408,10,49,632,82,679,2.19e-61,213
SM_b20054,AYT27_RS04275,36.735,98,55,4,8,100,12,107,2.53e-08,49.3
SM_b20057,AYT27_RS02560,37.024,289,172,3,65,344,73,360,5.16e-44,151
SM_b20058,AYT27_RS02555,30.769,247,157,5,3,238,2,245,1.24e-30,111
SM_b20059,AYT27_RS00200,29.412,136,86,3,54,179,75,210,3.47e-11,57.8
SM_b20071,AYT27_RS05140,34.021,388,240,6,3,386,21,396,6.54e-54,179
SM_b20073,AYT27_RS02775,30.677,251,162,6,39,285,3,245,1.88e-31,113
SM_b20076,AYT27_RS02775,28.571,182,125,3,11,191,10,187,3.61e-14,67.0
SM_b20080,AYT27_RS03835,22.909,275,185,9,1,271,1,252,6.65e-09,52.4
SM_b20086,AYT27_RS04395,29.897,97,64,2,3,97,10,104,1.36e-12,55.1
SM_b20088,AYT27_RS02915,30.366,191,131,2,19,208,23,212,2.00e-21,89.0
SM_b20092,AYT27_RS00035,33.065,248,128,9,16,247,52,277,7.47e-24,93.2
SM_b20093,AYT27_RS05530,27.178,287,193,6,21,296,22,303,3.91e-24,95.9
SM_b20095,AYT27_RS05575,28.697,568,375,12,5,554,19,574,2.19e-59,204
SM_b20102,AYT27_RS03030,32.092,349,202,7,297,618,107,447,2.13e-38,143
SM_b20108,AYT27_RS06190,22.947,414,274,17,1,377,6,411,2.40e-18,83.6
SM_b20109,AYT27_RS06185,34.056,323,180,6,13,303,36,357,1.34e-51,169
SM_b20110,AYT27_RS06180,35.926,270,168,1,28,297,45,309,1.57e-50,166
SM_b20111,AYT27_RS01235,40.377,530,310,3,5,533,3,527,6.77e-144,421
SM_b20115,AYT27_RS00495,30.690,580,334,12,19,537,16,588,5.18e-76,249
SM_b20123,AYT27_RS05920,31.667,120,82,0,7,126,9,128,2.80e-10,55.8
SM_b20124,AYT27_RS04245,27.511,229,153,3,6,221,5,233,2.15e-26,103
SM_b20133,AYT27_RS06615,41.311,351,185,7,1,340,1,341,1.64e-84,255
SM_b20140,AYT27_RS02590,34.375,224,141,4,1,221,1,221,3.34e-24,95.5
SM_b20141,AYT27_RS01235,43.633,534,287,4,4,525,3,534,1.36e-152,444
SM_b20142,AYT27_RS06180,33.457,269,170,3,29,293,44,307,8.86e-46,153
SM_b20143,AYT27_RS06185,29.878,328,198,4,8,303,30,357,6.24e-43,147
SM_b20144,AYT27_RS06190,22.850,407,269,15,6,375,11,409,2.46e-22,95.9
SM_b20146,AYT27_RS02805,33.129,326,199,5,4,310,3,328,6.92e-55,178
SM_b20150,AYT27_RS07800,37.209,215,130,2,23,232,16,230,2.72e-36,126
SM_b20153,AYT27_RS05880,31.295,556,371,4,1,546,1,555,3.26e-82,263
SM_b20156,AYT27_RS00955,37.330,367,203,8,4,366,4,347,1.23e-76,236
SM_b20159,AYT27_RS07800,32.984,191,122,3,56,243,40,227,2.26e-24,95.1
SM_b20164,AYT27_RS02500,23.018,391,277,8,222,600,392,770,4.18e-20,90.9
SM_b20172,AYT27_RS01220,37.895,95,57,1,38,132,71,163,8.86e-20,76.6
SM_b20183,AYT27_RS03280,34.375,224,121,5,1,201,16,236,1.62e-33,116
SM_b20184,AYT27_RS00085,32.018,228,152,2,7,231,31,258,4.05e-34,119
SM_b20195,AYT27_RS04940,61.818,220,84,0,1,220,1,220,6.66e-104,296
SM_b20200,AYT27_RS07840,58.931,655,254,6,14,660,6,653,0.0,754
SM_b20210,AYT27_RS02775,27.119,236,155,6,9,231,10,241,2.91e-23,90.5
SM_b20211,AYT27_RS05920,34.921,189,122,1,5,193,8,195,1.40e-25,99.8
SM_b20213,AYT27_RS05075,26.887,212,122,6,52,239,10,212,1.07e-08,52.4
SM_b20214,AYT27_RS02775,29.832,238,147,7,9,242,9,230,7.40e-19,79.3
SM_b20218,AYT27_RS05970,31.786,280,178,5,161,435,169,440,1.38e-41,149
SM_b20219,AYT27_RS05965,37.500,232,133,5,6,237,14,233,3.27e-45,147
SM_b20232,AYT27_RS00965,29.831,295,186,6,19,302,1,285,3.35e-34,122
SM_b20233,AYT27_RS00960,31.518,257,158,6,35,276,25,278,3.03e-40,137
SM_b20235,AYT27_RS00955,45.042,353,178,4,1,346,1,344,1.42e-106,312
SM_b20238,AYT27_RS02090,36.250,80,50,1,58,137,64,142,9.73e-10,53.1
SM_b20247,AYT27_RS06150,22.363,237,156,5,13,245,3,215,2.62e-08,50.1
SM_b20259,AYT27_RS02590,26.126,222,157,5,5,223,1,218,2.09e-10,56.2
SM_b20262,AYT27_RS01985,26.047,215,143,4,34,247,36,235,5.88e-15,72.4
SM_b20263,AYT27_RS03295,30.909,165,111,2,31,193,21,184,1.50e-17,75.9
SM_b20264,AYT27_RS03285,26.368,201,136,3,17,207,21,219,3.36e-20,81.6
