Abortus2308|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS10420,AYT27_RS00585,71.457,494,119,6,57,546,48,523,0.0,689
BAB_RS10425,AYT27_RS00590,67.112,374,120,3,1,372,1,373,0.0,514
BAB_RS10435,AYT27_RS00595,56.757,370,158,2,13,381,7,375,7.83e-144,409
BAB_RS15955,AYT27_RS01240,65.726,248,80,1,8,255,5,247,1.68e-121,343
BAB_RS15965,AYT27_RS01235,65.730,534,182,1,1,534,1,533,0.0,738
BAB_RS15970,AYT27_RS01230,65.782,377,126,2,2,377,4,378,0.0,508
BAB_RS15975,AYT27_RS01225,64.439,374,123,3,1,365,1,373,1.97e-176,491
BAB_RS15980,AYT27_RS04495,33.675,585,370,8,35,612,28,601,5.73e-105,326
BAB_RS15985,AYT27_RS04495,36.111,576,352,8,40,608,35,601,3.67e-121,368
BAB_RS16000,AYT27_RS04260,26.720,378,253,13,20,384,5,371,1.04e-27,108
BAB_RS16005,AYT27_RS04380,31.944,144,88,4,5,145,10,146,2.26e-13,64.7
BAB_RS16015,AYT27_RS04115,50.905,442,208,3,19,458,1,435,8.96e-146,428
BAB_RS16035,AYT27_RS00485,96.000,25,1,0,1,25,1,25,2.60e-12,48.9
BAB_RS16040,AYT27_RS00480,66.400,125,40,2,1,124,1,124,1.49e-31,105
BAB_RS16045,AYT27_RS00475,66.819,437,145,0,9,445,6,442,0.0,587
BAB_RS16050,AYT27_RS00470,59.804,204,82,0,8,211,3,206,1.38e-87,254
BAB_RS16055,AYT27_RS00465,84.806,566,86,0,1,566,1,566,0.0,999
BAB_RS16060,AYT27_RS01175,54.192,334,150,2,3,335,3,334,1.97e-108,316
BAB_RS16065,AYT27_RS05920,29.134,127,90,0,4,130,8,134,1.41e-11,59.7
BAB_RS16070,AYT27_RS00905,31.690,426,259,9,8,427,17,416,1.69e-65,211
BAB_RS16075,AYT27_RS01180,80.597,201,39,0,1,201,1,201,2.75e-119,332
BAB_RS16080,AYT27_RS01185,63.551,107,39,0,1,107,1,107,7.67e-51,152
BAB_RS16085,AYT27_RS01190,56.825,630,226,6,1,588,1,626,0.0,713
BAB_RS16100,AYT27_RS01210,66.312,282,95,0,2,283,6,287,5.32e-147,410
BAB_RS16105,AYT27_RS01215,66.116,242,81,1,5,246,3,243,2.46e-115,326
BAB_RS16110,AYT27_RS01220,35.714,182,109,4,1,182,1,174,4.05e-38,126
BAB_RS16120,AYT27_RS00605,45.724,304,147,5,7,297,6,304,6.63e-79,240
BAB_RS16130,AYT27_RS00615,48.804,209,87,2,21,209,13,221,1.22e-65,197
BAB_RS16135,AYT27_RS00620,35.577,104,64,1,8,108,4,107,3.56e-13,59.3
BAB_RS16140,AYT27_RS05945,29.213,89,63,0,11,99,2,90,5.57e-11,52.8
BAB_RS16145,AYT27_RS00225,49.761,627,304,3,18,639,33,653,0.0,636
BAB_RS16150,AYT27_RS00230,36.660,1533,940,15,56,1579,38,1548,0.0,965
BAB_RS16155,AYT27_RS06030,41.350,237,113,4,8,240,2,216,2.52e-57,179
BAB_RS16170,AYT27_RS00320,41.803,122,71,0,199,320,52,173,8.28e-27,100
BAB_RS16185,AYT27_RS06280,54.301,372,152,3,1,367,1,359,1.37e-143,408
BAB_RS16190,AYT27_RS06925,58.379,543,225,1,1,543,1,542,0.0,671
BAB_RS16195,AYT27_RS05920,30.233,258,173,5,9,264,10,262,1.52e-25,99.4
BAB_RS16205,AYT27_RS01055,25.000,156,110,4,43,191,104,259,3.15e-10,54.7
BAB_RS16210,AYT27_RS03790,27.749,191,133,4,25,215,2,187,1.03e-24,92.8
