O_anthropi|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00020,BAB_RS26350,94.318,88,5,0,1,88,1,88,9.34e-55,161
OANT_RS00025,BAB_RS10420,92.600,527,32,2,1,520,20,546,0.0,995
OANT_RS00030,BAB_RS10425,97.581,372,9,0,1,372,1,372,0.0,735
OANT_RS00035,BAB_RS10435,92.147,382,30,0,1,382,1,382,0.0,662
OANT_RS00040,BAB_RS15955,88.672,256,29,0,1,256,5,260,2.96e-170,467
OANT_RS00060,BAB_RS15960,87.421,318,40,0,1,318,1,318,0.0,583
OANT_RS00065,BAB_RS15965,90.741,540,50,0,14,553,2,541,0.0,1022
OANT_RS00070,BAB_RS15970,94.444,378,21,0,1,378,1,378,0.0,725
OANT_RS00075,BAB_RS15975,96.712,365,12,0,1,365,1,365,0.0,704
OANT_RS00080,BAB_RS15980,81.626,615,113,0,1,615,1,615,0.0,1076
OANT_RS00085,BAB_RS15985,89.194,620,67,0,1,620,1,620,0.0,1164
OANT_RS00090,BAB_RS16110,86.364,198,25,2,1,197,1,197,1.89e-119,335
OANT_RS00095,BAB_RS16105,90.283,247,24,0,1,247,1,247,4.93e-166,456
OANT_RS00100,BAB_RS16100,93.728,287,18,0,1,287,1,287,0.0,566
OANT_RS00105,BAB_RS16095,84.444,315,49,0,1,315,1,315,0.0,518
OANT_RS00110,BAB_RS16090,85.821,134,19,0,1,134,1,134,5.83e-87,246
OANT_RS00115,BAB_RS16085,90.099,606,55,4,1,605,1,602,0.0,1061
OANT_RS00120,BAB_RS16080,98.131,107,2,0,1,107,1,107,1.52e-72,207
OANT_RS00125,BAB_RS16075,97.512,201,5,0,1,201,1,201,6.80e-144,395
OANT_RS00130,BAB_RS16070,88.056,427,43,1,1,419,1,427,0.0,781
OANT_RS00135,BAB_RS31940,30.973,113,78,0,2,114,3,115,2.33e-17,73.2
OANT_RS00140,BAB_RS16065,86.395,294,40,0,1,294,1,294,0.0,516
OANT_RS00145,BAB_RS16060,86.310,336,46,0,1,336,4,339,0.0,527
OANT_RS00155,BAB_RS16055,97.703,566,13,0,1,566,1,566,0.0,1113
OANT_RS00160,BAB_RS16050,90.187,214,21,0,1,214,6,219,1.33e-138,383
OANT_RS00165,BAB_RS16045,94.209,449,26,0,1,449,1,449,0.0,823
OANT_RS00170,BAB_RS16040,91.358,81,7,0,1,81,1,81,6.96e-44,137
OANT_RS00175,BAB_RS16035,100.000,25,0,0,1,25,1,25,9.25e-13,50.8
OANT_RS00180,BAB_RS19045,24.038,208,142,5,61,257,16,218,8.00e-12,60.1
