Abortus2308|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS10420,BAB_RS10420,100.000,546,0,0,1,546,1,546,0.0,1117
BAB_RS10425,BAB_RS10425,100.000,372,0,0,1,372,1,372,0.0,751
BAB_RS10435,BAB_RS10435,100.000,384,0,0,1,384,1,384,0.0,763
BAB_RS15955,BAB_RS15955,100.000,260,0,0,1,260,1,260,0.0,519
BAB_RS15960,BAB_RS15960,100.000,318,0,0,1,318,1,318,0.0,654
BAB_RS15965,BAB_RS15965,100.000,541,0,0,1,541,1,541,0.0,1102
BAB_RS15970,BAB_RS15970,100.000,379,0,0,1,379,1,379,0.0,762
BAB_RS15975,BAB_RS15975,100.000,365,0,0,1,365,1,365,0.0,726
BAB_RS15980,BAB_RS15980,100.000,615,0,0,1,615,1,615,0.0,1282
BAB_RS15985,BAB_RS15985,100.000,622,0,0,1,622,1,622,0.0,1283
BAB_RS15990,BAB_RS15990,100.000,66,0,0,1,66,1,66,1.33e-45,136
BAB_RS15995,BAB_RS15995,100.000,116,0,0,1,116,1,116,4.06e-83,235
BAB_RS16000,BAB_RS16000,100.000,384,0,0,1,384,1,384,0.0,768
BAB_RS16005,BAB_RS16005,100.000,264,0,0,1,264,1,264,0.0,529
BAB_RS16010,BAB_RS16010,100.000,287,0,0,1,287,1,287,0.0,585
BAB_RS16015,BAB_RS16015,100.000,673,0,0,1,673,1,673,0.0,1360
BAB_RS16020,BAB_RS16020,100.000,535,0,0,1,535,1,535,0.0,1093
BAB_RS16025,BAB_RS16025,100.000,244,0,0,1,244,1,244,0.0,502
BAB_RS16030,BAB_RS16030,100.000,254,0,0,1,254,1,254,0.0,516
BAB_RS16035,BAB_RS16035,100.000,25,0,0,1,25,1,25,9.25e-13,50.8
BAB_RS16040,BAB_RS16040,100.000,127,0,0,1,127,1,127,6.59e-84,238
BAB_RS16045,BAB_RS16045,100.000,450,0,0,1,450,1,450,0.0,901
BAB_RS16050,BAB_RS16050,100.000,219,0,0,1,219,1,219,2.33e-156,429
BAB_RS16055,BAB_RS16055,100.000,566,0,0,1,566,1,566,0.0,1136
BAB_RS16060,BAB_RS16060,100.000,339,0,0,1,339,1,339,0.0,650
BAB_RS16065,BAB_RS16065,100.000,299,0,0,1,299,1,299,0.0,608
BAB_RS16070,BAB_RS16070,100.000,427,0,0,1,427,1,427,0.0,877
BAB_RS16075,BAB_RS16075,100.000,201,0,0,1,201,1,201,6.34e-147,403
BAB_RS16080,BAB_RS16080,100.000,107,0,0,1,107,1,107,1.55e-73,210
BAB_RS16085,BAB_RS16085,100.000,602,0,0,1,602,1,602,0.0,1207
BAB_RS16090,BAB_RS16090,100.000,134,0,0,1,134,1,134,2.55e-99,277
BAB_RS16095,BAB_RS16095,100.000,315,0,0,1,315,1,315,0.0,645
BAB_RS16100,BAB_RS16100,100.000,287,0,0,1,287,1,287,0.0,595
BAB_RS16105,BAB_RS16105,100.000,251,0,0,1,251,1,251,0.0,506
BAB_RS16110,BAB_RS16110,100.000,202,0,0,1,202,1,202,5.12e-150,411
BAB_RS16115,BAB_RS16115,100.000,321,0,0,1,321,1,321,0.0,627
BAB_RS16120,BAB_RS16120,100.000,337,0,0,1,337,1,337,0.0,704
BAB_RS16130,BAB_RS16130,100.000,209,0,0,1,209,1,209,1.54e-152,418
BAB_RS16135,BAB_RS16135,100.000,121,0,0,1,121,1,121,1.69e-85,241
BAB_RS16140,BAB_RS16140,100.000,170,0,0,1,170,1,170,4.60e-119,330
BAB_RS16145,BAB_RS16145,100.000,639,0,0,1,639,1,639,0.0,1290
BAB_RS16150,BAB_RS16150,100.000,1579,0,0,1,1579,1,1579,0.0,3100
BAB_RS16155,BAB_RS16155,100.000,241,0,0,1,241,1,241,0.0,496
BAB_RS16160,BAB_RS16160,100.000,71,0,0,1,71,1,71,2.58e-49,146
BAB_RS16165,BAB_RS16165,100.000,167,0,0,1,167,1,167,1.38e-125,346
BAB_RS16170,BAB_RS16170,100.000,334,0,0,1,334,1,334,0.0,691
BAB_RS16175,BAB_RS16175,100.000,132,0,0,1,132,1,132,1.31e-94,265
BAB_RS16180,BAB_RS16180,100.000,131,0,0,1,131,1,131,9.48e-94,263
BAB_RS16185,BAB_RS16185,100.000,387,0,0,1,387,1,387,0.0,775
BAB_RS16190,BAB_RS16190,100.000,543,0,0,1,543,1,543,0.0,1107
BAB_RS16195,BAB_RS16195,100.000,297,0,0,1,297,1,297,0.0,607
BAB_RS16200,BAB_RS16200,100.000,307,0,0,1,307,1,307,0.0,632
BAB_RS16205,BAB_RS16205,100.000,232,0,0,1,232,1,232,5.55e-171,466
BAB_RS16210,BAB_RS16210,100.000,229,0,0,1,229,1,229,3.19e-173,472
BAB_RS16215,BAB_RS16215,100.000,63,0,0,1,63,1,63,1.54e-43,131
BAB_RS16220,BAB_RS16220,100.000,69,0,0,1,69,1,69,6.50e-46,137
BAB_RS16225,BAB_RS16225,100.000,62,0,0,1,62,1,62,2.44e-40,123
BAB_RS16230,BAB_RS16230,100.000,287,0,0,1,287,1,287,0.0,578
BAB_RS16235,BAB_RS16235,100.000,218,0,0,1,218,1,218,1.45e-157,431
BAB_RS16240,BAB_RS16240,100.000,1077,0,0,1,1077,1,1077,0.0,2218
BAB_RS16245,BAB_RS16245,100.000,483,0,0,1,483,1,483,0.0,957
BAB_RS16250,BAB_RS16250,100.000,287,0,0,1,287,1,287,0.0,575
BAB_RS16260,BAB_RS16260,100.000,245,0,0,1,245,1,245,0.0,503
BAB_RS16265,BAB_RS16265,100.000,406,0,0,1,406,1,406,0.0,829
BAB_RS16270,BAB_RS16270,100.000,219,0,0,1,219,1,219,4.52e-159,435
BAB_RS16275,BAB_RS16275,100.000,167,0,0,1,167,1,167,1.60e-117,326
BAB_RS16280,BAB_RS16280,100.000,411,0,0,1,411,1,411,0.0,848
BAB_RS16285,BAB_RS16285,100.000,64,0,0,1,64,1,64,2.51e-45,135
BAB_RS16290,BAB_RS16290,100.000,167,0,0,1,167,1,167,7.89e-125,344
BAB_RS16295,BAB_RS16295,100.000,127,0,0,1,127,1,127,3.47e-91,256
BAB_RS16300,BAB_RS16300,100.000,97,0,0,1,97,1,97,9.64e-71,202
BAB_RS16310,BAB_RS16310,100.000,108,0,0,1,108,1,108,1.69e-79,225
BAB_RS16315,BAB_RS16315,100.000,196,0,0,1,196,1,196,1.86e-145,399
BAB_RS16320,BAB_RS16320,100.000,241,0,0,1,241,1,241,6.43e-178,485
BAB_RS16325,BAB_RS16325,100.000,242,0,0,1,242,1,242,3.41e-176,481
BAB_RS16330,BAB_RS16330,100.000,849,0,0,1,849,1,849,0.0,1669
BAB_RS16335,BAB_RS16335,100.000,245,0,0,1,245,1,245,4.59e-176,480
BAB_RS16340,BAB_RS16340,100.000,119,0,0,1,119,1,119,1.28e-86,244
BAB_RS16345,BAB_RS16345,100.000,78,0,0,1,78,1,78,1.66e-53,157
BAB_RS16350,BAB_RS16350,100.000,133,0,0,1,133,1,133,1.75e-97,273
BAB_RS16355,BAB_RS16355,100.000,244,0,0,1,244,1,244,0.0,511
BAB_RS16360,BAB_RS16360,100.000,895,0,0,1,895,1,895,0.0,1843
BAB_RS16365,BAB_RS16365,100.000,215,0,0,1,215,1,215,6.70e-160,437
BAB_RS16370,BAB_RS16370,100.000,221,0,0,1,221,1,221,1.76e-148,409
BAB_RS16375,BAB_RS16375,100.000,262,0,0,1,262,1,262,0.0,526
BAB_RS16380,BAB_RS16380,100.000,57,0,0,1,57,1,57,1.17e-37,115
BAB_RS16385,BAB_RS16385,100.000,203,0,0,1,203,1,203,5.22e-151,414
BAB_RS16390,BAB_RS16390,100.000,611,0,0,1,611,1,611,0.0,1256
BAB_RS16395,BAB_RS16395,100.000,152,0,0,1,152,1,152,2.34e-110,306
BAB_RS16400,BAB_RS16400,100.000,124,0,0,1,124,1,124,8.13e-87,245
BAB_RS16405,BAB_RS16405,100.000,78,0,0,1,78,1,78,1.67e-54,160
BAB_RS16410,BAB_RS16410,100.000,134,0,0,1,134,1,134,3.06e-101,282
BAB_RS16415,BAB_RS16415,100.000,161,0,0,1,161,1,161,1.04e-120,333
BAB_RS16420,BAB_RS16420,100.000,272,0,0,1,272,1,272,0.0,559
BAB_RS16425,BAB_RS16425,100.000,342,0,0,1,342,1,342,0.0,701
BAB_RS16430,BAB_RS16430,100.000,288,0,0,1,288,1,288,0.0,559
BAB_RS16435,BAB_RS16435,100.000,288,0,0,1,288,1,288,0.0,566
BAB_RS16440,BAB_RS16440,100.000,359,0,0,1,359,1,359,0.0,727
BAB_RS16445,BAB_RS16445,100.000,2867,0,0,1,2867,1,2867,0.0,5880
BAB_RS16450,BAB_RS16450,100.000,434,0,0,1,434,1,434,0.0,895
BAB_RS16455,BAB_RS16455,100.000,276,0,0,1,276,1,276,0.0,561
BAB_RS16460,BAB_RS16460,100.000,262,0,0,1,262,1,262,0.0,542
BAB_RS16465,BAB_RS16465,100.000,308,0,0,1,308,1,308,0.0,632
BAB_RS16470,BAB_RS16470,100.000,268,0,0,1,268,1,268,0.0,552
BAB_RS16475,BAB_RS16475,100.000,763,0,0,1,763,1,763,0.0,1561
BAB_RS16480,BAB_RS16480,100.000,230,0,0,1,230,1,230,4.42e-169,461
BAB_RS16485,BAB_RS16485,100.000,228,0,0,1,228,1,228,1.18e-166,455
