O_anthropi|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00015,OANT_RS14175,100.000,59,0,0,1,59,5,63,1.46e-37,122
OANT_RS00020,OANT_RS00020,100.000,88,0,0,1,88,1,88,3.88e-58,170
OANT_RS00025,OANT_RS00025,100.000,520,0,0,1,520,1,520,0.0,1058
OANT_RS00030,OANT_RS00030,100.000,372,0,0,1,372,1,372,0.0,749
OANT_RS00035,OANT_RS00035,100.000,387,0,0,1,387,1,387,0.0,776
OANT_RS00040,OANT_RS00040,100.000,256,0,0,1,256,1,256,0.0,513
OANT_RS00045,OANT_RS00045,100.000,166,0,0,1,166,1,166,1.88e-122,339
OANT_RS00050,OANT_RS00050,100.000,417,0,0,1,417,1,417,0.0,847
OANT_RS00055,OANT_RS00055,100.000,155,0,0,1,155,1,155,1.76e-108,303
OANT_RS00060,OANT_RS00060,100.000,318,0,0,1,318,1,318,0.0,652
OANT_RS00065,OANT_RS00065,100.000,553,0,0,1,553,1,553,0.0,1123
OANT_RS00070,OANT_RS00070,100.000,379,0,0,1,379,1,379,0.0,763
OANT_RS00075,OANT_RS00075,100.000,365,0,0,1,365,1,365,0.0,723
OANT_RS00080,OANT_RS00080,100.000,615,0,0,1,615,1,615,0.0,1271
OANT_RS00085,OANT_RS00085,100.000,622,0,0,1,622,1,622,0.0,1282
OANT_RS00090,OANT_RS00090,100.000,224,0,0,1,224,1,224,1.84e-164,450
OANT_RS00095,OANT_RS00095,100.000,249,0,0,1,249,1,249,0.0,499
OANT_RS00100,OANT_RS00100,100.000,287,0,0,1,287,1,287,0.0,596
OANT_RS00105,OANT_RS00105,100.000,315,0,0,1,315,1,315,0.0,649
OANT_RS00110,OANT_RS00110,100.000,134,0,0,1,134,1,134,4.86e-99,277
OANT_RS00115,OANT_RS00115,100.000,605,0,0,1,605,1,605,0.0,1224
OANT_RS00120,OANT_RS00120,100.000,107,0,0,1,107,1,107,4.32e-73,209
OANT_RS00125,OANT_RS00125,100.000,201,0,0,1,201,1,201,1.06e-146,403
OANT_RS00130,OANT_RS00130,100.000,419,0,0,1,419,1,419,0.0,857
OANT_RS00135,OANT_RS00135,100.000,195,0,0,1,195,1,195,2.24e-139,384
OANT_RS00140,OANT_RS00140,100.000,295,0,0,1,295,1,295,0.0,601
OANT_RS00145,OANT_RS00145,100.000,336,0,0,1,336,1,336,0.0,636
OANT_RS00150,OANT_RS00150,100.000,248,0,0,1,248,1,248,9.12e-179,488
OANT_RS00155,OANT_RS00155,100.000,566,0,0,1,566,1,566,0.0,1135
OANT_RS00160,OANT_RS00160,100.000,214,0,0,1,214,1,214,1.18e-153,422
OANT_RS00165,OANT_RS00165,100.000,450,0,0,1,450,1,450,0.0,899
OANT_RS00170,OANT_RS00170,100.000,129,0,0,1,129,1,129,3.20e-85,242
OANT_RS00175,OANT_RS00175,100.000,25,0,0,1,25,1,25,1.46e-12,50.8
OANT_RS00180,OANT_RS00180,100.000,257,0,0,1,257,1,257,0.0,533
OANT_RS00185,OANT_RS00185,100.000,378,0,0,1,378,1,378,0.0,759
OANT_RS00190,OANT_RS00190,100.000,284,0,0,1,284,1,284,0.0,559
OANT_RS00195,OANT_RS00195,100.000,662,0,0,1,662,1,662,0.0,1362
OANT_RS00200,OANT_RS00200,100.000,387,0,0,1,387,1,387,0.0,796
OANT_RS00205,OANT_RS00205,100.000,535,0,0,1,535,1,535,0.0,1095
OANT_RS00210,OANT_RS00210,100.000,655,0,0,1,655,1,655,0.0,1328
OANT_RS00215,OANT_RS00215,100.000,287,0,0,1,287,1,287,0.0,582
OANT_RS00220,OANT_RS00220,100.000,264,0,0,1,264,1,264,0.0,532
OANT_RS00225,OANT_RS00225,100.000,368,0,0,1,368,1,368,0.0,733
OANT_RS00230,OANT_RS00230,100.000,197,0,0,1,197,1,197,6.73e-149,408
OANT_RS00235,OANT_RS00235,100.000,66,0,0,1,66,1,66,6.64e-45,135
OANT_RS00240,OANT_RS00240,100.000,102,0,0,1,102,1,102,1.29e-71,205
OANT_RS00245,OANT_RS00245,100.000,319,0,0,1,319,1,319,0.0,627
OANT_RS00250,OANT_RS00250,100.000,335,0,0,1,335,1,335,0.0,701
OANT_RS00255,OANT_RS00255,100.000,659,0,0,1,659,1,659,0.0,1337
OANT_RS00260,OANT_RS00260,100.000,209,0,0,1,209,1,209,1.59e-151,416
OANT_RS00265,OANT_RS00265,100.000,122,0,0,1,122,1,122,4.27e-86,243
OANT_RS00270,OANT_RS00270,100.000,235,0,0,1,235,1,235,2.80e-164,450
OANT_RS00275,OANT_RS00275,100.000,639,0,0,1,639,1,639,0.0,1285
OANT_RS00280,OANT_RS00280,100.000,1578,0,0,1,1578,1,1578,0.0,3092
OANT_RS00285,OANT_RS00285,100.000,241,0,0,1,241,1,241,0.0,496
OANT_RS00290,OANT_RS00290,100.000,71,0,0,1,71,1,71,9.69e-49,145
OANT_RS00295,OANT_RS00295,100.000,167,0,0,1,167,1,167,1.62e-125,347
OANT_RS00300,OANT_RS00300,100.000,342,0,0,1,342,1,342,0.0,701
OANT_RS00305,OANT_RS00305,100.000,132,0,0,1,132,1,132,2.39e-95,268
OANT_RS00310,OANT_RS00310,100.000,523,0,0,1,523,1,523,0.0,1093
OANT_RS00315,OANT_RS00315,100.000,184,0,0,1,184,1,184,1.14e-136,376
OANT_RS00320,OANT_RS00320,100.000,131,0,0,1,131,1,131,2.29e-94,265
OANT_RS00325,OANT_RS00325,100.000,97,0,0,1,97,1,97,3.54e-71,204
OANT_RS00330,OANT_RS00330,100.000,389,0,0,1,389,1,389,0.0,778
OANT_RS00335,OANT_RS00335,100.000,543,0,0,1,543,1,543,0.0,1109
OANT_RS00340,OANT_RS00340,100.000,290,0,0,1,290,1,290,0.0,592
OANT_RS00345,OANT_RS00345,100.000,136,0,0,1,136,1,136,5.82e-100,280
OANT_RS00350,OANT_RS00350,100.000,439,0,0,1,439,1,439,0.0,880
OANT_RS00355,OANT_RS00355,100.000,343,0,0,1,343,1,343,0.0,680
OANT_RS00360,OANT_RS00360,100.000,364,0,0,1,364,1,364,0.0,718
OANT_RS00365,OANT_RS00365,100.000,259,0,0,1,259,1,259,0.0,520
OANT_RS00370,OANT_RS00370,100.000,213,0,0,1,213,1,213,8.54e-157,429
OANT_RS00375,OANT_RS00375,100.000,229,0,0,1,229,1,229,1.86e-172,471
OANT_RS00380,OANT_RS00380,100.000,63,0,0,1,63,1,63,9.58e-44,132
OANT_RS00385,OANT_RS00385,100.000,70,0,0,1,70,1,70,5.00e-46,138
OANT_RS00390,OANT_RS00390,100.000,62,0,0,1,62,1,62,9.06e-41,124
OANT_RS00395,OANT_RS00395,100.000,298,0,0,1,298,1,298,0.0,595
OANT_RS00400,OANT_RS00400,100.000,218,0,0,1,218,1,218,1.49e-157,432
OANT_RS00405,OANT_RS00405,100.000,1077,0,0,1,1077,1,1077,0.0,2218
OANT_RS00410,OANT_RS00410,100.000,517,0,0,1,517,1,517,0.0,1023
OANT_RS00415,OANT_RS00415,100.000,283,0,0,1,283,1,283,0.0,572
OANT_RS00420,OANT_RS00420,100.000,118,0,0,1,118,1,118,1.69e-83,236
OANT_RS00425,OANT_RS00425,100.000,176,0,0,1,176,1,176,4.91e-128,354
OANT_RS00430,OANT_RS00430,100.000,73,0,0,1,73,1,73,4.60e-51,151
OANT_RS00435,OANT_RS00435,100.000,262,0,0,1,262,1,262,0.0,544
OANT_RS00440,OANT_RS00440,100.000,406,0,0,1,406,1,406,0.0,827
OANT_RS00445,OANT_RS00445,100.000,99,0,0,1,99,1,99,1.30e-70,202
OANT_RS00450,OANT_RS00450,100.000,219,0,0,1,219,1,219,2.14e-158,434
OANT_RS00455,OANT_RS00455,100.000,167,0,0,1,167,1,167,4.33e-116,323
OANT_RS00460,OANT_RS00460,100.000,411,0,0,1,411,1,411,0.0,848
OANT_RS00465,OANT_RS00465,100.000,167,0,0,1,167,1,167,1.41e-124,344
OANT_RS00470,OANT_RS00470,100.000,126,0,0,1,126,1,126,3.47e-91,256
OANT_RS00475,OANT_RS00475,100.000,169,0,0,1,169,1,169,5.46e-126,348
OANT_RS00480,OANT_RS00480,100.000,96,0,0,1,96,1,96,9.71e-69,197
OANT_RS00490,OANT_RS00490,100.000,196,0,0,1,196,1,196,1.74e-144,397
OANT_RS00495,OANT_RS00495,100.000,239,0,0,1,239,1,239,3.70e-178,486
OANT_RS00500,OANT_RS00500,100.000,242,0,0,1,242,1,242,6.65e-176,480
OANT_RS00505,OANT_RS00505,100.000,849,0,0,1,849,1,849,0.0,1671
OANT_RS00510,OANT_RS00510,100.000,260,0,0,1,260,1,260,0.0,512
OANT_RS00515,OANT_RS00515,100.000,179,0,0,1,179,1,179,3.90e-132,364
OANT_RS00520,OANT_RS00520,100.000,130,0,0,1,130,1,130,1.12e-93,263
OANT_RS00525,OANT_RS00525,100.000,244,0,0,1,244,1,244,0.0,511
OANT_RS00530,OANT_RS00530,100.000,72,0,0,1,72,1,72,2.43e-50,149
OANT_RS00535,OANT_RS00535,100.000,895,0,0,1,895,1,895,0.0,1843
OANT_RS00540,OANT_RS00540,100.000,205,0,0,1,205,1,205,1.13e-150,413
OANT_RS00545,OANT_RS00545,100.000,221,0,0,1,221,1,221,2.07e-148,409
OANT_RS00550,OANT_RS00550,100.000,265,0,0,1,265,1,265,0.0,533
OANT_RS00555,OANT_RS00555,100.000,56,0,0,1,56,1,56,1.72e-36,113
OANT_RS00560,OANT_RS00560,100.000,193,0,0,1,193,1,193,1.13e-142,392
OANT_RS00565,OANT_RS00565,100.000,207,0,0,1,207,1,207,1.68e-153,421
OANT_RS00570,OANT_RS00570,100.000,611,0,0,1,611,1,611,0.0,1258
OANT_RS00575,OANT_RS00575,100.000,148,0,0,1,148,1,148,7.19e-105,293
OANT_RS00580,OANT_RS00580,100.000,127,0,0,1,127,1,127,5.23e-88,249
OANT_RS00585,OANT_RS00585,100.000,78,0,0,1,78,1,78,2.07e-54,160
OANT_RS00590,OANT_RS00590,100.000,382,0,0,1,382,1,382,0.0,773
OANT_RS00595,OANT_RS00595,100.000,136,0,0,1,136,1,136,5.92e-102,285
OANT_RS00600,OANT_RS00600,100.000,128,0,0,1,128,1,128,8.78e-95,266
OANT_RS00605,OANT_RS00605,100.000,277,0,0,1,277,1,277,0.0,570
OANT_RS00610,OANT_RS00610,100.000,342,0,0,1,342,1,342,0.0,696
OANT_RS00615,OANT_RS00615,100.000,288,0,0,1,288,1,288,0.0,558
OANT_RS00620,OANT_RS00620,100.000,294,0,0,1,294,1,294,0.0,578
OANT_RS00625,OANT_RS00625,100.000,354,0,0,1,354,1,354,0.0,716
OANT_RS00630,OANT_RS00630,100.000,2891,0,0,1,2891,1,2891,0.0,5927
OANT_RS00635,OANT_RS00635,100.000,434,0,0,1,434,1,434,0.0,895
OANT_RS00640,OANT_RS00640,100.000,276,0,0,1,276,1,276,0.0,563
OANT_RS00645,OANT_RS00645,100.000,245,0,0,1,245,1,245,0.0,505
OANT_RS00650,OANT_RS00650,100.000,203,0,0,1,203,1,203,2.31e-146,402
OANT_RS00655,OANT_RS00655,100.000,308,0,0,1,308,1,308,0.0,630
OANT_RS00660,OANT_RS00660,100.000,263,0,0,1,263,1,263,0.0,543
OANT_RS00665,OANT_RS00665,100.000,770,0,0,1,770,1,770,0.0,1582
OANT_RS00670,OANT_RS00670,100.000,229,0,0,1,229,1,229,5.55e-168,459
OANT_RS00675,OANT_RS00675,100.000,229,0,0,1,229,1,229,1.09e-164,451
OANT_RS00680,OANT_RS00680,100.000,371,0,0,1,371,1,371,0.0,737
OANT_RS00685,OANT_RS00685,100.000,205,0,0,1,205,1,205,5.45e-156,427
OANT_RS00690,OANT_RS00690,100.000,469,0,0,1,469,1,469,0.0,963
OANT_RS00695,OANT_RS00695,100.000,976,0,0,1,976,1,976,0.0,2004
OANT_RS00700,OANT_RS00700,100.000,644,0,0,1,644,1,644,0.0,1308
OANT_RS00705,OANT_RS00705,100.000,813,0,0,1,813,1,813,0.0,1664
OANT_RS00710,OANT_RS00710,100.000,458,0,0,1,458,1,458,0.0,930
OANT_RS00715,OANT_RS00715,100.000,278,0,0,1,278,1,278,0.0,585
OANT_RS00720,OANT_RS00720,100.000,218,0,0,1,218,1,218,1.47e-160,439
OANT_RS00725,OANT_RS00725,100.000,157,0,0,1,157,1,157,2.40e-114,318
OANT_RS00730,OANT_RS00730,100.000,370,0,0,1,370,1,370,0.0,759
OANT_RS00735,OANT_RS00735,100.000,89,0,0,1,89,1,89,4.39e-62,180
OANT_RS00740,OANT_RS00740,100.000,147,0,0,1,147,1,147,2.89e-110,306
OANT_RS00745,OANT_RS00745,100.000,818,0,0,1,818,1,818,0.0,1606
OANT_RS00750,OANT_RS00750,100.000,430,0,0,1,430,1,430,0.0,872
OANT_RS00755,OANT_RS00755,100.000,139,0,0,1,139,1,139,5.00e-102,285
OANT_RS00760,OANT_RS00760,100.000,187,0,0,1,187,1,187,2.51e-137,378
OANT_RS00765,OANT_RS00765,100.000,164,0,0,1,164,1,164,7.35e-122,337
OANT_RS00770,OANT_RS00770,100.000,206,0,0,1,206,1,206,2.51e-155,425
OANT_RS00775,OANT_RS00775,100.000,190,0,0,1,190,1,190,3.34e-142,391
OANT_RS00780,OANT_RS00780,100.000,162,0,0,1,162,1,162,2.66e-115,320
OANT_RS00785,OANT_RS00785,100.000,355,0,0,1,355,1,355,0.0,737
OANT_RS00790,OANT_RS00790,100.000,529,0,0,1,529,1,529,0.0,1044
OANT_RS00795,OANT_RS00795,100.000,934,0,0,1,934,1,934,0.0,1919
OANT_RS00800,OANT_RS00800,100.000,764,0,0,1,764,1,764,0.0,1551
