S_meliloti|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20002,OANT_RS19875,59.218,358,144,2,1,356,1,358,8.08e-144,409
SM_b20004,OANT_RS18665,35.690,297,180,5,1,291,1,292,2.61e-56,181
SM_b20005,OANT_RS13775,26.768,198,132,6,1,189,8,201,1.65e-15,69.7
SM_b20007,OANT_RS24175,73.580,704,186,0,1,704,1,704,0.0,1092
SM_b20008,OANT_RS22270,28.049,328,194,13,20,333,217,516,9.81e-16,75.5
SM_b20009,OANT_RS17615,36.882,263,162,2,1,259,1,263,4.74e-46,154
SM_b20013,OANT_RS09510,28.054,221,119,9,7,209,6,204,3.21e-10,58.5
SM_b20014,OANT_RS07105,35.241,332,208,4,6,331,6,336,2.64e-46,157
SM_b20015,OANT_RS15105,33.851,322,189,7,9,308,18,337,8.81e-35,127
SM_b20016,OANT_RS15105,32.558,344,207,10,3,327,9,346,3.65e-31,117
SM_b20017,OANT_RS17330,39.034,497,291,5,4,497,18,505,7.80e-104,317
SM_b20018,OANT_RS20160,30.545,275,185,3,18,287,21,294,4.33e-26,103
SM_b20019,OANT_RS04835,34.889,407,218,10,6,376,4,399,2.29e-56,187
SM_b20020,OANT_RS18355,41.543,337,176,6,373,691,3,336,1.53e-77,249
SM_b20021,OANT_RS02635,40.645,155,92,0,2,156,1,155,9.65e-36,119
SM_b20023,OANT_RS19660,82.167,1200,212,2,5,1203,7,1205,0.0,2016
SM_b20024,OANT_RS15715,40.265,226,126,6,85,306,60,280,1.51e-36,135
SM_b20025,OANT_RS17710,87.188,320,41,0,6,325,6,325,0.0,553
SM_b20026,OANT_RS17705,72.368,152,42,0,2,153,6,157,1.83e-60,181
SM_b20027,OANT_RS17700,87.824,501,60,1,1,500,1,501,0.0,825
SM_b20029,OANT_RS20370,70.513,156,46,0,1,156,1,156,9.62e-81,233
SM_b20030,OANT_RS20365,80.142,282,56,0,4,285,5,286,2.46e-168,465
SM_b20033,OANT_RS22835,60.476,210,83,0,5,214,7,216,1.37e-91,265
SM_b20034,OANT_RS22855,67.456,169,55,0,1,169,1,169,8.25e-80,233
SM_b20035,OANT_RS22850,77.594,424,95,0,1,424,1,424,0.0,614
SM_b20036,OANT_RS22845,79.042,334,69,1,5,338,5,337,0.0,558
SM_b20037,OANT_RS22830,57.295,281,120,0,1,281,2,282,1.34e-99,291
SM_b20039,OANT_RS05000,56.502,446,193,1,20,464,36,481,0.0,541
SM_b20040,OANT_RS05005,67.018,285,93,1,2,286,7,290,1.85e-118,339
SM_b20042,OANT_RS24775,45.250,400,187,6,1,385,4,386,2.02e-88,270
SM_b20044,OANT_RS24725,46.009,426,194,4,7,431,8,398,1.35e-122,359
SM_b20045,OANT_RS24540,51.176,340,153,4,1,329,1,338,2.05e-111,325
SM_b20046,OANT_RS24535,81.234,389,73,0,10,398,9,397,0.0,686
SM_b20048,OANT_RS07425,59.052,232,95,0,1,232,14,245,8.41e-100,288
SM_b20049,OANT_RS10160,26.375,618,421,9,49,642,82,689,1.03e-60,212
SM_b20055,OANT_RS06350,36.437,247,153,3,78,323,78,321,1.40e-38,137
SM_b20056,OANT_RS20195,64.035,342,120,2,1,341,1,340,6.57e-161,451
SM_b20057,OANT_RS20190,84.142,309,49,0,36,344,21,329,0.0,514
SM_b20058,OANT_RS20185,74.031,258,67,0,1,258,1,258,1.47e-134,378
SM_b20059,OANT_RS06795,32.039,103,64,3,56,152,80,182,1.44e-08,51.2
SM_b20067,OANT_RS22210,50.000,144,72,0,26,169,1,144,4.65e-48,150
SM_b20071,OANT_RS15175,42.458,358,201,3,5,362,20,372,6.10e-77,241
SM_b20072,OANT_RS20975,33.209,268,168,7,30,293,36,296,3.37e-39,137
SM_b20073,OANT_RS22205,72.085,283,79,0,3,285,4,286,6.02e-158,439
SM_b20075,OANT_RS22130,65.306,49,17,0,10,58,8,56,7.72e-18,67.0
SM_b20076,OANT_RS15290,34.848,264,153,8,9,258,3,261,6.70e-31,115
SM_b20078,OANT_RS02325,31.884,207,135,2,4,210,9,209,2.73e-25,95.5
SM_b20079,OANT_RS14450,29.000,500,284,14,539,998,1,469,2.87e-18,86.7
SM_b20080,OANT_RS17865,32.108,408,217,13,10,389,13,388,7.69e-45,156
SM_b20084,OANT_RS25515,52.000,50,20,1,1,50,1,46,4.79e-10,46.6
SM_b20086,OANT_RS22170,58.333,72,30,0,27,98,32,103,3.09e-29,98.6
SM_b20087,OANT_RS24130,62.944,197,68,2,1,196,1,193,3.86e-52,163
SM_b20088,OANT_RS22100,56.542,214,91,2,1,213,1,213,4.26e-70,224
SM_b20092,OANT_RS06830,35.593,236,138,7,16,247,40,265,1.41e-27,104
SM_b20093,OANT_RS09665,27.632,304,206,5,14,305,12,313,1.53e-28,109
SM_b20094,OANT_RS06825,23.810,420,244,15,56,460,79,437,5.57e-12,65.1
SM_b20095,OANT_RS09380,27.160,567,385,12,5,554,27,582,6.22e-56,196
SM_b20101,OANT_RS06690,70.153,392,117,0,13,404,4,395,0.0,577
SM_b20102,OANT_RS10745,40.233,343,156,7,332,626,144,485,2.50e-63,214
SM_b20105,OANT_RS21095,30.882,204,140,1,4,207,21,223,1.81e-29,106
SM_b20106,OANT_RS17600,36.100,241,131,9,5,237,2,227,3.50e-27,102
SM_b20108,OANT_RS19645,27.455,499,330,18,2,481,5,490,3.62e-36,137
SM_b20109,OANT_RS03250,34.641,306,199,1,1,305,1,306,3.30e-63,199
SM_b20110,OANT_RS19635,36.897,290,173,3,9,298,2,281,3.53e-57,183
SM_b20111,OANT_RS03240,46.607,560,268,5,6,535,13,571,7.45e-179,515
SM_b20112,OANT_RS00190,26.154,260,179,3,42,294,29,282,4.52e-16,73.9
SM_b20113,OANT_RS07110,39.482,309,181,5,5,310,4,309,1.51e-64,203
SM_b20114,OANT_RS17315,67.635,241,78,0,1,241,1,241,5.79e-124,349
SM_b20115,OANT_RS17310,71.353,569,163,0,5,573,9,577,0.0,858
SM_b20117,OANT_RS02055,30.075,133,86,3,162,294,231,356,2.41e-09,55.5
SM_b20118,OANT_RS19950,33.913,115,65,2,30,138,19,128,2.79e-16,67.8
SM_b20123,OANT_RS22710,32.660,297,200,0,1,297,1,297,2.33e-48,160
SM_b20124,OANT_RS17135,44.378,498,273,4,6,502,5,499,1.07e-127,379
SM_b20125,OANT_RS17125,41.297,293,170,1,19,309,19,311,1.03e-64,203
SM_b20126,OANT_RS18760,41.017,295,172,2,70,362,56,350,6.27e-66,210
SM_b20127,OANT_RS18750,27.215,316,217,5,11,322,7,313,2.02e-28,110
SM_b20128,OANT_RS17150,29.293,396,259,10,37,420,16,402,2.45e-38,141
SM_b20129,OANT_RS22785,39.474,190,109,2,35,221,27,213,4.63e-33,117
SM_b20130,OANT_RS02365,33.333,243,158,3,26,267,227,466,5.06e-29,112
SM_b20131,OANT_RS02365,46.104,154,74,3,5,149,13,166,1.34e-35,126
SM_b20132,OANT_RS02370,30.038,789,480,21,19,764,18,777,3.83e-68,237
SM_b20133,OANT_RS07090,40.426,376,168,7,10,338,22,388,1.95e-75,235
SM_b20134,OANT_RS04995,41.084,443,248,3,21,460,26,458,6.88e-99,303
SM_b20135,OANT_RS24680,60.753,186,73,0,9,194,4,189,8.31e-84,244
SM_b20136,OANT_RS24675,33.735,415,255,8,22,428,13,415,4.01e-58,195
SM_b20140,OANT_RS13700,33.476,233,149,4,1,230,1,230,2.45e-32,118
SM_b20141,OANT_RS03240,47.619,567,252,6,5,527,13,578,2.87e-171,496
SM_b20142,OANT_RS19635,40.083,242,142,1,55,296,43,281,1.21e-57,184
SM_b20143,OANT_RS15460,37.415,294,175,2,20,304,9,302,5.87e-65,204
SM_b20144,OANT_RS19645,30.228,526,312,21,9,501,6,509,3.17e-49,174
SM_b20146,OANT_RS13515,36.283,339,184,5,4,316,8,340,6.99e-61,195
SM_b20147,OANT_RS15270,39.319,323,190,4,51,368,68,389,4.27e-65,209
SM_b20148,OANT_RS19420,32.889,225,140,3,12,230,11,230,1.49e-28,105
SM_b20150,OANT_RS19830,39.080,261,151,5,9,263,8,266,6.90e-49,160
SM_b20153,OANT_RS08765,36.166,553,340,4,4,544,4,555,1.42e-98,307
SM_b20154,OANT_RS19165,38.154,325,190,4,5,321,19,340,5.90e-64,204
SM_b20155,OANT_RS07555,26.938,516,334,10,85,586,43,529,4.20e-35,137
SM_b20156,OANT_RS01920,45.566,327,149,6,1,320,1,305,4.39e-90,272
SM_b20159,OANT_RS19830,32.203,236,148,5,17,250,13,238,1.19e-26,102
SM_b20162,OANT_RS02140,33.333,207,135,1,17,223,4,207,4.05e-33,116
SM_b20164,OANT_RS02145,34.672,548,320,8,212,745,637,1160,5.68e-88,298
SM_b20170,OANT_RS00730,72.074,376,98,2,1,375,1,370,0.0,560
SM_b20171,OANT_RS00715,48.921,278,139,3,5,279,1,278,1.08e-98,288
SM_b20172,OANT_RS15275,48.485,99,50,1,34,132,28,125,8.20e-30,102
SM_b20173,OANT_RS01555,28.212,358,192,12,47,368,171,499,4.18e-24,104
SM_b20179,OANT_RS16710,26.708,322,201,9,24,322,204,513,3.66e-20,88.2
SM_b20182,OANT_RS07380,30.263,152,106,0,64,215,63,214,3.37e-16,73.2
SM_b20183,OANT_RS24875,35.398,226,115,5,1,201,1,220,1.80e-33,117
SM_b20184,OANT_RS15165,33.482,224,147,1,4,227,5,226,1.36e-38,134
SM_b20195,OANT_RS12345,66.359,217,73,0,7,223,6,222,2.07e-104,298
SM_b20198,OANT_RS15870,27.189,434,280,9,38,455,2,415,1.92e-32,125
SM_b20199,OANT_RS15055,70.739,352,103,0,1,352,1,352,0.0,533
SM_b20200,OANT_RS06135,60.930,645,244,4,15,654,7,648,0.0,786
SM_b20201,OANT_RS25120,28.713,202,118,6,2,202,419,595,4.49e-10,57.4
SM_b20202,OANT_RS15050,40.938,320,181,3,8,327,26,337,6.96e-74,229
SM_b20203,OANT_RS17615,34.848,198,116,6,6,195,3,195,1.62e-17,78.6
SM_b20208,OANT_RS11580,29.448,163,108,5,28,184,31,192,1.11e-09,56.2
SM_b20210,OANT_RS07120,34.167,240,143,6,6,233,12,248,2.80e-34,120
SM_b20211,OANT_RS18665,36.824,296,182,3,1,295,1,292,2.14e-54,176
SM_b20212,OANT_RS10365,31.159,138,72,5,88,225,73,187,8.35e-12,59.3
SM_b20214,OANT_RS05800,33.149,181,119,2,8,186,9,189,1.31e-23,94.0
SM_b20215,OANT_RS06350,32.188,320,207,5,4,317,4,319,6.85e-44,150
SM_b20216,OANT_RS18570,33.333,126,82,2,44,169,1,124,9.41e-11,59.3
SM_b20218,OANT_RS08550,34.875,281,177,6,161,439,169,445,1.59e-44,159
SM_b20219,OANT_RS08555,37.931,232,132,5,6,237,15,234,4.39e-44,145
SM_b20230,OANT_RS19380,29.487,312,210,4,3,312,12,315,1.40e-29,113
SM_b20231,OANT_RS20090,24.638,345,224,10,97,427,72,394,2.12e-21,92.8
SM_b20232,OANT_RS08680,35.918,245,152,3,54,297,56,296,6.00e-47,157
SM_b20233,OANT_RS12885,36.842,247,156,0,36,282,36,282,1.62e-64,201
SM_b20235,OANT_RS01920,62.000,350,130,1,1,347,1,350,7.64e-154,434
SM_b20236,OANT_RS22125,64.865,37,13,0,6,42,10,46,1.12e-09,49.7
SM_b20238,OANT_RS05325,34.286,105,68,1,54,158,60,163,4.98e-11,58.5
SM_b20239,OANT_RS22780,60.194,309,119,2,13,321,6,310,3.36e-137,390
SM_b20244,OANT_RS22775,32.934,334,171,13,24,338,6,305,1.31e-33,124
SM_b20245,OANT_RS03170,28.333,360,200,10,3,346,2,319,1.62e-31,119
SM_b20246,OANT_RS20130,27.451,306,182,8,36,311,26,321,9.91e-19,82.8
SM_b20247,OANT_RS15260,26.482,253,159,6,14,245,2,248,1.41e-17,79.7
SM_b20258,OANT_RS15020,66.522,230,77,0,7,236,5,234,6.42e-109,310
SM_b20259,OANT_RS15025,80.000,320,64,0,1,320,1,320,0.0,513
SM_b20261,OANT_RS15030,70.145,345,101,2,1,345,1,343,8.85e-175,486
SM_b20262,OANT_RS22640,29.462,465,274,20,10,454,9,439,7.34e-24,101
SM_b20263,OANT_RS19365,30.638,235,158,3,25,259,30,259,2.77e-29,108
SM_b20264,OANT_RS14770,35.749,207,128,2,13,215,8,213,4.78e-36,124
SM_b20265,OANT_RS19370,30.952,210,139,2,8,214,7,213,3.73e-26,98.2
SM_b20266,OANT_RS18090,53.719,242,106,1,1,236,7,248,1.13e-90,265
SM_b20267,OANT_RS05740,52.645,397,187,1,17,413,23,418,1.18e-149,428
SM_b20268,OANT_RS05745,77.083,336,73,1,1,332,1,336,0.0,546
SM_b20269,OANT_RS00050,39.568,417,230,8,151,553,1,409,7.62e-86,270
SM_b20270,OANT_RS02305,69.322,339,103,1,1,339,1,338,1.48e-176,490
SM_b20272,OANT_RS08300,25.450,389,262,9,3,368,14,397,2.00e-16,77.8
SM_b20275,OANT_RS15145,27.875,287,168,9,10,266,9,286,1.99e-14,69.3
SM_b20276,OANT_RS19800,25.652,230,152,5,15,236,27,245,5.12e-14,67.8
SM_b20277,OANT_RS14790,40.826,436,254,4,2,437,13,444,2.20e-99,302
SM_b20281,OANT_RS20265,46.667,360,185,5,2,354,20,379,2.16e-102,304
SM_b20282,OANT_RS14540,33.205,259,158,3,19,262,18,276,5.23e-37,129
SM_b20283,OANT_RS14535,33.096,281,174,4,39,309,2,278,6.81e-42,144
SM_b20284,OANT_RS24950,28.213,319,190,16,5,304,24,322,2.37e-18,82.8
SM_b20285,OANT_RS23770,26.336,262,167,6,4,252,1,249,4.96e-15,71.2
SM_b20288,OANT_RS02390,23.978,367,249,10,33,383,34,386,9.80e-18,82.4
SM_b20289,OANT_RS04995,28.899,436,303,3,11,440,14,448,5.78e-59,198
SM_b20290,OANT_RS15230,26.377,345,215,12,8,329,5,333,4.12e-14,69.3
SM_b20291,OANT_RS21145,40.785,331,178,4,1,324,32,351,2.54e-66,231
SM_b20292,OANT_RS12625,35.714,336,200,8,1,327,1,329,5.63e-55,179
SM_b20294,OANT_RS15875,36.564,227,141,3,6,230,9,234,2.89e-43,143
SM_b20295,OANT_RS21100,32.862,283,188,2,14,296,18,298,1.93e-47,159
SM_b20296,OANT_RS20120,26.866,134,96,1,3,136,11,142,8.34e-11,55.1
SM_b20297,OANT_RS21110,40.143,421,251,1,3,422,4,424,1.87e-101,306
SM_b20299,OANT_RS13700,29.514,288,194,4,3,284,2,286,2.32e-32,118
SM_b20301,OANT_RS06115,43.413,334,181,7,46,374,50,380,4.10e-82,253
SM_b20305,OANT_RS25915,35.000,120,70,3,1,116,1,116,1.53e-10,54.7
SM_b20307,OANT_RS21005,57.746,213,90,0,2,214,1,213,4.97e-85,248
SM_b20312,OANT_RS25870,75.907,689,163,1,10,695,6,694,0.0,1087
SM_b20313,OANT_RS20990,84.434,212,33,0,15,226,1,212,1.92e-119,336
SM_b20314,OANT_RS20985,88.485,330,38,0,1,330,1,330,0.0,574
SM_b20315,OANT_RS20960,67.081,322,106,0,7,328,7,328,3.83e-151,425
SM_b20316,OANT_RS20955,77.177,333,75,1,1,333,1,332,0.0,532
SM_b20317,OANT_RS20950,66.667,510,165,2,12,516,13,522,0.0,672
SM_b20318,OANT_RS20945,66.082,342,116,0,1,342,1,342,5.03e-143,405
SM_b20319,OANT_RS11020,63.250,400,144,1,1,400,1,397,7.02e-180,504
SM_b20320,OANT_RS22845,25.000,304,224,3,6,306,2,304,7.06e-31,116
SM_b20321,OANT_RS21110,35.507,414,264,2,6,419,9,419,1.09e-71,229
SM_b20323,OANT_RS16015,30.508,177,121,2,10,185,22,197,5.10e-19,79.3
SM_b20324,OANT_RS15230,74.556,338,85,1,1,337,1,338,0.0,526
