Melitensis16M,O_anthropi,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BME_RS00005,OANT_RS04410,0,669,95.601,0,669,95.601
BME_RS00010,OANT_RS04415,2.17e-115,322,85.955,1.38e-115,322,85.955
BME_RS00020,OANT_RS04420,0,843,99.522,0,843,99.522
BME_RS00025,OANT_RS04425,0,816,82.289,0,816,82.289
BME_RS00030,OANT_RS04430,0,736,81.9,0,736,81.9
BME_RS00035,OANT_RS04435,0,1107,86.95,0,1107,86.95
BME_RS00040,OANT_RS04440,9.95e-137,379,87.264,6.33e-137,379,87.264
BME_RS00045,OANT_RS04445,0,513,95.849,0,513,95.849
BME_RS00050,OANT_RS04450,0,557,94.198,0,557,94.198
BME_RS00055,OANT_RS04455,0,642,89.914,0,642,89.914
BME_RS00060,OANT_RS04465,0,495,93.182,0,495,93.182
BME_RS00065,OANT_RS04470,0,550,96.939,0,550,96.939
BME_RS00070,OANT_RS04475,0,604,96.215,0,604,96.215
BME_RS00080,OANT_RS04480,0,638,89.412,0,638,89.412
BME_RS00085,OANT_RS04485,0,698,86.632,0,712,86.632
BME_RS00090,OANT_RS04490,0,661,94.034,0,661,94.034
BME_RS00095,OANT_RS04495,0,604,92.192,0,605,92.192
BME_RS00100,OANT_RS04500,0,945,89.118,0,945,89.118
BME_RS00105,OANT_RS04505,4.25e-70,213,94.545,2.7e-70,213,94.545
BME_RS00110,OANT_RS04510,0,997,95.85,0,997,95.85
BME_RS00115,OANT_RS04515,0,874,88.259,0,884,88.259
BME_RS00120,OANT_RS04520,1.04e-147,410,91.339,4.62e-148,410,91.339
BME_RS00135,OANT_RS04530,1.6e-11,55.8,85.185,1.04e-11,55.8,85.185
BME_RS00140,OANT_RS04535,5.23e-177,484,92.52,3.33e-177,484,92.52
BME_RS00145,OANT_RS04665,9.25e-12,48.9,100,5.88e-12,48.9,100
BME_RS00150,OANT_RS04670,0,733,93.798,0,732,93.798
BME_RS00155,OANT_RS04675,0,636,85.714,0,667,85.714
BME_RS00160,OANT_RS04680,0,647,84.461,0,659,84.75
BME_RS00165,OANT_RS04685,6.05e-46,139,84,3.85e-46,139,84
BME_RS00170,OANT_RS04690,0,693,84.223,0,696,83.495
BME_RS00175,OANT_RS04695,0,593,95.584,0,592,95.584
BME_RS00180,OANT_RS04700,0,528,87.622,1.42e-179,494,87.622
BME_RS00185,OANT_RS04705,1.72e-23,81.6,76,7.01e-25,84.7,76.923
BME_RS00190,OANT_RS04710,4.72e-117,328,80.102,2.94e-117,328,80.102
BME_RS00195,OANT_RS04715,0,658,88.533,0,658,88.533
BME_RS00200,OANT_RS04720,0,778,88.657,0,755,88.657
BME_RS00205,OANT_RS04725,6.98e-54,160,79.612,5.16e-57,168,79.612
BME_RS00210,OANT_RS04730,3.22e-150,412,92.344,2.05e-150,412,92.344
BME_RS00215,OANT_RS04735,0,663,96.951,0,663,96.951
