C_crescentus|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
CC_0001,BME_RS10195,49.254,268,135,1,42,308,6,273,2.93e-86,257
CC_0002,BME_RS10190,46.328,177,94,1,6,181,5,181,4.95e-51,160
CC_0003,BME_RS10185,46.718,259,133,4,14,269,14,270,2.13e-67,208
CC_0004,BME_RS10180,58.031,193,79,1,24,216,1,191,1.31e-73,218
CC_0005,BME_RS10175,49.356,233,111,4,3,230,2,232,8.37e-70,211
CC_0006,BME_RS09630,63.953,258,89,2,4,261,3,256,3.71e-111,317
CC_0007,BME_RS09620,65.517,87,30,0,1,87,1,87,4.65e-35,112
CC_0008,BME_RS09615,37.832,489,264,10,27,486,62,539,3.89e-84,266
CC_0009,BME_RS13810,42.246,187,103,2,35,217,26,211,7.00e-45,145
CC_0010,BME_RS09910,74.882,637,154,1,1,631,1,637,0.0,983
CC_0011,BME_RS09900,57.256,379,152,3,3,380,4,373,5.19e-145,413
CC_0012,BME_RS08925,51.059,897,417,8,15,900,21,906,0.0,841
CC_0013,BME_RS08940,44.300,921,491,11,9,917,7,917,0.0,741
CC_0014,BME_RS04205,61.392,158,59,1,31,186,4,161,2.78e-61,184
CC_0015,BME_RS13970,33.333,138,85,4,20,152,1,136,1.50e-13,62.4
CC_0016,BME_RS06315,40.667,150,87,1,1,148,9,158,1.94e-39,127
CC_0018,BME_RS05100,68.997,329,100,1,23,349,16,344,4.20e-165,461
CC_0022,BME_RS07855,35.897,156,87,4,5,147,13,168,3.93e-24,94.4
CC_0024,BME_RS08775,39.245,265,141,4,33,279,76,338,2.77e-36,131
CC_0025,BME_RS12185,48.636,440,220,3,12,450,19,453,2.71e-135,404
CC_0026,BME_RS06670,37.402,254,145,7,515,763,532,776,4.76e-40,155
CC_0029,BME_RS09265,30.476,210,146,0,1,210,10,219,1.16e-29,106
CC_0030,BME_RS06280,31.250,176,100,7,60,221,42,210,6.09e-23,90.1
