Melitensis16M|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00005,BME_RS00005,100.000,341,0,0,1,341,1,341,0.0,692
BME_RS00010,BME_RS00010,100.000,178,0,0,1,178,1,178,8.71e-130,358
BME_RS00020,BME_RS00020,100.000,418,0,0,1,418,1,418,0.0,844
BME_RS00025,BME_RS00025,100.000,643,0,0,1,643,1,643,0.0,1307
BME_RS00030,BME_RS00030,100.000,442,0,0,1,442,1,442,0.0,895
BME_RS00035,BME_RS00035,100.000,636,0,0,1,636,1,636,0.0,1286
BME_RS00040,BME_RS00040,100.000,213,0,0,1,213,1,213,2.21e-157,431
BME_RS00045,BME_RS00045,100.000,265,0,0,1,265,1,265,0.0,538
BME_RS00050,BME_RS00050,100.000,293,0,0,1,293,1,293,0.0,590
BME_RS00055,BME_RS00055,100.000,347,0,0,1,347,1,347,0.0,696
BME_RS00060,BME_RS00060,100.000,264,0,0,1,264,1,264,0.0,527
BME_RS00065,BME_RS00065,100.000,294,0,0,1,294,1,294,0.0,566
BME_RS00070,BME_RS00070,100.000,321,0,0,1,321,1,321,0.0,633
BME_RS00075,BME_RS00075,100.000,69,0,0,1,69,1,69,9.01e-48,142
BME_RS00080,BME_RS00080,100.000,340,0,0,1,340,1,340,0.0,696
BME_RS00085,BME_RS00085,100.000,389,0,0,1,389,1,389,0.0,801
BME_RS00090,BME_RS00090,100.000,352,0,0,1,352,1,352,0.0,708
BME_RS00095,BME_RS00095,100.000,333,0,0,1,333,1,333,0.0,669
BME_RS00100,BME_RS00100,100.000,496,0,0,1,496,1,496,0.0,1010
BME_RS00105,BME_RS00105,100.000,259,0,0,1,259,1,259,0.0,513
BME_RS00110,BME_RS00110,100.000,506,0,0,1,506,1,506,0.0,1027
BME_RS00115,BME_RS00115,100.000,494,0,0,1,494,1,494,0.0,1011
BME_RS00120,BME_RS00120,100.000,254,0,0,1,254,1,254,0.0,502
BME_RS00125,BME_RS00125,100.000,427,0,0,1,427,1,427,0.0,833
BME_RS00130,BME_RS00130,100.000,131,0,0,1,131,1,131,4.85e-92,259
BME_RS00135,BME_RS00135,100.000,144,0,0,1,144,1,144,5.04e-104,290
BME_RS00140,BME_RS00140,100.000,254,0,0,1,254,1,254,0.0,517
BME_RS00145,BME_RS00145,100.000,25,0,0,1,25,1,25,5.88e-12,48.9
BME_RS00150,BME_RS00150,100.000,387,0,0,1,387,1,387,0.0,791
BME_RS00155,BME_RS00155,100.000,371,0,0,1,371,1,371,0.0,765
BME_RS00160,BME_RS00160,100.000,388,0,0,1,388,1,388,0.0,787
BME_RS00165,BME_RS00165,100.000,78,0,0,1,78,1,78,8.84e-56,163
BME_RS00170,BME_RS00170,100.000,403,0,0,1,403,1,403,0.0,830
BME_RS00175,BME_RS00175,100.000,317,0,0,1,317,1,317,0.0,648
BME_RS00180,BME_RS00180,100.000,307,0,0,1,307,1,307,0.0,617
