Melitensis16M|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00005,CC_3763,45.401,337,183,1,4,340,13,348,1.09e-99,295
BME_RS00010,CC_3761,49.286,140,65,1,43,176,11,150,9.63e-41,132
BME_RS00020,CC_3760,80.861,418,80,0,1,418,64,481,0.0,709
BME_RS00030,CC_3756,44.743,447,231,5,9,442,3,446,2.82e-112,335
BME_RS00035,CC_3755,57.699,617,261,0,2,618,20,636,0.0,728
BME_RS00040,CC_3754,42.473,186,104,1,25,210,21,203,1.47e-48,155
BME_RS00045,CC_3753,64.479,259,91,1,6,264,7,264,6.68e-121,343
BME_RS00050,CC_3752,51.049,286,139,1,7,291,5,290,1.11e-90,268
BME_RS00055,CC_3751,34.343,198,125,2,1,193,1,198,2.40e-27,107
BME_RS00060,CC_1831,28.571,259,157,5,1,244,3,248,1.85e-26,100
BME_RS00090,CC_1627,33.929,336,212,5,7,337,3,333,6.16e-43,149
BME_RS00095,CC_1225,28.620,297,202,5,40,329,73,366,7.22e-27,105
BME_RS00105,CC_2575,43.269,104,52,3,13,109,12,115,6.57e-16,72.4
BME_RS00110,CC_3141,39.916,476,281,5,23,494,21,495,6.82e-113,340
BME_RS00115,CC_1634,24.138,580,323,18,6,490,15,572,9.53e-24,101
BME_RS00120,CC_1808,33.468,248,157,3,7,252,9,250,2.80e-27,102
BME_RS00125,CC_1278,55.046,109,47,2,3,110,11,118,8.16e-26,106
BME_RS00140,CC_1808,40.486,247,137,6,2,244,7,247,9.79e-42,140
BME_RS00150,CC_2456,34.190,389,226,10,11,375,17,399,9.07e-58,191
BME_RS00155,CC_2161,44.344,221,113,2,28,244,49,263,7.16e-55,183
BME_RS00160,CC_0321,48.634,183,88,3,5,187,11,187,2.88e-42,149
BME_RS00165,CC_1839,40.000,70,41,1,9,77,6,75,7.94e-12,52.4
BME_RS00175,CC_2995,60.383,313,124,0,3,315,4,316,6.60e-138,390
BME_RS00180,CC_3006,46.179,301,152,4,8,306,9,301,1.01e-82,249
BME_RS00190,CC_3008,53.659,164,75,1,21,184,29,191,3.42e-60,184
