C_crescentus|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
CC_0001,BAB_RS25780,49.254,268,135,1,42,308,6,273,2.92e-86,257
CC_0002,BAB_RS25785,47.458,177,92,1,6,181,5,181,6.38e-52,162
CC_0003,BAB_RS25790,46.332,259,134,4,14,269,14,270,1.36e-66,206
CC_0004,BAB_RS25795,58.031,193,79,1,24,216,1,191,1.81e-73,218
CC_0005,BAB_RS25800,49.356,233,111,4,3,230,2,232,5.75e-70,211
CC_0006,BAB_RS26345,64.341,258,88,2,4,261,3,256,1.55e-112,321
CC_0007,BAB_RS26350,65.517,87,30,0,1,87,1,87,4.62e-35,112
CC_0008,BAB_RS10420,37.832,489,264,10,27,486,62,539,3.86e-84,266
CC_0009,BAB_RS29700,42.246,187,103,2,35,217,26,211,1.55e-44,145
CC_0010,BAB_RS26065,75.039,637,153,1,1,631,1,637,0.0,983
CC_0011,BAB_RS26070,56.992,379,153,3,3,380,4,373,1.25e-144,412
CC_0012,BAB_RS16610,51.171,897,416,8,15,900,21,906,0.0,841
CC_0013,BAB_RS16600,44.300,921,491,11,9,917,7,917,0.0,741
CC_0014,BAB_RS21500,61.392,158,59,1,31,186,4,161,3.29e-61,184
CC_0015,BAB_RS29870,33.333,138,85,4,20,152,1,136,1.49e-13,62.4
CC_0016,BAB_RS19350,40.667,150,87,1,1,148,9,158,1.93e-39,127
CC_0018,BAB_RS20590,68.693,329,101,1,23,349,16,344,2.90e-164,459
CC_0022,BAB_RS17735,36.538,156,86,4,5,147,13,168,2.12e-25,98.2
CC_0024,BAB_RS16760,39.623,265,140,4,33,279,76,338,6.23e-37,133
CC_0025,BAB_RS28030,48.636,440,220,3,12,450,19,453,8.55e-135,402
CC_0026,BAB_RS18995,37.402,254,145,7,515,763,532,776,4.41e-40,155
CC_0029,BAB_RS16270,30.952,210,145,0,1,210,10,219,3.36e-30,107
CC_0030,BAB_RS19385,31.250,176,100,7,60,221,42,210,2.02e-22,88.6
CC_0034,BAB_RS26265,71.849,714,197,1,1,710,1,714,0.0,1021
CC_0035,BAB_RS26260,78.652,89,19,0,1,89,1,89,4.45e-46,139
CC_0036,BAB_RS26255,44.985,329,151,6,1,307,1,321,9.26e-91,270
CC_0037,BAB_RS26250,43.382,136,70,3,1,135,1,130,5.28e-32,108
CC_0042,BAB_RS26245,52.661,902,351,16,174,1036,95,959,0.0,806
CC_0043,BAB_RS26240,44.503,191,97,4,17,199,21,210,2.11e-39,132
CC_0044,BAB_RS26235,64.535,516,180,1,3,518,1,513,0.0,671
CC_0045,BAB_RS26230,41.176,170,82,4,1,158,51,214,1.44e-34,117
CC_0047,BAB_RS25435,54.070,172,79,0,1,172,1,172,1.38e-68,203
CC_0049,BAB_RS26225,38.991,218,127,3,59,270,15,232,2.69e-47,154
CC_0050,BAB_RS26220,59.479,422,147,10,1,404,1,416,1.50e-156,445
CC_0051,BAB_RS26215,51.128,133,61,2,6,134,3,135,5.06e-43,135
CC_0052,BAB_RS26210,38.200,500,278,13,12,495,15,499,1.82e-88,279
CC_0053,BAB_RS26205,46.800,250,108,4,61,286,86,334,1.56e-59,191
CC_0054,BAB_RS26200,55.556,117,47,1,44,155,37,153,3.63e-40,129
CC_0055,BAB_RS26195,48.534,307,145,3,10,303,16,322,2.83e-92,274
CC_0056,BAB_RS26190,60.652,399,147,3,7,396,23,420,3.73e-171,485
CC_0057,BAB_RS23905,52.033,123,59,0,12,134,18,140,8.03e-40,127
CC_0058,BAB_RS26180,38.000,150,92,1,1,149,14,163,8.80e-30,103
CC_0059,BAB_RS26175,33.486,218,128,7,2,207,3,215,3.59e-25,95.1
CC_0062,BAB_RS16580,56.250,192,77,4,35,222,1,189,3.22e-70,209
CC_0063,BAB_RS30290,26.110,383,255,9,53,430,27,386,4.04e-28,111
CC_0064,BAB_RS16590,53.314,347,144,1,13,341,6,352,7.49e-137,390
CC_0065,BAB_RS16595,38.795,531,303,8,31,550,3,522,8.18e-97,301
CC_0069,BAB_RS24950,56.667,90,38,1,3,91,2,91,1.63e-25,88.2
CC_0070,BAB_RS24945,50.765,327,155,2,5,330,4,325,3.34e-94,280
CC_0071,BAB_RS24940,55.801,362,154,3,9,367,1,359,1.49e-129,372
CC_0072,BAB_RS24935,51.935,310,134,5,7,315,11,306,4.90e-89,266
CC_0075,BAB_RS24920,32.843,408,258,7,1,401,1,399,3.59e-35,134
CC_0076,BAB_RS28485,52.057,705,332,4,1,702,27,728,0.0,717
CC_0077,BAB_RS28480,68.905,402,124,1,1,401,1,402,0.0,567
CC_0079,BAB_RS30100,38.177,351,210,3,42,391,31,375,2.00e-78,243
CC_0080,BAB_RS28475,58.124,597,247,3,2,597,3,597,0.0,714
CC_0081,BAB_RS28335,41.228,114,67,0,11,124,34,147,2.18e-24,89.4
CC_0082,BAB_RS28490,50.685,219,97,5,4,213,2,218,1.11e-58,181
