Abortus2308,O_anthropi,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS10420,OANT_RS00025,0,995,92.6,0,995,92.6
BAB_RS10425,OANT_RS00030,0,735,97.581,0,735,97.581
BAB_RS10435,OANT_RS00035,0,662,92.147,0,662,92.147
BAB_RS15955,OANT_RS00040,4.74e-170,467,88.672,2.96e-170,467,88.672
BAB_RS15960,OANT_RS00060,0,570,87.421,0,583,87.421
BAB_RS15965,OANT_RS00065,0,1022,90.741,0,1022,90.741
BAB_RS15970,OANT_RS00070,0,725,94.444,0,725,94.444
BAB_RS15975,OANT_RS00075,0,704,96.712,0,704,96.712
BAB_RS15980,OANT_RS00080,0,1076,81.626,0,1076,81.626
BAB_RS15985,OANT_RS00085,0,1164,89.194,0,1164,89.194
BAB_RS15990,OANT_RS00235,2.43e-38,119,83.333,1.54e-38,119,83.333
BAB_RS16000,OANT_RS00225,0,694,95.068,0,694,95.068
BAB_RS16005,OANT_RS00220,1.5e-171,471,89.773,2.18e-178,488,89.773
BAB_RS16010,OANT_RS00215,0,556,94.425,0,547,94.425
BAB_RS16015,OANT_RS00210,0,1165,91.756,0,1165,91.756
BAB_RS16020,OANT_RS00205,0,1051,95.14,0,1051,95.14
BAB_RS16025,OANT_RS00200,6.26e-176,486,96.311,6.27e-176,486,96.311
BAB_RS16030,OANT_RS00185,1.03e-127,364,70.079,1.11e-121,348,70.079
BAB_RS16035,OANT_RS00175,1.46e-12,50.8,100,9.25e-13,50.8,100
BAB_RS16040,OANT_RS00170,3.67e-44,138,91.358,6.96e-44,137,91.358
BAB_RS16045,OANT_RS00165,0,847,94.209,0,823,94.209
BAB_RS16050,OANT_RS00160,1.37e-131,366,90.187,1.33e-138,383,90.187
BAB_RS16055,OANT_RS00155,0,1113,97.703,0,1113,97.703
BAB_RS16060,OANT_RS00145,0,523,86.31,0,527,86.31
BAB_RS16065,OANT_RS00140,0,516,86.395,0,516,86.395
BAB_RS16070,OANT_RS00130,0,781,88.056,0,781,88.056
BAB_RS16075,OANT_RS00125,1.08e-143,395,97.512,6.8e-144,395,97.512
BAB_RS16080,OANT_RS00120,2.4e-72,207,98.131,1.52e-72,207,98.131
BAB_RS16085,OANT_RS00115,0,1074,89.587,0,1061,90.099
BAB_RS16090,OANT_RS00110,9.22e-87,246,85.821,5.83e-87,246,85.821
BAB_RS16095,OANT_RS00105,0,525,84.444,0,518,84.444
BAB_RS16100,OANT_RS00100,0,566,93.728,0,566,93.728
BAB_RS16105,OANT_RS00095,7.85e-166,456,90.283,4.93e-166,456,90.283
BAB_RS16110,OANT_RS00090,1.3e-117,330,77.333,1.89e-119,335,86.364
BAB_RS16115,OANT_RS00245,1.85e-145,410,67.913,1.16e-145,410,67.913
BAB_RS16120,OANT_RS00250,0,616,85.757,0,616,85.757
BAB_RS16130,OANT_RS00260,1.35e-133,370,88.038,8.51e-134,370,88.038
BAB_RS16135,OANT_RS00265,2e-71,206,82.787,1.28e-71,206,82.787
BAB_RS16140,OANT_RS00270,3.99e-52,163,70,3.78e-37,125,69.065
BAB_RS16145,OANT_RS00275,0,1154,89.671,0,1153,89.671
BAB_RS16150,OANT_RS00280,0,2499,83.386,0,2555,83.803
BAB_RS16155,OANT_RS00285,5.94e-168,460,90.871,3.76e-168,460,90.871
BAB_RS16160,OANT_RS00290,9e-23,80.1,57.576,6.75e-16,62,57.576
BAB_RS16165,OANT_RS00295,5e-107,300,86.826,3.16e-107,300,86.826
BAB_RS16170,OANT_RS00300,1.6e-179,498,72.515,0,512,72.515
BAB_RS16175,OANT_RS00305,1.43e-54,164,67.2,4.81e-55,165,67.2
BAB_RS16180,OANT_RS00320,1.14e-83,238,89.231,7.2e-84,238,89.231
BAB_RS16185,OANT_RS00330,0,687,92.802,0,687,92.802
BAB_RS16190,OANT_RS00335,0,1036,92.081,0,1011,92.081
BAB_RS16195,OANT_RS04100,4.47e-66,206,40.794,2.62e-69,214,40.339
BAB_RS16205,OANT_RS00370,9.77e-133,370,84.977,5.68e-133,370,84.977
BAB_RS16210,OANT_RS00375,1.91e-153,422,91.818,6.5e-158,433,90.83
BAB_RS16215,OANT_RS00380,2.31e-35,111,82.54,1.46e-35,111,82.54
BAB_RS16220,OANT_RS00385,1.53e-34,109,78.261,9.8e-35,109,78.261
BAB_RS16225,OANT_RS00390,3.9e-38,118,93.548,2.46e-38,118,93.548
BAB_RS16230,OANT_RS00395,4.28e-152,424,80.872,3.58e-156,434,83.803
BAB_RS16235,OANT_RS00400,3.85e-155,426,98.165,2.43e-155,426,98.165
BAB_RS16240,OANT_RS00405,0,2038,90.901,0,2038,90.901
BAB_RS16245,OANT_RS00410,0,835,87.269,0,835,87.269
BAB_RS16250,OANT_RS00415,4.15e-172,474,86.598,3.02e-172,474,86.598
BAB_RS16265,OANT_RS00440,0,816,98.522,0,816,98.522
BAB_RS16270,OANT_RS00450,6.38e-154,423,97.26,4.04e-154,423,97.26
BAB_RS16275,OANT_RS00455,6.75e-77,224,73.054,1.41e-72,213,73.054
BAB_RS16280,OANT_RS00460,0,833,97.81,0,833,97.81
BAB_RS16290,OANT_RS00465,1.21e-113,317,89.82,7.63e-114,317,89.82
BAB_RS16295,OANT_RS00470,2.16e-81,232,91.935,1.35e-81,232,91.935
BAB_RS16300,OANT_RS00480,2.16e-60,176,85.417,1.35e-60,176,85.417
BAB_RS16310,OANT_RS25215,3.35e-63,187,81.481,3.39e-63,187,81.481
BAB_RS16315,OANT_RS00490,5.57e-126,350,92.347,5.35e-126,350,92.347
BAB_RS16320,OANT_RS00495,1.74e-145,403,81.25,2.89e-141,392,80.417
BAB_RS16325,OANT_RS00500,9.78e-161,442,91.736,6.19e-161,442,91.736
BAB_RS16330,OANT_RS00505,0,1443,89.046,0,1451,89.046
BAB_RS16335,OANT_RS00510,2.67e-146,406,83.846,1.39e-152,422,84.231
BAB_RS16340,OANT_RS00515,2.64e-56,170,72.807,2.5e-56,170,72.807
BAB_RS16350,OANT_RS00520,7.63e-73,211,82.707,5.94e-73,211,81.955
BAB_RS16355,OANT_RS00525,1.39e-158,437,81.967,7.88e-152,419,81.967
BAB_RS16360,OANT_RS00535,0,1714,93.073,0,1714,93.073
BAB_RS16365,OANT_RS00540,6.3e-119,333,79.717,3.8e-119,333,79.717
BAB_RS16370,OANT_RS00545,7.59e-115,324,93.78,1.41e-122,343,93.665
BAB_RS16375,OANT_RS00550,3.86e-173,475,89.354,2.47e-173,475,89.354
BAB_RS16380,OANT_RS00555,4.78e-33,104,90.909,2.97e-33,104,90.909
BAB_RS16385,OANT_RS00560,4.24e-125,348,86.802,2.55e-125,348,86.802
BAB_RS16390,OANT_RS00570,0,1187,95.581,0,1166,95.581
BAB_RS16395,OANT_RS00575,8.99e-37,121,55.385,2.39e-35,117,54.688
BAB_RS16400,OANT_RS00580,1.24e-71,207,85.124,8.01e-72,207,85.124
BAB_RS16405,OANT_RS00585,3e-52,154,94.872,1.9e-52,154,94.872
BAB_RS16410,OANT_RS00595,2.54e-71,207,74.453,1.63e-71,207,74.453
BAB_RS16415,OANT_RS00600,1.89e-55,168,66.406,9.52e-56,168,66.406
BAB_RS16420,OANT_RS00605,3.67e-104,301,58.4,2.36e-104,301,58.4
BAB_RS16425,OANT_RS00610,0,624,89.474,0,644,89.474
BAB_RS16430,OANT_RS00615,6.93e-179,492,90.941,0,511,90.941
BAB_RS16435,OANT_RS00620,1.51e-167,463,91.438,1.16e-166,461,91.438
BAB_RS16440,OANT_RS00625,0,649,91.379,0,649,91.379
BAB_RS16445,OANT_RS00630,0,5442,91.994,0,5440,92.243
BAB_RS16450,OANT_RS00635,0,865,95.392,0,865,95.392
BAB_RS16455,OANT_RS00640,2.48e-172,474,86.594,2.8e-172,473,86.594
BAB_RS16460,OANT_RS00645,2.35e-169,465,91.701,1.39e-169,465,91.701
BAB_RS16465,OANT_RS00655,0,565,88.961,0,565,88.961
BAB_RS16470,OANT_RS00660,0,499,90.672,0,499,90.672
BAB_RS16475,OANT_RS00665,0,1376,89.637,0,1384,89.637
BAB_RS16480,OANT_RS00670,7.66e-116,327,72.174,7.61e-124,347,72.174
BAB_RS16485,OANT_RS00675,1.44e-114,324,74.236,1.03e-114,324,74.236
BAB_RS16490,OANT_RS00685,2.08e-149,410,95.61,1.31e-149,410,95.61
