Abortus2308,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS10420,SMc01167,0,653,66.412,0,659,66.603
BAB_RS10425,SMc00415,0,618,79.57,0,598,79.57
BAB_RS10435,SMc02863,7.48e-149,423,58.667,1.02e-139,399,58.4
BAB_RS15955,SMc02864,1.16e-121,345,73.361,8.79e-127,357,73.361
BAB_RS15960,SMc02828,1.33e-90,270,50.725,6.72e-91,270,50.725
BAB_RS15965,SMc02829,0,844,76.735,0,844,76.735
BAB_RS15970,SMc02830,0,563,75.532,0,584,75.532
BAB_RS15975,SMc02831,0,547,73.973,0,548,74.247
BAB_RS15985,SMc02832,0,578,49.147,0,583,48.44
BAB_RS16000,SMc00078,0,527,69.421,0,527,69.421
BAB_RS16005,SM_b21126,9.22e-107,307,59.302,4.58e-107,307,59.302
BAB_RS16010,SM_b21125,5.82e-127,360,62.989,2.15e-124,353,62.989
BAB_RS16015,SM_b21124,0,757,61.457,0,746,61.457
BAB_RS16020,SM_b21122,0,851,76.636,0,864,76.636
BAB_RS16025,SM_b21121,1.67e-144,407,84.711,1e-146,412,84.711
BAB_RS16035,SMc00435,1.01e-11,48.9,96,5.07e-12,48.9,96
BAB_RS16040,SMc00332,1.08e-26,94.4,60.377,2.78e-26,92.4,64.634
BAB_RS16045,SMc00333,0,744,81.556,0,717,81.111
BAB_RS16050,SMc00334,2.05e-107,305,73.077,9.98e-108,305,73.077
BAB_RS16055,SMc00335,0,975,86.596,0,977,86.596
BAB_RS16060,SMa1737,2.55e-27,107,29.582,4.92e-25,100,29.375
BAB_RS16065,SM_b20123,2.96e-25,100,31.776,1.48e-25,100,31.776
BAB_RS16070,SMc02909,4.75e-171,483,59.184,3.94e-176,495,59.184
BAB_RS16075,SMc02908,8.05e-120,335,79.602,4.04e-120,335,79.602
BAB_RS16080,SMc02906,1.97e-50,152,70.093,9.9e-51,152,70.093
BAB_RS16085,SMc02905,0,702,61.12,0,706,61.716
BAB_RS16090,SMc02904,7.62e-53,164,56.716,6.87e-53,164,56.716
BAB_RS16095,SMc02903,3.17e-88,265,46.25,3.93e-81,246,46.25
