Abortus2308,Melitensis16M,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS10420,BME_RS09615,0,1117,100,0,1117,100
BAB_RS10425,BME_RS09610,0,749,99.731,0,749,99.731
BAB_RS10435,BME_RS09605,0,763,100,0,763,100
BAB_RS15955,BME_RS09600,0,519,100,0,519,100
BAB_RS15960,BME_RS09595,0,647,99.057,0,647,99.057
BAB_RS15965,BME_RS09590,0,1098,99.445,0,1098,99.445
BAB_RS15970,BME_RS09585,0,760,99.736,0,760,99.736
BAB_RS15975,BME_RS09580,0,726,99.726,0,726,99.726
BAB_RS15980,BME_RS09575,0,1266,99.187,0,1266,99.187
BAB_RS15985,BME_RS09570,0,1281,99.839,0,1281,99.839
BAB_RS15990,BME_RS09565,1.33e-45,136,100,1.33e-45,136,100
BAB_RS15995,BME_RS09560,4.65e-80,227,95.69,4.62e-80,227,95.69
BAB_RS16000,BME_RS09555,0,720,99.178,0,720,99.178
BAB_RS16005,BME_RS16860,4.42e-98,285,94,2.83e-98,285,94
BAB_RS16010,BME_RS09540,0,583,99.652,0,583,99.652
BAB_RS16015,BME_RS09535,0,1359,99.851,0,1359,99.851
BAB_RS16020,BME_RS09530,0,1080,98.879,0,1080,98.879
BAB_RS16025,BME_RS09525,0,501,99.18,0,501,99.18
BAB_RS16030,BME_RS09510,0,519,100,0,519,100
BAB_RS16035,BME_RS09505,9.3e-13,50.8,100,9.25e-13,50.8,100
BAB_RS16040,BME_RS09500,6.63e-84,238,100,6.59e-84,238,100
BAB_RS16045,BME_RS09495,0,897,99.556,0,897,99.556
BAB_RS16050,BME_RS09490,3.55e-155,426,99.087,3.53e-155,426,99.087
BAB_RS16055,BME_RS09485,0,1132,99.647,0,1132,99.647
BAB_RS16060,BME_RS09480,0,650,100,0,650,100
BAB_RS16065,BME_RS09475,0,602,99.331,0,602,99.331
BAB_RS16070,BME_RS09470,0,877,100,0,877,100
BAB_RS16075,BME_RS09465,8.49e-146,400,99.502,8.44e-146,400,99.502
BAB_RS16080,BME_RS09460,1.55e-73,210,100,1.55e-73,210,100
BAB_RS16085,BME_RS09455,0,1206,99.834,0,1206,99.834
BAB_RS16090,BME_RS09450,2.56e-99,277,100,2.55e-99,277,100
BAB_RS16095,BME_RS09445,0,605,99.663,0,605,99.663
BAB_RS16100,BME_RS09440,0,595,100,0,595,100
BAB_RS16105,BME_RS09435,0,506,100,0,506,100
BAB_RS16110,BME_RS09430,2.56e-148,407,99.01,2.54e-148,407,99.01
BAB_RS16115,BME_RS09425,0,626,99.688,0,626,99.688
BAB_RS16120,BME_RS09420,0,704,100,0,704,100
BAB_RS16130,BME_RS09410,1.24e-149,410,98.565,1.23e-149,410,98.565
BAB_RS16135,BME_RS09405,9.14e-85,239,99.174,9.09e-85,239,99.174
BAB_RS16140,BME_RS09400,3.08e-69,206,72.414,5.78e-71,211,100
BAB_RS16145,BME_RS09395,0,1286,99.687,0,1286,99.687
BAB_RS16150,BME_RS09390,0,3098,99.937,0,3098,99.937
BAB_RS16155,BME_RS09385,0,496,100,0,496,100
BAB_RS16160,BME_RS09380,2.59e-49,146,100,2.58e-49,146,100
BAB_RS16165,BME_RS09375,1.39e-125,346,100,1.38e-125,346,100
BAB_RS16170,BME_RS09370,0,691,100,0,691,100
BAB_RS16175,BME_RS09365,1.58e-93,263,99.242,1.57e-93,263,99.242
BAB_RS16180,BME_RS09360,1.87e-92,259,98.473,1.86e-92,259,98.473
BAB_RS16185,BME_RS09355,0,773,99.742,0,773,99.742
BAB_RS16190,BME_RS09350,0,1105,99.816,0,1105,99.816
BAB_RS16195,BME_RS09345,0,604,99.663,0,604,99.663
BAB_RS16200,BME_RS09340,0,622,98.697,0,622,98.697
BAB_RS16205,BME_RS09335,1.99e-170,465,99.569,1.98e-170,465,99.569
BAB_RS16210,BME_RS09330,1.63e-170,465,98.253,1.62e-170,465,98.253
BAB_RS16215,BME_RS09325,1.55e-43,131,100,1.54e-43,131,100
BAB_RS16220,BME_RS09320,6.54e-46,137,100,6.5e-46,137,100
BAB_RS16225,BME_RS09315,2.46e-40,123,100,2.44e-40,123,100
BAB_RS16230,BME_RS09310,1.03e-84,252,100,1.03e-84,252,100
BAB_RS16235,BME_RS09305,1.46e-157,431,100,1.45e-157,431,100
BAB_RS16240,BME_RS09300,0,2214,99.907,0,2214,99.907
BAB_RS16245,BME_RS09295,0,956,99.793,0,956,99.793
BAB_RS16250,BME_RS09290,0,573,99.652,0,573,99.652
BAB_RS16260,BME_RS09275,0,498,99.184,0,498,99.184
BAB_RS16265,BME_RS09270,0,829,100,0,829,100
BAB_RS16270,BME_RS09265,1.72e-158,434,99.543,1.71e-158,434,99.543
BAB_RS16275,BME_RS09260,2.85e-116,323,99.401,2.83e-116,323,99.401
BAB_RS16280,BME_RS09255,0,843,99.757,0,843,99.757
BAB_RS16285,BME_RS09250,2.53e-45,135,100,2.51e-45,135,100
BAB_RS16290,BME_RS09245,7.94e-125,344,100,7.89e-125,344,100
BAB_RS16295,BME_RS09240,5.25e-90,253,99.213,5.22e-90,253,99.213
BAB_RS16300,BME_RS09235,9.69e-71,202,100,9.64e-71,202,100
BAB_RS16310,BME_RS16800,7.55e-79,227,100,1.39e-78,227,100
BAB_RS16315,BME_RS09225,5.86e-145,398,99.49,5.83e-145,398,99.49
BAB_RS16320,BME_RS09220,6.46e-178,485,100,6.43e-178,485,100
BAB_RS16325,BME_RS09210,3.62e-142,394,92.237,3.58e-142,394,92.237
BAB_RS16330,BME_RS09205,0,1507,94.953,0,1506,94.953
BAB_RS16335,BME_RS09200,4.62e-176,480,100,4.59e-176,480,100
BAB_RS16340,BME_RS09195,3.22e-61,182,79.825,4.8e-61,182,79.825
BAB_RS16350,BME_RS09190,1.76e-97,273,100,1.75e-97,273,100
BAB_RS16355,BME_RS09185,0,511,100,0,511,100
BAB_RS16360,BME_RS09180,0,1841,99.888,0,1841,99.888
BAB_RS16365,BME_RS09175,5.02e-159,435,99.535,4.99e-159,435,99.535
BAB_RS16370,BME_RS09170,9.7e-148,407,99.548,9.65e-148,407,99.548
BAB_RS16375,BME_RS09165,0,521,99.618,0,521,99.618
BAB_RS16380,BME_RS09160,1.18e-37,115,100,1.17e-37,115,100
BAB_RS16385,BME_RS09155,5.25e-151,414,100,5.22e-151,414,100
BAB_RS16390,BME_RS09150,0,1254,99.836,0,1254,99.836
BAB_RS16395,BME_RS09145,6.9e-110,305,99.342,6.86e-110,305,99.342
BAB_RS16400,BME_RS09140,8.17e-87,245,100,8.13e-87,245,100
BAB_RS16405,BME_RS09135,1.68e-54,160,100,1.67e-54,160,100
BAB_RS16410,BME_RS09130,3.07e-101,282,100,3.06e-101,282,100
BAB_RS16415,BME_RS09125,4.72e-119,329,98.758,4.69e-119,329,98.758
BAB_RS16420,BME_RS09120,0,555,99.265,0,555,99.265
BAB_RS16425,BME_RS09115,0,698,99.708,0,698,99.708
BAB_RS16430,BME_RS09110,0,556,99.653,0,556,99.653
BAB_RS16435,BME_RS09105,0,566,100,0,566,100
BAB_RS16440,BME_RS09100,0,727,100,0,727,100
BAB_RS16445,BME_RS09095,0,5835,99.407,0,5835,99.407
BAB_RS16450,BME_RS09090,0,892,99.77,0,892,99.77
BAB_RS16455,BME_RS09085,0,560,99.638,0,560,99.638
BAB_RS16460,BME_RS09080,0,538,99.237,0,538,99.237
BAB_RS16465,BME_RS09075,0,627,99.026,0,627,99.026
BAB_RS16470,BME_RS09070,0,552,100,0,552,100
BAB_RS16475,BME_RS09065,0,1553,99.607,0,1553,99.607
BAB_RS16480,BME_RS09060,4.44e-169,461,100,4.42e-169,461,100
BAB_RS16485,BME_RS09055,1.18e-166,455,100,1.18e-166,455,100
BAB_RS16490,BME_RS09050,3.83e-156,427,100,3.81e-156,427,100
BAB_RS16495,BME_RS09045,0,959,99.575,0,959,99.575
BAB_RS16500,BME_RS09040,0,1997,99.693,0,1997,99.693
BAB_RS16505,BME_RS09035,0,1273,99.681,0,1273,99.681
BAB_RS16510,BME_RS09030,0,1664,99.877,0,1664,99.877
BAB_RS16515,BME_RS09025,0,583,100,0,583,100
BAB_RS16520,BME_RS09020,2.57e-98,281,91.613,1.26e-98,282,91.613
BAB_RS16525,BME_RS09015,2.75e-86,246,97.581,2.73e-86,246,97.581
BAB_RS16530,BME_RS09010,0,756,99.73,0,756,99.73
BAB_RS16535,BME_RS09005,3.61e-64,185,97.895,3.59e-64,185,97.895
BAB_RS16540,BME_RS09000,0,1291,99.397,0,1291,99.397
BAB_RS16545,BME_RS08995,6.46e-140,385,99.482,6.42e-140,385,99.482
BAB_RS16550,BME_RS08990,0,869,99.767,0,869,99.767
BAB_RS16565,BME_RS08975,1.31e-137,379,99.465,1.3e-137,379,99.465
BAB_RS16570,BME_RS08970,3.39e-119,330,99.39,3.37e-119,330,99.39
BAB_RS16575,BME_RS08965,1.23e-154,423,100,1.22e-154,423,100
BAB_RS16580,BME_RS08960,4.63e-142,390,99.474,4.61e-142,390,99.474
BAB_RS16585,BME_RS08955,1.43e-129,357,100,1.42e-129,357,100
BAB_RS16590,BME_RS08950,0,729,99.437,0,729,99.437
BAB_RS16595,BME_RS08945,0,1042,99.622,0,1042,99.622
BAB_RS16600,BME_RS08940,0,1919,100,0,1919,100
BAB_RS16605,BME_RS08935,0,711,100,0,711,100
BAB_RS16610,BME_RS08925,0,1845,99.89,0,1845,99.89
BAB_RS16615,BME_RS08920,0,578,99.288,0,578,99.288
BAB_RS16620,BME_RS08915,6.69e-115,319,100,6.66e-115,319,100
BAB_RS16625,BME_RS08910,0,597,98.653,0,597,98.653
BAB_RS16630,BME_RS16765,8.28e-150,419,100,4.96e-150,419,100
BAB_RS16635,BME_RS08900,6.4e-73,208,100,6.37e-73,208,100
BAB_RS16640,BME_RS08895,2.16e-64,186,98.936,2.14e-64,186,98.936
BAB_RS16645,BME_RS08890,0,657,99.694,0,657,99.694
BAB_RS16650,BME_RS08885,8.21e-179,487,99.167,8.17e-179,487,99.167
BAB_RS16655,BME_RS08880,2.02e-159,436,99.537,2.01e-159,436,99.537
BAB_RS16660,BME_RS08875,0,560,100,0,560,100
BAB_RS16665,BME_RS08870,0,1011,99.4,0,1011,99.4
BAB_RS16670,BME_RS08865,2.18e-147,404,100,2.16e-147,404,100
BAB_RS16675,BME_RS08860,2.86e-110,306,100,2.85e-110,306,100
BAB_RS16680,BME_RS08855,3.09e-57,167,100,3.07e-57,167,100
BAB_RS16685,BME_RS08850,2.73e-101,283,100,2.71e-101,283,100
BAB_RS16690,BME_RS08845,2.1e-122,338,100,2.09e-122,338,100
BAB_RS16695,BME_RS08840,0,507,99.597,0,507,99.597
BAB_RS16700,BME_RS08835,2.18e-169,463,99.578,2.17e-169,463,99.578
BAB_RS16705,BME_RS08830,0,673,100,0,673,100
BAB_RS16710,BME_RS08825,1.76e-156,429,99.541,1.75e-156,429,99.541
BAB_RS16715,BME_RS08820,4.18e-165,451,100,4.16e-165,451,100
BAB_RS16720,BME_RS08815,0,710,100,0,710,100
BAB_RS16725,BME_RS08810,2.18e-177,483,99.58,2.17e-177,483,99.58
BAB_RS16740,BME_RS08795,1.11e-163,447,100,1.1e-163,447,100
BAB_RS16745,BME_RS08790,0,828,99.505,0,828,99.505
BAB_RS16750,BME_RS08785,0,603,100,0,603,100
BAB_RS16755,BME_RS08780,1.93e-88,249,100,1.92e-88,249,100
BAB_RS16760,BME_RS08775,0,937,99.791,0,937,99.791
BAB_RS16765,BME_RS08770,4.05e-69,198,100,4.03e-69,198,100
BAB_RS16770,BME_RS08765,0,1024,99.205,0,1024,99.205
BAB_RS16775,BME_RS08760,0,513,99.603,0,513,99.603
BAB_RS16780,BME_RS08755,1.89e-126,349,100,1.88e-126,349,100
BAB_RS16785,BME_RS08750,5.32e-70,200,100,5.29e-70,200,100
BAB_RS16790,BME_RS08745,1e-139,384,98.958,9.97e-140,384,98.958
BAB_RS16795,BME_RS08740,2.96e-53,157,100,2.95e-53,157,100
BAB_RS16800,BME_RS08735,1.04e-91,258,100,1.03e-91,258,100
BAB_RS16805,BME_RS08730,0,2583,99.841,0,2583,99.841
BAB_RS16810,BME_RS08725,8.28e-179,486,100,8.23e-179,486,100
BAB_RS16815,BME_RS08720,0,936,100,0,936,100
BAB_RS16820,BME_RS08715,0,633,99.346,0,633,99.346
BAB_RS16825,BME_RS08710,0,1308,99.689,0,1308,99.689
BAB_RS16830,BME_RS08705,0,568,100,0,568,100
BAB_RS16835,BME_RS08700,2.98e-12,49.7,100,2.96e-12,49.7,100
BAB_RS16840,BME_RS08695,0,517,100,0,517,100
BAB_RS16845,BME_RS08690,0,503,100,0,503,100
BAB_RS16850,BME_RS08685,0,531,100,0,531,100
BAB_RS16855,BME_RS08680,0,1002,98.608,0,1002,98.608
BAB_RS16860,BME_RS08675,0,643,99.689,0,643,99.689
BAB_RS16865,BME_RS08670,3.5e-172,492,99.573,3.49e-172,492,99.573
BAB_RS16870,BME_RS08665,0,687,99.128,0,687,99.128
BAB_RS16875,BME_RS08660,1.63e-86,244,100,1.48e-86,244,100
BAB_RS16880,BME_RS08655,0,682,99.706,0,682,99.706
BAB_RS16900,BME_RS16720,3.48e-44,133,96.97,3.46e-44,133,96.97
BAB_RS16905,BME_RS08645,0,976,100,0,976,100
BAB_RS16910,BME_RS08640,6.34e-124,350,94.388,6.28e-124,350,94.388
BAB_RS16915,BME_RS08635,8.75e-178,484,100,8.7e-178,484,100
BAB_RS16920,BME_RS08630,0,660,100,0,660,100
BAB_RS16925,BME_RS08625,1.93e-147,405,99.507,1.92e-147,405,99.507
BAB_RS16930,BME_RS08620,0,516,99.609,0,516,99.609
BAB_RS16935,BME_RS08615,2.63e-42,128,100,2.61e-42,128,100
BAB_RS16940,BME_RS08610,0,672,100,0,672,100
BAB_RS16945,BME_RS08605,0,585,100,0,585,100
BAB_RS16950,BME_RS08600,0,1436,99.431,0,1436,99.431
BAB_RS16955,BME_RS08595,0,1469,99.065,0,1469,99.065
BAB_RS16960,BME_RS08590,3.3e-32,107,92.157,2.01e-32,107,92.157
BAB_RS16965,BME_RS08585,4.95e-174,476,98.79,4.92e-174,476,98.79
BAB_RS16970,BME_RS08580,0,619,99.679,0,619,99.679
BAB_RS16975,BME_RS08575,0,767,100,0,767,100
BAB_RS16980,BME_RS08570,0,617,100,0,617,100
BAB_RS16985,BME_RS08565,1.56e-162,444,99.074,1.55e-162,444,99.074
BAB_RS16990,BME_RS08560,0,862,99.762,0,862,99.762
BAB_RS16995,BME_RS08555,0,863,99.76,0,863,99.76
BAB_RS17000,BME_RS08550,5.75e-75,213,100,5.72e-75,213,100
BAB_RS17015,BME_RS08545,0,923,99.329,0,923,99.329
BAB_RS17020,BME_RS08540,6.19e-135,371,100,6.16e-135,371,100
BAB_RS17025,BME_RS08535,0,573,99.291,0,573,99.291
BAB_RS17030,BME_RS08530,0,538,99.242,0,538,99.242
BAB_RS17035,BME_RS08525,0,896,100,0,896,100
BAB_RS17040,BME_RS08520,0,584,99.663,0,584,99.663
BAB_RS17045,BME_RS08515,0,588,100,0,588,100
BAB_RS17050,BME_RS08510,0,738,99.449,0,738,99.449
BAB_RS17055,BME_RS08505,0,754,99.194,0,754,99.194
BAB_RS17060,BME_RS08500,2.23e-85,240,100,2.22e-85,240,100
BAB_RS17065,BME_RS08495,0,731,99.721,0,731,99.721
BAB_RS17075,BME_RS08485,2.85e-177,483,99.18,2.83e-177,483,99.18
BAB_RS17080,BME_RS08480,0,570,98.932,0,570,98.932
BAB_RS17085,BME_RS08475,0,877,99.765,0,877,99.765
BAB_RS17090,BME_RS08470,8.59e-136,374,98.907,8.54e-136,374,98.907
BAB_RS17095,BME_RS08465,1.08e-45,136,100,1.07e-45,136,100
BAB_RS17100,BME_RS16710,2.52e-72,207,95.413,2.41e-72,207,95.413
BAB_RS17105,BME_RS08460,0,806,100,0,806,100
BAB_RS17110,BME_RS08455,1.69e-108,301,98.649,1.68e-108,301,98.649
BAB_RS17115,BME_RS08450,6.77e-49,145,98.611,6.73e-49,145,98.611
BAB_RS17125,BME_RS08445,0,589,99.659,0,589,99.659
BAB_RS17130,BME_RS08440,0,776,99.213,0,776,99.213
BAB_RS17140,BME_RS08435,8.96e-107,299,100,1.2e-106,299,100
BAB_RS17150,BME_RS08425,0,692,99.408,0,692,99.408
BAB_RS17160,BME_RS08415,0,1413,99.575,0,1413,99.575
BAB_RS17165,BME_RS08410,0,608,100,0,608,100
