O_anthropi|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00020,SMc01152,72.727,88,24,0,1,88,1,88,2.58e-37,118
OANT_RS00025,SMc01167,66.731,517,162,3,1,517,1,507,0.0,650
OANT_RS00030,SMc00415,78.763,372,79,0,1,372,1,372,0.0,612
OANT_RS00035,SMc02863,58.021,374,153,4,11,382,2,373,1.98e-146,417
OANT_RS00040,SMc02864,72.131,244,68,0,8,251,7,250,2.51e-120,341
OANT_RS00045,SMc02865,51.656,151,73,0,9,159,6,156,1.50e-52,162
OANT_RS00050,SM_b20269,39.568,417,230,8,1,409,151,553,5.68e-85,267
OANT_RS00055,SM_b20269,44.545,110,59,2,26,134,26,134,1.26e-21,87.4
OANT_RS00060,SMc02828,53.025,281,129,3,39,318,41,319,1.61e-94,280
OANT_RS00065,SMc02829,77.778,531,118,0,17,547,5,535,0.0,854
OANT_RS00070,SMc02830,76.064,376,90,0,4,379,2,377,0.0,572
OANT_RS00075,SMc02831,74.521,365,88,2,1,365,1,360,0.0,544
OANT_RS00080,SMc02832,38.136,590,338,9,39,614,38,614,1.60e-124,379
OANT_RS00085,SMc02832,49.490,588,287,6,25,608,31,612,0.0,588
OANT_RS00090,SMc02897,55.000,200,84,4,6,202,5,201,2.05e-64,198
OANT_RS00095,SMc02898,74.583,240,60,1,3,242,5,243,2.87e-123,348
OANT_RS00100,SMc02899,72.662,278,76,0,2,279,4,281,9.92e-158,438
OANT_RS00105,SMc02903,47.664,321,157,6,1,311,1,320,2.17e-95,283
OANT_RS00110,SMc02904,61.069,131,51,0,4,134,111,241,1.32e-55,171
OANT_RS00115,SMc02905,63.032,587,206,5,8,584,18,603,0.0,704
OANT_RS00120,SMc02906,68.224,107,34,0,1,107,1,107,1.27e-49,150
OANT_RS00125,SMc02908,78.607,201,43,0,1,201,1,201,2.02e-118,332
OANT_RS00130,SMc02909,58.088,408,171,0,12,419,5,412,4.96e-175,493
OANT_RS00135,SMc04229,31.858,113,77,0,4,116,1,113,5.21e-18,75.9
