O_anthropi,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
OANT_RS00020,SMc01152,2.58e-37,118,72.727,5.99e-41,127,72.727
OANT_RS00025,SMc01167,0,650,66.731,0,661,66.925
OANT_RS00030,SMc00415,0,612,78.763,0,593,78.763
OANT_RS00035,SMc02863,1.98e-146,417,58.021,5.48e-137,393,57.754
OANT_RS00040,SMc02864,2.51e-120,341,72.131,1.08e-125,354,72.131
OANT_RS00045,SMc02865,1.5e-52,162,51.656,1.12e-52,162,51.656
OANT_RS00050,SM_b20269,5.68e-85,267,39.568,7.62e-86,270,39.568
OANT_RS00060,SMc02828,1.61e-94,280,53.025,1.01e-90,271,53.025
OANT_RS00065,SMc02829,0,854,77.778,0,854,77.778
OANT_RS00070,SMc02830,0,572,76.064,0,592,76.064
OANT_RS00075,SMc02831,0,544,74.521,0,545,74.795
OANT_RS00085,SMc02832,0,588,49.49,0,591,48.534
OANT_RS00090,SMc02897,2.05e-64,198,55,2.45e-58,182,55.747
OANT_RS00095,SMc02898,2.87e-123,348,74.583,2.29e-123,348,74.583
OANT_RS00100,SMc02899,9.92e-158,438,72.662,7.8e-158,438,72.662
OANT_RS00105,SMc02903,2.17e-95,283,47.664,1.8e-89,268,47.664
OANT_RS00110,SMc02904,1.32e-55,171,61.069,1.89e-55,171,61.069
OANT_RS00115,SMc02905,0,704,63.032,0,713,63.419
OANT_RS00120,SMc02906,1.27e-49,150,68.224,1.01e-49,150,68.224
OANT_RS00125,SMc02908,2.02e-118,332,78.607,1.61e-118,332,78.607
OANT_RS00130,SMc02909,4.96e-175,493,58.088,1.67e-179,504,58.088
OANT_RS00140,SM_b21535,1.02e-26,103,33.197,7.93e-27,103,33.197
OANT_RS00145,SMa1737,3.32e-25,101,28.939,5.2e-21,89.7,28.939
OANT_RS00155,SMc00335,0,972,86.243,0,974,86.243
OANT_RS00160,SMc00334,1.49e-106,303,73.558,3.13e-101,289,73.558
OANT_RS00165,SMc00333,0,739,81.015,0,739,81.015
OANT_RS00170,SMc00332,2.76e-26,93.2,60.748,8.89e-27,94.4,67.073
OANT_RS00175,SMc00435,1.01e-11,48.9,96,8.02e-12,48.9,96
OANT_RS00195,SMc00774,0,946,70.634,0,946,70.634
OANT_RS00200,SM_b21121,0,661,83.721,0,683,83.721
OANT_RS00205,SM_b21122,0,852,76.449,0,867,76.449
OANT_RS00210,SM_b21124,0,749,60.542,0,739,60.542
OANT_RS00215,SM_b21125,2.39e-128,364,63.345,1.91e-128,364,63.345
OANT_RS00220,SM_b21126,9.77e-109,312,60.078,5.24e-106,305,60.078
OANT_RS00225,SMc00078,0,529,68.478,0,529,68.478
OANT_RS00245,SMc00519,3.02e-77,243,45.283,8.59e-84,260,45.283
OANT_RS00250,SM_b21487,4.58e-116,338,51.014,4.19e-116,338,51.014
OANT_RS00255,SM_b21488,0,944,69.559,0,916,69.559
OANT_RS00260,SM_b21489,7.66e-81,237,58.73,6.11e-81,237,58.73
OANT_RS00265,SM_b22024,1.64e-43,136,53.659,1.42e-43,136,53.659
OANT_RS00275,SMc03097,7.49e-133,401,39.013,1.86e-128,389,39.365
OANT_RS00280,SMc03096,2.01e-101,358,39.744,6.87e-86,308,39.744
OANT_RS00300,SMc01242,7.01e-114,331,49.123,6.74e-108,315,48.397
OANT_RS00330,SMc00876,0,532,69.898,0,525,67.5
OANT_RS00335,SMc03925,0,866,74.677,0,866,74.677
OANT_RS00340,SMc00558,1.41e-35,127,32.517,1.1e-35,127,32.517
OANT_RS00350,SMc02172,7.36e-151,432,55.263,5.71e-159,452,55.263
OANT_RS00355,SMc02171,0,580,84.257,0,558,84.257
OANT_RS00360,SMc02170,0,524,76.471,0,534,76.471
OANT_RS00365,SMc02169,2.36e-157,435,84.585,1.88e-157,435,84.585
OANT_RS00370,SMc02167,3.28e-69,208,50,2.52e-69,208,50
OANT_RS00375,SMc04240,2.65e-99,286,62.441,8.06e-101,289,63.256
OANT_RS00380,SMc02319,2.02e-09,45.8,39.062,1.58e-09,45.8,39.062
OANT_RS00395,SMc01850,3.87e-37,132,43.889,3e-35,127,53.719
OANT_RS00400,SMc00455,1.48e-70,212,51.707,1.19e-70,212,51.707
OANT_RS00405,SMc03788,0,1090,53.099,0,1096,53.099
OANT_RS00410,SMc03789,2.73e-112,341,40.458,2.25e-112,341,40.458
OANT_RS00415,SMc03790,3.18e-21,89,33.005,1.23e-22,92.8,30.42
OANT_RS00425,SMc00380,2.06e-12,59.7,33.108,1.53e-12,59.7,33.108
OANT_RS00440,SMc03826,0,786,95.062,0,786,95.062
OANT_RS00445,SMc01833,7.82e-09,46.6,34.328,6.15e-09,46.6,34.328
OANT_RS00450,SMc03827,2.62e-64,196,52.88,1.14e-68,207,50.235
OANT_RS00460,SMc03831,0,710,85.714,0,710,85.714
OANT_RS00465,SMc03832,5.53e-76,222,61.677,4.39e-76,222,61.677
OANT_RS00470,SMc03833,2.56e-43,136,52.893,2.01e-43,136,52.893
OANT_RS00480,SMc03834,4.37e-31,103,52.083,3.75e-31,103,52.083
OANT_RS00490,SMc03835,5.31e-100,285,76.705,6.88e-92,264,76.705
