O_anthropi|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00020,AYT27_RS00580,73.256,86,23,0,1,86,1,86,5.08e-43,130
OANT_RS00025,AYT27_RS00585,71.197,493,119,4,34,520,48,523,0.0,688
OANT_RS00030,AYT27_RS00590,66.043,374,124,3,1,372,1,373,0.0,506
OANT_RS00035,AYT27_RS00595,57.412,371,156,2,12,381,6,375,2.75e-146,416
OANT_RS00040,AYT27_RS01240,68.443,244,72,1,8,251,9,247,2.99e-123,347
OANT_RS00065,AYT27_RS01235,68.113,530,169,0,17,546,4,533,0.0,765
OANT_RS00070,AYT27_RS01230,68.665,367,112,2,14,379,16,380,0.0,523
OANT_RS00075,AYT27_RS01225,64.973,374,121,3,1,365,1,373,2.86e-178,496
OANT_RS00080,AYT27_RS04495,34.950,598,357,9,29,612,22,601,1.76e-113,348
OANT_RS00085,AYT27_RS04495,35.972,581,356,8,35,608,30,601,1.83e-121,369
OANT_RS00090,AYT27_RS01220,33.516,182,114,3,1,182,1,175,1.69e-37,125
OANT_RS00095,AYT27_RS01215,66.116,242,81,1,5,246,3,243,1.87e-115,327
OANT_RS00100,AYT27_RS01210,68.440,282,89,0,2,283,6,287,2.92e-151,421
OANT_RS00115,AYT27_RS01190,57.440,625,227,4,1,586,1,625,0.0,714
OANT_RS00120,AYT27_RS01185,65.421,107,37,0,1,107,1,107,1.46e-51,154
OANT_RS00125,AYT27_RS01180,79.602,201,41,0,1,201,1,201,1.22e-117,328
OANT_RS00130,AYT27_RS00905,34.679,421,243,12,8,419,19,416,5.85e-72,228
OANT_RS00140,AYT27_RS05920,28.346,127,91,0,4,130,8,134,3.04e-11,58.5
OANT_RS00145,AYT27_RS01175,54.128,327,149,1,6,332,9,334,7.40e-113,327
OANT_RS00155,AYT27_RS00465,84.982,566,85,0,1,566,1,566,0.0,1004
OANT_RS00160,AYT27_RS00470,59.223,206,84,0,1,206,1,206,5.38e-88,254
