Melitensis16M|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00005,SMc02794,68.652,319,100,0,22,340,1,319,2.65e-160,448
BME_RS00010,SMc02795,52.299,174,83,0,5,178,7,180,5.27e-67,200
BME_RS00020,SMc02796,95.455,418,19,0,1,418,4,421,0.0,815
BME_RS00030,SMc02797,53.636,440,193,4,9,442,5,439,4.79e-151,434
BME_RS00035,SMc02798,67.049,610,201,0,9,618,4,613,0.0,850
BME_RS00040,SMc02799,49.749,199,97,1,17,212,14,212,1.73e-64,196
BME_RS00045,SMc02800,76.245,261,60,1,5,265,6,264,2.11e-142,398
BME_RS00050,SMc02801,61.149,296,109,3,1,292,1,294,5.36e-126,358
BME_RS00055,SMc02802,44.606,343,189,1,1,343,1,342,1.33e-100,298
BME_RS00060,SMc03828,76.806,263,61,0,1,263,1,263,6.35e-148,412
BME_RS00065,SMc03829,83.276,293,48,1,1,293,1,292,2.12e-158,441
BME_RS00070,SMc03830,77.918,317,70,0,5,321,1,317,0.0,504
BME_RS00085,SMc04402,73.298,382,102,0,8,389,6,387,0.0,584
BME_RS00090,SMc04401,71.429,336,96,0,1,336,1,336,2.56e-174,486
BME_RS00095,SMc04400,71.471,333,95,0,1,333,1,333,1.02e-179,498
BME_RS00100,SMc04399,81.132,530,63,1,3,495,6,535,0.0,853
BME_RS00105,SMc04398,71.171,111,31,1,1,110,1,111,1.16e-50,164
BME_RS00110,SMc04397,75.198,504,125,0,1,504,1,504,0.0,783
BME_RS00115,SMc04392,73.939,495,122,1,4,491,4,498,0.0,751
BME_RS00120,SMc04391,70.703,256,71,2,2,254,3,257,4.82e-114,325
BME_RS00125,SMc04390,89.216,102,11,0,1,102,1,102,9.84e-58,196
BME_RS00140,SMc02037,39.431,246,142,6,2,243,10,252,3.94e-44,147
BME_RS00150,SMc00682,65.116,387,135,0,1,387,1,387,0.0,516
BME_RS00155,SMc00683,56.160,349,135,5,23,359,16,358,2.39e-134,385
