S_meliloti|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20002,BAB_RS30560,70.612,245,71,1,1,244,1,245,1.01e-124,358
SM_b20004,BAB_RS27185,34.130,293,188,3,1,291,2,291,2.04e-48,160
SM_b20005,BAB_RS23125,31.401,207,128,5,1,198,2,203,4.91e-23,88.6
SM_b20007,BAB_RS30360,43.349,436,234,6,36,467,3,429,1.04e-117,359
SM_b20009,BAB_RS30110,36.882,263,162,2,1,259,1,263,7.05e-45,151
SM_b20013,BAB_RS26860,31.496,127,74,3,9,135,1,114,2.70e-10,58.2
SM_b20014,BAB_RS27570,35.843,332,206,3,6,331,6,336,4.73e-48,161
SM_b20015,BAB_RS27520,40.569,281,164,2,32,312,36,313,1.31e-49,164
SM_b20016,BAB_RS28155,32.754,345,205,11,3,327,9,346,3.62e-31,117
SM_b20017,BAB_RS27800,35.236,508,304,12,4,496,24,521,1.21e-87,275
SM_b20018,BAB_RS23780,31.984,247,159,7,1,242,1,243,7.17e-19,82.8
SM_b20019,BAB_RS25105,35.802,405,216,10,6,376,4,398,3.05e-59,194
SM_b20020,BAB_RS29745,41.246,337,177,6,373,691,3,336,1.12e-78,251
SM_b20021,BAB_RS20165,41.333,150,87,1,7,156,1,149,1.24e-34,115
SM_b20023,BAB_RS29015,82.265,1201,213,0,3,1203,2,1202,0.0,2021
SM_b20024,BAB_RS27310,40.625,224,124,6,85,304,76,294,7.62e-37,135
SM_b20033,BAB_RS17415,27.950,161,107,4,20,180,32,183,4.14e-12,60.1
SM_b20035,BAB_RS17710,26.959,434,280,10,17,418,24,452,1.99e-30,119
SM_b20037,BAB_RS25790,32.857,280,176,4,3,278,4,275,3.87e-34,122
SM_b20039,BAB_RS24970,58.744,446,183,1,20,464,36,481,0.0,551
SM_b20040,BAB_RS24965,65.035,286,99,1,1,286,1,285,1.03e-111,321
SM_b20042,BAB_RS28870,43.523,386,186,5,1,385,20,374,2.46e-88,268
SM_b20044,BAB_RS26375,43.230,421,202,4,1,421,1,384,1.34e-101,305
SM_b20045,BAB_RS31885,39.766,342,183,6,1,333,1,328,3.07e-74,229
SM_b20046,BAB_RS31880,56.579,380,158,4,23,397,20,397,9.92e-151,429
SM_b20048,BAB_RS27845,59.052,232,95,0,1,232,14,245,1.34e-95,276
SM_b20049,BAB_RS21935,26.699,618,419,9,49,642,82,689,4.00e-64,221
SM_b20054,BAB_RS26315,35.354,99,61,2,2,100,39,134,5.31e-08,48.9
SM_b20055,BAB_RS22325,24.887,221,164,2,101,320,104,323,7.79e-20,85.1
SM_b20056,BAB_RS28670,69.006,342,105,1,1,341,1,342,0.0,501
SM_b20057,BAB_RS28675,83.758,314,51,0,31,344,16,329,3.40e-176,489
SM_b20058,BAB_RS28680,76.892,251,58,0,1,251,1,251,2.47e-136,382
SM_b20059,BAB_RS31180,32.039,103,64,3,56,152,86,188,7.57e-09,51.6
SM_b20069,BAB_RS29920,38.495,465,266,8,9,460,6,463,4.10e-85,266
SM_b20072,BAB_RS23780,33.003,303,186,9,1,293,1,296,1.30e-41,144
SM_b20073,BAB_RS26510,36.066,244,147,7,40,281,5,241,4.19e-37,129
SM_b20076,BAB_RS24440,34.225,187,119,4,11,194,11,196,2.10e-23,94.4
SM_b20077,BAB_RS17695,29.851,201,127,6,357,548,247,442,3.43e-08,52.4
SM_b20078,BAB_RS17700,31.034,203,132,3,4,204,9,205,7.76e-28,101
SM_b20080,BAB_RS30230,27.895,380,224,14,12,379,25,366,2.61e-18,82.0
SM_b20088,BAB_RS20255,33.005,203,133,2,8,208,14,215,1.34e-26,105
