Abortus2308|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS10420,OANT_RS00025,92.600,527,32,2,20,546,1,520,0.0,995
BAB_RS10425,OANT_RS00030,97.581,372,9,0,1,372,1,372,0.0,735
BAB_RS10435,OANT_RS00035,92.147,382,30,0,1,382,1,382,0.0,662
BAB_RS15955,OANT_RS00040,88.672,256,29,0,5,260,1,256,4.74e-170,467
BAB_RS15960,OANT_RS00060,87.421,318,40,0,1,318,1,318,0.0,570
BAB_RS15965,OANT_RS00065,90.741,540,50,0,2,541,14,553,0.0,1022
BAB_RS15970,OANT_RS00070,94.444,378,21,0,1,378,1,378,0.0,725
BAB_RS15975,OANT_RS00075,96.712,365,12,0,1,365,1,365,0.0,704
BAB_RS15980,OANT_RS00080,81.626,615,113,0,1,615,1,615,0.0,1076
BAB_RS15985,OANT_RS00085,89.194,620,67,0,1,620,1,620,0.0,1164
BAB_RS15990,OANT_RS00235,83.333,66,11,0,1,66,1,66,2.43e-38,119
BAB_RS16000,OANT_RS00225,95.068,365,18,0,20,384,4,368,0.0,694
BAB_RS16005,OANT_RS00220,89.773,264,27,0,1,264,1,264,1.50e-171,471
BAB_RS16010,OANT_RS00215,94.425,287,16,0,1,287,1,287,0.0,556
BAB_RS16015,OANT_RS00210,91.756,655,54,0,19,673,1,655,0.0,1165
BAB_RS16020,OANT_RS00205,95.140,535,26,0,1,535,1,535,0.0,1051
BAB_RS16025,OANT_RS00200,96.311,244,9,0,1,244,144,387,6.26e-176,486
BAB_RS16030,OANT_RS00185,70.079,254,76,0,1,254,1,254,1.03e-127,364
BAB_RS16035,OANT_RS00175,100.000,25,0,0,1,25,1,25,1.46e-12,50.8
BAB_RS16040,OANT_RS00170,91.358,81,7,0,1,81,1,81,3.67e-44,138
BAB_RS16045,OANT_RS00165,94.209,449,26,0,1,449,1,449,0.0,847
BAB_RS16050,OANT_RS00160,90.187,214,21,0,6,219,1,214,1.37e-131,366
BAB_RS16055,OANT_RS00155,97.703,566,13,0,1,566,1,566,0.0,1113
BAB_RS16060,OANT_RS00145,86.310,336,46,0,4,339,1,336,0.0,523
BAB_RS16065,OANT_RS00140,86.395,294,40,0,1,294,1,294,0.0,516
BAB_RS16070,OANT_RS00130,88.056,427,43,1,1,427,1,419,0.0,781
BAB_RS16075,OANT_RS00125,97.512,201,5,0,1,201,1,201,1.08e-143,395
BAB_RS16080,OANT_RS00120,98.131,107,2,0,1,107,1,107,2.40e-72,207
BAB_RS16085,OANT_RS00115,89.587,605,60,2,1,602,1,605,0.0,1074
BAB_RS16090,OANT_RS00110,85.821,134,19,0,1,134,1,134,9.22e-87,246
BAB_RS16095,OANT_RS00105,84.444,315,49,0,1,315,1,315,0.0,525
