Melitensis16M|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00020,AYT27_RS08715,90.670,418,39,0,1,418,4,421,0.0,780
BME_RS00030,AYT27_RS08710,53.917,434,200,0,9,442,2,435,2.84e-172,486
BME_RS00035,AYT27_RS08705,65.574,610,210,0,9,618,4,613,0.0,840
BME_RS00040,AYT27_RS08700,52.885,208,98,0,2,209,4,211,1.54e-76,225
BME_RS00045,AYT27_RS08695,76.981,265,60,1,1,265,1,264,4.40e-152,421
BME_RS00050,AYT27_RS08690,62.951,305,97,2,1,293,1,301,1.63e-134,379
BME_RS00055,AYT27_RS08480,51.453,344,167,0,1,344,1,344,5.99e-131,374
BME_RS00060,AYT27_RS08485,65.748,254,87,0,1,254,1,254,1.69e-119,338
BME_RS00065,AYT27_RS08490,59.655,290,113,2,1,286,1,290,3.10e-111,320
BME_RS00070,AYT27_RS08495,55.254,295,132,0,23,317,27,321,4.37e-115,332
BME_RS00095,AYT27_RS06150,22.768,224,158,4,28,251,27,235,1.53e-10,57.0
BME_RS00105,AYT27_RS04380,30.693,101,70,0,15,115,21,121,4.30e-09,52.0
BME_RS00110,AYT27_RS01985,35.597,486,291,9,15,491,2,474,1.43e-93,288
BME_RS00120,AYT27_RS02775,31.020,245,159,6,8,251,9,244,9.32e-30,108
BME_RS00140,AYT27_RS02775,30.041,243,164,3,2,244,6,242,7.76e-33,116
BME_RS00145,AYT27_RS04860,79.167,24,5,0,1,24,1,24,6.66e-09,40.4
BME_RS00155,AYT27_RS08520,50.949,316,154,1,21,336,19,333,2.34e-116,338
BME_RS00160,AYT27_RS08525,44.357,381,178,2,5,385,8,354,8.28e-117,340
BME_RS00170,AYT27_RS08535,57.806,237,99,1,1,236,1,237,9.66e-107,311
BME_RS00175,AYT27_RS08540,77.287,317,72,0,1,317,1,317,3.94e-180,496
BME_RS00180,AYT27_RS08545,57.282,309,128,3,1,307,1,307,1.94e-117,337
BME_RS00190,AYT27_RS08550,50.270,185,89,1,14,195,12,196,1.02e-67,202
BME_RS00195,AYT27_RS08555,60.541,370,141,1,12,376,5,374,1.15e-161,454
BME_RS00200,AYT27_RS05535,29.487,234,158,3,189,420,288,516,9.80e-27,108
BME_RS00205,AYT27_RS08290,55.172,87,35,1,8,94,6,88,3.53e-31,102
BME_RS00210,AYT27_RS08295,60.766,209,79,1,1,209,1,206,5.38e-95,271
BME_RS00215,AYT27_RS08300,76.923,325,75,0,1,325,1,325,0.0,551
