Melitensis16M,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BME_RS00005,SMc02794,2.65e-160,448,68.652,1.25e-160,448,68.652
BME_RS00010,SMc02795,5.27e-67,200,52.299,1.52e-68,203,52.299
BME_RS00020,SMc02796,0,815,95.455,0,815,95.455
BME_RS00030,SMc02797,4.79e-151,434,53.636,2.4e-151,434,53.636
BME_RS00035,SMc02798,0,850,67.049,0,828,67.049
BME_RS00040,SMc02799,1.73e-64,196,49.749,8.76e-65,196,49.749
BME_RS00045,SMc02800,2.11e-142,398,76.245,1.06e-142,398,76.245
BME_RS00050,SMc02801,5.36e-126,358,61.149,2.74e-126,358,61.149
BME_RS00055,SMc02802,1.33e-100,298,44.606,6.62e-101,298,44.606
BME_RS00060,SMc03828,6.35e-148,412,76.806,3.21e-148,412,76.806
BME_RS00065,SMc03829,2.12e-158,441,83.276,1.44e-161,448,83.276
BME_RS00070,SMc03830,0,504,77.918,1.41e-172,478,80.743
BME_RS00085,SMc04402,0,584,73.298,0,597,73.298
BME_RS00090,SMc04401,2.56e-174,486,71.429,1.27e-174,486,71.429
BME_RS00095,SMc04400,1.02e-179,498,71.471,1.12e-175,487,71.471
BME_RS00100,SMc04399,0,853,81.132,0,853,81.132
BME_RS00105,SMc04398,1.16e-50,164,71.171,5.88e-51,164,71.171
BME_RS00110,SMc04397,0,783,75.198,0,809,75.198
BME_RS00115,SMc04392,0,751,73.939,0,737,73.939
BME_RS00120,SMc04391,4.82e-114,325,70.703,1.12e-107,308,70.703
BME_RS00150,SMc00682,0,516,65.116,0,520,65.116
BME_RS00155,SMc00683,2.39e-134,385,56.16,1.17e-134,385,56.16
BME_RS00160,SMc00684,1.19e-156,444,61.257,7.66e-159,448,59.948
BME_RS00165,SMc00688,3.71e-27,91.7,60.87,1.9e-27,91.7,60.87
BME_RS00170,SMc00689,4.88e-109,327,48.747,2.63e-110,329,55.088
BME_RS00175,SMc00690,6.96e-176,487,71.609,3.37e-164,456,71.609
BME_RS00180,SMc00691,7.72e-127,362,60.797,1.58e-115,332,60.797
BME_RS00185,SMc00692,1.58e-08,43.1,36.957,6.53e-09,43.1,36.957
BME_RS00190,SMc00695,5.86e-64,194,52.273,2.84e-64,194,52.273
BME_RS00195,SMc00696,0,519,70.442,8.94e-178,496,70.442
BME_RS00200,SMc00697,0,572,66.588,0,558,66.588
BME_RS00205,SMc00698,5.83e-39,123,64.286,2.64e-39,123,64.286
BME_RS00210,SMc00699,2.97e-84,245,63.934,1.31e-84,245,63.934
BME_RS00215,SMc00700,0,603,87.462,0,603,87.462
BME_RS00220,SMc00701,0,915,71.197,0,893,72.471
BME_RS00230,SM_b20729,1.3e-19,79.7,42.478,3.63e-20,79.7,42.478
