O_anthropi|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00020,BME_RS09620,94.318,88,5,0,1,88,1,88,9.40e-55,161
OANT_RS00025,BME_RS09615,92.600,527,32,2,1,520,20,546,0.0,995
OANT_RS00030,BME_RS09610,97.849,372,8,0,1,372,1,372,0.0,737
OANT_RS00035,BME_RS09605,92.147,382,30,0,1,382,1,382,0.0,662
OANT_RS00040,BME_RS09600,88.672,256,29,0,1,256,5,260,2.97e-170,467
OANT_RS00060,BME_RS09595,87.736,318,39,0,1,318,1,318,0.0,584
OANT_RS00065,BME_RS09590,90.556,540,51,0,14,553,2,541,0.0,1019
OANT_RS00070,BME_RS09585,94.709,378,20,0,1,378,1,378,0.0,727
OANT_RS00075,BME_RS09580,96.438,365,13,0,1,365,1,365,0.0,704
OANT_RS00080,BME_RS09575,81.138,615,113,1,1,615,1,612,0.0,1065
OANT_RS00085,BME_RS09570,89.355,620,66,0,1,620,1,620,0.0,1167
OANT_RS00090,BME_RS09430,86.364,198,25,2,1,197,1,197,6.69e-119,333
OANT_RS00095,BME_RS09435,90.283,247,24,0,1,247,1,247,4.96e-166,456
OANT_RS00100,BME_RS09440,93.728,287,18,0,1,287,1,287,0.0,566
OANT_RS00105,BME_RS09445,83.838,297,48,0,1,297,1,297,9.19e-175,483
OANT_RS00110,BME_RS09450,85.821,134,19,0,1,134,1,134,5.87e-87,246
OANT_RS00115,BME_RS09455,90.099,606,55,4,1,605,1,602,0.0,1061
OANT_RS00120,BME_RS09460,98.131,107,2,0,1,107,1,107,1.52e-72,207
OANT_RS00125,BME_RS09465,97.015,201,6,0,1,201,1,201,7.73e-143,393
OANT_RS00130,BME_RS09470,88.056,427,43,1,1,419,1,427,0.0,781
OANT_RS00135,BME_RS16840,30.189,159,108,2,2,157,3,161,1.51e-19,79.0
OANT_RS00140,BME_RS09475,86.054,294,41,0,1,294,1,294,0.0,513
OANT_RS00145,BME_RS09480,86.310,336,46,0,1,336,4,339,0.0,527
OANT_RS00155,BME_RS09485,98.057,566,11,0,1,566,1,566,0.0,1117
OANT_RS00160,BME_RS09490,90.187,214,21,0,1,214,6,219,4.71e-139,384
OANT_RS00165,BME_RS09495,94.209,449,26,0,1,449,1,449,0.0,817
OANT_RS00170,BME_RS09500,91.358,81,7,0,1,81,1,81,7.00e-44,137
OANT_RS00175,BME_RS09505,100.000,25,0,0,1,25,1,25,9.30e-13,50.8
OANT_RS00180,BME_RS06620,24.038,208,142,5,61,257,16,218,1.57e-11,59.3
OANT_RS00185,BME_RS09510,69.252,361,111,0,1,361,1,361,3.22e-179,499
OANT_RS00190,BME_RS13515,26.715,277,180,4,16,278,34,301,1.46e-21,89.0
OANT_RS00195,BME_RS16855,94.030,335,20,0,328,662,1,335,0.0,652
OANT_RS00200,BME_RS09525,96.606,383,13,0,5,387,10,392,0.0,763
OANT_RS00205,BME_RS09530,94.393,535,30,0,1,535,1,535,0.0,1045
OANT_RS00210,BME_RS09535,91.756,655,54,0,1,655,19,673,0.0,1164
OANT_RS00215,BME_RS09540,94.077,287,17,0,1,287,1,287,0.0,545
OANT_RS00220,BME_RS16860,83.333,150,25,0,1,150,1,150,4.26e-88,259
OANT_RS00225,BME_RS09555,95.380,368,17,0,1,368,1,368,0.0,701
OANT_RS00235,BME_RS09565,83.333,66,11,0,1,66,1,66,1.55e-38,119
OANT_RS00245,BME_RS09425,67.913,321,101,1,1,319,1,321,6.61e-146,410
OANT_RS00250,BME_RS09420,85.757,337,46,1,1,335,1,337,0.0,616
OANT_RS00255,BME_RS09415,92.413,659,50,0,1,659,1,659,0.0,1221
OANT_RS00260,BME_RS09410,87.560,209,26,0,1,209,1,209,3.97e-133,369
OANT_RS00265,BME_RS09405,81.967,122,21,1,1,122,1,121,6.10e-71,204
OANT_RS00270,BME_RS09400,59.504,242,81,7,1,235,1,232,4.86e-52,165
OANT_RS00275,BME_RS09395,89.671,639,66,0,1,639,1,639,0.0,1153
OANT_RS00280,BME_RS09390,83.739,1562,245,3,22,1578,22,1579,0.0,2554
OANT_RS00285,BME_RS09385,90.871,241,22,0,1,241,1,241,3.78e-168,460
OANT_RS00290,BME_RS09380,57.576,66,28,0,1,66,1,66,6.79e-16,62.0
OANT_RS00295,BME_RS09375,86.826,167,22,0,1,167,1,167,3.18e-107,300
OANT_RS00300,BME_RS09370,72.515,342,86,2,1,342,1,334,0.0,512
OANT_RS00305,BME_RS09365,66.400,125,42,0,1,125,1,125,4.42e-54,163
OANT_RS00310,BME_RS00115,23.507,536,314,16,20,517,14,491,9.51e-22,94.7
OANT_RS00320,BME_RS09360,89.231,130,14,0,1,130,1,130,6.28e-84,238
OANT_RS00325,BME_RS03950,44.578,83,46,0,1,83,1,83,1.57e-21,79.3
OANT_RS00330,BME_RS09355,93.059,389,25,2,1,389,1,387,0.0,688
