Melitensis16M|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00005,BAB_RS25775,99.707,341,1,0,1,341,1,341,0.0,689
BME_RS00010,BAB_RS25770,100.000,178,0,0,1,178,1,178,8.66e-130,358
BME_RS00020,BAB_RS25760,100.000,418,0,0,1,418,1,418,0.0,844
BME_RS00025,BAB_RS25755,99.786,468,1,0,1,468,1,468,0.0,978
BME_RS00030,BAB_RS25750,99.774,442,1,0,1,442,1,442,0.0,894
BME_RS00035,BAB_RS25745,99.528,636,3,0,1,636,1,636,0.0,1282
BME_RS00040,BAB_RS25740,100.000,213,0,0,1,213,1,213,2.20e-157,431
BME_RS00045,BAB_RS25735,99.623,265,1,0,1,265,1,265,0.0,536
BME_RS00050,BAB_RS25730,99.659,293,1,0,1,293,1,293,0.0,586
BME_RS00055,BAB_RS25725,99.712,347,1,0,1,347,1,347,0.0,692
BME_RS00060,BAB_RS25720,98.864,264,3,0,1,264,1,264,0.0,522
BME_RS00065,BAB_RS25715,100.000,294,0,0,1,294,1,294,0.0,566
BME_RS00070,BAB_RS25710,99.377,321,2,0,1,321,1,321,0.0,629
BME_RS00075,BAB_RS32995,100.000,69,0,0,1,69,1,69,8.96e-48,142
BME_RS00080,BAB_RS25705,100.000,340,0,0,1,340,1,340,0.0,696
BME_RS00085,BAB_RS25700,99.743,389,1,0,1,389,1,389,0.0,798
BME_RS00090,BAB_RS25695,99.716,352,1,0,1,352,1,352,0.0,707
BME_RS00095,BAB_RS25690,98.799,333,4,0,1,333,1,333,0.0,660
BME_RS00100,BAB_RS25685,99.454,366,2,0,1,366,1,366,0.0,750
BME_RS00105,BAB_RS25675,99.091,110,1,0,1,110,1,110,4.49e-74,223
BME_RS00110,BAB_RS25670,100.000,506,0,0,1,506,1,506,0.0,1027
BME_RS00115,BAB_RS25665,99.595,494,2,0,1,494,1,494,0.0,1008
BME_RS00120,BAB_RS25660,99.606,254,1,0,1,254,1,254,0.0,500
BME_RS00125,BAB_RS25655,100.000,102,0,0,1,102,1,102,8.22e-66,216
BME_RS00130,BAB_RS25650,98.473,131,2,0,1,131,1,131,8.86e-90,253
BME_RS00135,BAB_RS25645,92.593,27,2,0,1,27,1,27,5.66e-13,58.9
BME_RS00140,BAB_RS25640,99.213,254,2,0,1,254,1,254,0.0,512
BME_RS00145,BAB_RS25635,100.000,25,0,0,1,25,1,25,5.85e-12,48.9
BME_RS00150,BAB_RS25630,98.966,387,4,0,1,387,1,387,0.0,786
BME_RS00155,BAB_RS25625,99.730,371,1,0,1,371,1,371,0.0,763
BME_RS00160,BAB_RS25620,99.231,390,1,1,1,388,1,390,0.0,780
BME_RS00165,BAB_RS25615,100.000,78,0,0,1,78,1,78,8.79e-56,163
BME_RS00170,BAB_RS25610,99.256,403,3,0,1,403,1,403,0.0,821
BME_RS00175,BAB_RS25605,99.685,317,1,0,1,317,1,317,0.0,646
BME_RS00180,BAB_RS25600,99.674,307,1,0,1,307,1,307,0.0,616
BME_RS00185,BAB_RS25595,98.333,60,1,0,1,60,1,60,7.63e-38,116
BME_RS00190,BAB_RS25590,100.000,200,0,0,1,200,1,200,2.44e-147,404
BME_RS00195,BAB_RS25585,99.471,378,2,0,1,378,1,378,0.0,754
BME_RS00200,BAB_RS25580,100.000,435,0,0,1,435,1,435,0.0,872
BME_RS00205,BAB_RS25575,99.038,104,1,0,1,104,1,104,1.72e-73,209
BME_RS00210,BAB_RS25570,100.000,209,0,0,1,209,1,209,2.46e-161,440
BME_RS00215,BAB_RS25565,100.000,328,0,0,1,328,1,328,0.0,680
BME_RS00220,BAB_RS25560,99.843,637,1,0,1,637,1,637,0.0,1291
BME_RS00225,BAB_RS25555,100.000,330,0,0,1,330,1,330,0.0,671
BME_RS00230,BAB_RS25550,98.795,249,3,0,1,249,1,249,0.0,518
BME_RS00235,BAB_RS25545,99.011,809,3,1,1,809,1,804,0.0,1589
BME_RS00240,BAB_RS25540,100.000,140,0,0,1,140,1,140,1.52e-101,283
BME_RS00245,BAB_RS25535,99.631,271,1,0,1,271,1,271,0.0,548
BME_RS00250,BAB_RS25530,100.000,97,0,0,1,97,1,97,9.18e-69,197
BME_RS00255,BAB_RS25525,99.552,223,1,0,1,223,1,223,6.02e-159,435
BME_RS00265,BAB_RS25510,99.421,518,3,0,1,518,1,518,0.0,1020
BME_RS00270,BAB_RS25505,98.230,113,2,0,1,113,1,113,2.38e-79,226
BME_RS00275,BAB_RS25500,98.329,359,6,0,1,359,1,359,0.0,709
BME_RS00280,BAB_RS25495,96.639,119,4,0,1,119,1,119,6.32e-76,229
BME_RS00285,BAB_RS25490,100.000,181,0,0,1,181,1,181,2.25e-133,367
BME_RS00290,BAB_RS25485,100.000,227,0,0,1,227,1,227,2.05e-168,459
BME_RS00295,BAB_RS25480,100.000,153,0,0,1,153,1,153,6.88e-108,300
BME_RS00300,BAB_RS25475,100.000,268,0,0,1,268,1,268,0.0,554
BME_RS00305,BAB_RS25470,99.567,231,1,0,1,231,1,231,8.98e-172,468
BME_RS00310,BAB_RS25465,99.123,228,2,0,1,228,1,228,4.11e-155,426
BME_RS00315,BAB_RS25460,100.000,90,0,0,1,90,1,90,7.46e-64,184
BME_RS00320,BAB_RS25455,100.000,219,0,0,1,219,1,219,1.78e-160,439
BME_RS00325,BAB_RS25450,99.099,333,3,0,1,333,1,333,0.0,658
BME_RS00330,BAB_RS25445,100.000,300,0,0,1,300,1,300,0.0,620
BME_RS00335,BAB_RS25440,100.000,260,0,0,1,260,1,260,0.0,529
BME_RS00340,BAB_RS25435,100.000,176,0,0,1,176,1,176,1.62e-130,360
BME_RS00345,BAB_RS25430,100.000,96,0,0,1,96,1,96,3.41e-64,186
BME_RS00350,BAB_RS25425,100.000,25,0,0,1,25,1,25,9.35e-13,50.8
BME_RS00355,BAB_RS25420,100.000,186,0,0,1,186,1,186,6.16e-140,384
BME_RS00360,BAB_RS25415,100.000,339,0,0,1,339,1,339,0.0,692
BME_RS00365,BAB_RS25410,99.377,321,2,0,1,321,1,321,0.0,653
BME_RS00370,BAB_RS25405,99.728,368,1,0,1,368,1,368,0.0,753
BME_RS00375,BAB_RS25400,98.785,247,3,0,1,247,1,247,0.0,495
BME_RS00380,BAB_RS25395,100.000,178,0,0,1,178,1,178,8.49e-129,355
BME_RS00385,BAB_RS25390,98.646,886,3,2,1,877,1,886,0.0,1758
BME_RS00390,BAB_RS25385,99.525,421,2,0,1,421,1,421,0.0,846
BME_RS00395,BAB_RS25380,100.000,60,0,0,1,60,1,60,8.88e-40,121
BME_RS00400,BAB_RS25375,100.000,466,0,0,1,466,1,466,0.0,957
BME_RS00405,BAB_RS25370,100.000,238,0,0,1,238,1,238,1.22e-175,479
BME_RS00410,BAB_RS25365,100.000,161,0,0,1,161,1,161,7.81e-117,324
BME_RS00415,BAB_RS25360,100.000,286,0,0,1,286,1,286,0.0,570
BME_RS00420,BAB_RS25355,99.286,280,2,0,1,280,1,280,0.0,567
BME_RS00425,BAB_RS25350,100.000,67,0,0,1,67,1,67,2.09e-42,128
BME_RS00430,BAB_RS25345,98.969,194,2,0,1,194,1,194,1.03e-142,392
BME_RS00435,BAB_RS25340,99.206,252,2,0,1,252,1,252,0.0,514
BME_RS00440,BAB_RS25335,90.000,120,6,1,1,114,1,120,4.70e-77,220
BME_RS00445,BAB_RS25330,100.000,232,0,0,1,232,1,232,2.03e-176,480
BME_RS00450,BAB_RS25325,99.597,248,1,0,1,248,1,248,3.38e-177,484
BME_RS00455,BAB_RS25320,100.000,309,0,0,1,309,1,309,0.0,606
BME_RS00460,BAB_RS25315,100.000,291,0,0,1,291,1,291,0.0,599
BME_RS00465,BAB_RS25310,99.388,327,0,1,1,327,1,325,0.0,639
BME_RS00470,BAB_RS25305,100.000,149,0,0,1,149,1,149,2.25e-105,294
BME_RS00475,BAB_RS25300,99.766,427,1,0,1,427,1,427,0.0,865
BME_RS00480,BAB_RS25295,100.000,435,0,0,1,435,1,435,0.0,864
BME_RS00485,BAB_RS25290,94.138,290,17,0,1,290,1,290,0.0,549
BME_RS00490,BAB_RS25285,100.000,227,0,0,1,227,1,227,9.71e-170,463
