B_henselae|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
AYT27_RS00005,AYT27_RS00005,100.000,274,0,0,1,274,1,274,0.0,561
AYT27_RS00010,AYT27_RS00010,100.000,198,0,0,1,198,1,198,2.85e-146,400
AYT27_RS00015,AYT27_RS00015,100.000,293,0,0,1,293,1,293,0.0,615
AYT27_RS00020,AYT27_RS00020,100.000,195,0,0,1,195,1,195,1.49e-142,391
AYT27_RS00025,AYT27_RS00025,100.000,235,0,0,1,235,1,235,4.81e-178,484
AYT27_RS00030,AYT27_RS00030,100.000,968,0,0,1,968,1,968,0.0,1996
AYT27_RS00035,AYT27_RS00035,100.000,286,0,0,1,286,1,286,0.0,589
AYT27_RS00040,AYT27_RS00040,100.000,257,0,0,1,257,1,257,0.0,501
AYT27_RS00045,AYT27_RS00045,100.000,613,0,0,1,613,1,613,0.0,1217
AYT27_RS00050,AYT27_RS00050,100.000,163,0,0,1,163,1,163,8.22e-117,323
AYT27_RS00055,AYT27_RS00055,100.000,282,0,0,1,282,1,282,0.0,581
AYT27_RS00060,AYT27_RS00060,100.000,310,0,0,1,310,1,310,0.0,642
AYT27_RS00065,AYT27_RS00065,100.000,98,0,0,1,98,1,98,5.07e-68,194
AYT27_RS00070,AYT27_RS00070,100.000,92,0,0,1,92,1,92,3.94e-65,187
AYT27_RS00075,AYT27_RS00075,100.000,216,0,0,1,216,1,216,2.55e-166,452
AYT27_RS00080,AYT27_RS00080,100.000,202,0,0,1,202,1,202,4.94e-151,413
AYT27_RS00085,AYT27_RS00085,100.000,264,0,0,1,264,1,264,0.0,532
AYT27_RS00090,AYT27_RS00090,100.000,63,0,0,1,63,1,63,2.25e-42,127
AYT27_RS00095,AYT27_RS00095,100.000,154,0,0,1,154,1,154,3.78e-110,305
AYT27_RS00100,AYT27_RS00100,100.000,167,0,0,1,167,1,167,1.73e-126,348
AYT27_RS00105,AYT27_RS00105,100.000,408,0,0,1,408,1,408,0.0,841
AYT27_RS00110,AYT27_RS00110,100.000,212,0,0,1,212,1,212,4.26e-154,421
AYT27_RS00115,AYT27_RS00115,100.000,553,0,0,1,553,1,553,0.0,1148
AYT27_RS00120,AYT27_RS00120,100.000,525,0,0,1,525,1,525,0.0,1084
AYT27_RS00125,AYT27_RS00125,100.000,107,0,0,1,107,1,107,6.20e-78,220
AYT27_RS00130,AYT27_RS00130,100.000,1160,0,0,1,1160,1,1160,0.0,2404
