S_meliloti|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20002,CC_3134,45.804,286,151,3,4,287,15,298,1.78e-84,258
SM_b20004,CC_2517,35.889,287,177,3,1,285,1,282,1.17e-47,158
SM_b20005,CC_1124,31.633,196,117,7,1,187,3,190,1.08e-20,82.4
SM_b20009,CC_3045,40.217,276,160,3,1,273,1,274,9.46e-50,164
SM_b20014,CC_1627,41.088,331,188,2,7,331,4,333,6.32e-79,241
SM_b20015,CC_0861,30.464,302,189,5,28,318,41,332,2.07e-14,69.7
SM_b20016,CC_0861,29.167,288,195,4,47,330,47,329,1.54e-12,64.3
SM_b20017,CC_0860,36.204,511,303,10,1,500,1,499,9.78e-82,260
SM_b20018,CC_0859,28.333,180,121,4,61,233,68,246,1.19e-08,52.4
SM_b20019,CC_0340,38.035,397,212,7,6,374,3,393,3.17e-60,197
SM_b20020,CC_1727,35.423,319,198,4,372,684,126,442,1.18e-52,185
SM_b20021,CC_0424,41.060,151,88,1,6,156,12,161,9.11e-36,119
SM_b20023,CC_2369,58.361,1208,472,10,7,1204,10,1196,0.0,1318
SM_b20024,CC_0230,38.793,232,126,6,79,301,33,257,8.95e-41,144
SM_b20029,CC_1784,49.180,61,29,2,42,101,2,61,3.17e-14,61.6
SM_b20030,CC_3266,49.097,277,135,3,13,284,8,283,8.97e-85,253
SM_b20033,CC_2608,34.054,185,122,0,9,193,22,206,9.47e-35,120
SM_b20035,CC_1448,38.462,416,236,9,16,420,16,422,4.02e-78,245
SM_b20036,CC_1446,27.211,294,210,3,24,316,20,310,4.73e-46,156
SM_b20037,CC_0003,32.963,270,166,6,8,272,9,268,1.40e-17,77.8
SM_b20039,CC_2162,28.291,357,225,12,132,463,58,408,4.88e-31,121
SM_b20045,CC_3752,31.818,110,73,2,98,205,61,170,7.73e-09,52.8
SM_b20046,CC_3753,28.980,245,145,8,116,353,6,228,1.46e-20,87.4
SM_b20048,CC_0962,45.455,231,126,0,3,233,5,235,1.47e-68,207
SM_b20049,CC_3200,26.170,684,435,14,2,632,11,677,4.28e-59,207
SM_b20054,CC_2395,26.715,277,172,9,11,272,12,272,1.23e-14,69.3
SM_b20055,CC_3367,38.298,235,137,4,96,324,90,322,5.87e-43,148
SM_b20057,CC_1192,37.987,308,174,5,36,339,42,336,1.84e-39,139
SM_b20058,CC_1193,35.417,240,145,3,17,252,19,252,8.95e-34,120
SM_b20059,CC_3495,32.370,173,98,9,55,222,49,207,1.21e-10,57.4
SM_b20062,CC_0874,70.667,75,22,0,1,75,1,75,8.83e-26,88.2
SM_b20063,CC_0873,40.000,95,55,2,5,98,2,95,5.50e-20,74.3
SM_b20072,CC_0859,28.866,291,199,5,15,303,34,318,1.83e-27,106
SM_b20073,CC_2655,36.437,247,144,6,46,281,12,256,1.71e-36,128
SM_b20076,CC_3175,34.715,193,124,2,3,194,4,195,2.87e-28,108
SM_b20078,CC_1150,29.688,192,128,1,4,195,4,188,1.63e-18,77.0
SM_b20079,CC_2610,33.103,580,297,14,62,590,3,542,8.80e-49,181
SM_b20080,CC_2837,39.332,389,192,4,1,389,1,345,1.48e-86,263
SM_b20088,CC_1997,43.655,197,111,0,12,208,19,215,5.47e-44,154
SM_b20092,CC_0523,53.469,245,105,3,12,248,4,247,1.34e-80,240
SM_b20094,CC_0522,35.714,434,264,6,85,508,9,437,1.02e-74,244
SM_b20095,CC_2100,28.822,569,374,13,5,554,4,560,1.68e-63,216
SM_b20097,CC_1219,32.000,450,248,8,2,409,34,467,1.80e-60,200
SM_b20099,CC_2285,30.769,533,279,16,3,491,2,488,3.21e-60,204
SM_b20101,CC_3174,27.487,382,221,10,37,403,28,368,4.52e-29,114
SM_b20102,CC_3315,37.952,332,158,7,334,618,146,476,1.86e-61,209
SM_b20103,CC_2569,26.554,354,224,13,169,505,9,343,2.40e-14,72.4
