Abortus2308|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS10420,CC_0008,38.716,483,268,10,62,539,27,486,1.81e-92,288
BAB_RS10425,CC_0156,53.763,372,172,0,1,372,1,372,1.58e-144,411
BAB_RS10435,CC_0159,44.180,378,197,7,19,384,9,384,7.77e-81,249
BAB_RS15955,CC_3726,53.696,257,107,3,4,260,6,250,3.73e-77,231
BAB_RS15960,CC_2147,25.726,241,150,8,57,286,67,289,1.67e-15,72.8
BAB_RS15965,CC_2669,35.371,229,132,7,301,523,18,236,4.67e-32,123
BAB_RS16005,CC_2169,38.281,256,156,2,7,260,5,260,7.96e-54,172
BAB_RS16010,CC_0467,41.516,277,159,3,1,275,1,276,2.64e-63,198
BAB_RS16015,CC_2168,54.476,659,283,8,19,669,1,650,0.0,602
BAB_RS16020,CC_2170,68.785,535,162,1,1,535,1,530,0.0,749
BAB_RS16025,CC_2172,71.008,238,67,1,3,240,141,376,5.18e-119,341
BAB_RS16030,CC_2957,28.054,221,149,4,7,221,39,255,9.07e-14,67.0
BAB_RS16035,CC_t49,80.000,25,5,0,1,25,1,25,1.27e-08,40.8
BAB_RS16045,CC_3589,56.782,435,180,5,17,447,13,443,2.63e-154,442
BAB_RS16050,CC_3588,54.762,210,95,0,9,218,3,212,8.12e-72,214
BAB_RS16055,CC_3587,68.794,564,165,5,5,563,4,561,0.0,757
BAB_RS16060,CC_0425,29.845,258,177,2,44,298,170,426,1.39e-11,62.0
BAB_RS16065,CC_1117,33.529,170,108,3,3,172,35,199,8.30e-18,79.3
BAB_RS16070,CC_3322,36.951,387,226,8,43,427,56,426,3.25e-61,201
BAB_RS16075,CC_0269,61.074,149,58,0,50,198,1,149,8.53e-61,184
BAB_RS16080,CC_0268,44.898,98,47,1,8,98,1,98,7.53e-19,72.0
BAB_RS16085,CC_0267,47.276,569,265,6,9,574,55,591,1.72e-162,475
BAB_RS16090,CC_3657,44.604,139,72,1,1,134,1,139,5.05e-37,120
BAB_RS16095,CC_0266,41.558,308,164,8,19,314,10,313,1.61e-61,195
BAB_RS16100,CC_2933,57.609,276,116,1,4,279,5,279,1.96e-102,298
BAB_RS16105,CC_2934,48.954,239,120,2,5,242,1,238,1.19e-68,209
BAB_RS16110,CC_2935,38.506,174,104,1,1,174,1,171,1.01e-32,114
BAB_RS16120,CC_1773,52.189,297,129,3,5,293,10,301,8.90e-112,326
BAB_RS16130,CC_1771,56.373,204,89,0,6,209,4,207,1.63e-76,226
BAB_RS16135,CC_1770,51.938,129,51,4,2,121,3,129,4.94e-39,124
BAB_RS16145,CC_1603,30.669,538,344,9,114,639,108,628,3.69e-65,223
BAB_RS16150,CC_1604,30.361,415,267,6,1169,1579,1002,1398,6.72e-37,149
BAB_RS16170,CC_3502,43.564,101,56,1,215,315,36,135,1.16e-19,81.3
BAB_RS16180,CC_1315,35.821,134,66,5,3,125,21,145,2.25e-13,60.5
BAB_RS16185,CC_2095,44.355,372,177,5,13,372,12,365,6.71e-99,295
BAB_RS16190,CC_0085,28.315,445,272,17,3,419,27,452,8.65e-24,101
BAB_RS16195,CC_2517,34.386,285,180,2,9,293,7,284,1.58e-42,145
BAB_RS16210,CC_3567,53.219,233,98,3,1,229,1,226,5.73e-84,246
BAB_RS16235,CC_3487,38.579,197,114,3,20,212,30,223,5.52e-34,118
BAB_RS16240,CC_3211,54.753,1094,459,11,4,1077,6,1083,0.0,1139
BAB_RS16245,CC_3212,40.710,479,247,11,21,483,1,458,8.33e-84,263
BAB_RS16250,CC_3213,31.481,162,83,6,99,249,68,212,1.72e-08,50.8
BAB_RS16265,CC_0129,78.218,404,86,1,5,406,4,407,0.0,647
BAB_RS16270,CC_0029,30.952,210,145,0,10,219,1,210,4.42e-30,107
BAB_RS16280,CC_0134,60.263,380,133,5,29,404,26,391,8.98e-169,476
BAB_RS16295,CC_0123,35.833,120,74,1,3,119,10,129,5.15e-22,82.0
BAB_RS16300,CC_0245,48.454,97,46,2,1,96,1,94,4.68e-30,99.8
BAB_RS16310,CC_2368,33.654,104,64,2,1,99,63,166,2.90e-14,62.0
BAB_RS16315,CC_3661,38.418,177,108,1,1,176,1,177,2.21e-31,109
BAB_RS16320,CC_1760,45.509,167,91,0,52,218,31,197,6.17e-47,152
BAB_RS16325,CC_1759,55.607,214,95,0,12,225,13,226,1.80e-65,200
BAB_RS16330,CC_1758,36.471,850,512,12,9,847,6,838,7.77e-103,334
BAB_RS16335,CC_3663,49.027,257,112,6,1,245,32,281,6.49e-70,213
BAB_RS16340,CC_0935,52.273,88,42,0,3,90,1,88,2.17e-24,89.0
BAB_RS16345,CC_0935,50.000,72,35,1,1,72,100,170,4.37e-16,65.9
BAB_RS16350,CC_3664,56.250,96,42,0,32,127,9,104,5.38e-38,122
