Abortus2308|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS10420,SMc01167,66.412,524,159,4,20,543,1,507,0.0,653
BAB_RS10425,SMc00415,79.570,372,76,0,1,372,1,372,0.0,618
BAB_RS10435,SMc02863,58.667,375,151,4,11,383,2,374,7.48e-149,423
BAB_RS15955,SMc02864,73.361,244,65,0,12,255,7,250,1.16e-121,345
BAB_RS15960,SMc02828,50.725,276,134,2,43,318,46,319,1.33e-90,270
BAB_RS15965,SMc02829,76.735,533,124,0,1,533,1,533,0.0,844
BAB_RS15970,SMc02830,75.532,376,91,1,3,378,2,376,0.0,563
BAB_RS15975,SMc02831,73.973,365,90,2,1,365,1,360,0.0,547
BAB_RS15980,SMc02832,37.119,590,344,9,39,614,38,614,9.93e-121,369
BAB_RS15985,SMc02832,49.147,586,288,6,27,608,33,612,0.0,578
BAB_RS16000,SMc00078,69.421,363,111,0,22,384,6,368,0.0,527
BAB_RS16005,SM_b21126,59.302,258,105,0,4,261,3,260,9.22e-107,307
BAB_RS16010,SM_b21125,62.989,281,104,0,3,283,7,287,5.82e-127,360
BAB_RS16015,SM_b21124,61.457,659,248,3,19,671,1,659,0.0,757
BAB_RS16020,SM_b21122,76.636,535,125,0,1,535,1,535,0.0,851
BAB_RS16025,SM_b21121,84.711,242,37,0,3,244,146,387,1.67e-144,407
BAB_RS16035,SMc00435,96.000,25,1,0,1,25,1,25,1.01e-11,48.9
BAB_RS16040,SMc00332,60.377,106,39,2,1,103,1,106,1.08e-26,94.4
BAB_RS16045,SMc00333,81.556,450,80,1,1,447,1,450,0.0,744
BAB_RS16050,SMc00334,73.077,208,56,0,9,216,3,210,2.05e-107,305
BAB_RS16055,SMc00335,86.596,567,75,1,1,566,1,567,0.0,975
BAB_RS16060,SMa1737,29.582,311,202,5,7,309,22,323,2.55e-27,107
BAB_RS16065,SM_b20123,31.776,214,146,0,1,214,3,216,2.96e-25,100
BAB_RS16070,SMc02909,59.184,392,160,0,36,427,21,412,4.75e-171,483
BAB_RS16075,SMc02908,79.602,201,41,0,1,201,1,201,8.05e-120,335
BAB_RS16080,SMc02906,70.093,107,32,0,1,107,1,107,1.97e-50,152
BAB_RS16085,SMc02905,61.120,607,222,5,9,602,19,624,0.0,702
BAB_RS16090,SMc02904,56.716,134,58,0,1,134,108,241,7.62e-53,164
BAB_RS16095,SMc02903,46.250,320,161,6,1,310,1,319,3.17e-88,265
BAB_RS16100,SMc02899,75.627,279,68,0,2,280,4,282,5.42e-163,451
BAB_RS16105,SMc02898,72.131,244,67,1,3,246,5,247,9.99e-122,344
BAB_RS16110,SMc02897,52.551,196,86,2,7,201,6,195,3.82e-62,191
BAB_RS16115,SMc00519,44.340,318,177,0,3,320,3,320,3.69e-79,248
BAB_RS16120,SM_b21487,48.408,314,148,3,12,316,11,319,1.36e-114,335
BAB_RS16130,SM_b21489,58.201,189,78,1,21,209,22,209,6.81e-80,235
BAB_RS16135,SM_b22024,53.659,123,51,3,3,121,13,133,6.07e-42,132
BAB_RS16145,SMc03097,37.304,638,379,8,3,639,1,618,4.80e-126,383
BAB_RS16150,SMc03096,37.912,546,325,7,1039,1579,1333,1869,1.62e-101,358
BAB_RS16155,SM_b21516,50.633,237,102,6,8,240,7,232,6.23e-74,222
BAB_RS16170,SMc01242,48.494,332,163,4,1,332,1,324,3.34e-109,319
BAB_RS16180,SMc00290,34.586,133,69,4,5,127,4,128,1.44e-13,60.8
BAB_RS16185,SMc00876,68.798,391,111,3,1,387,1,384,0.0,529
BAB_RS16190,SMc03925,74.492,541,138,0,3,543,2,542,0.0,869
BAB_RS16195,SMa0557,47.619,294,154,0,1,294,1,294,1.28e-102,299
BAB_RS16205,SMc02167,49.505,202,100,2,26,227,4,203,1.48e-65,199
BAB_RS16210,SMc04240,61.033,213,83,0,17,229,16,228,1.35e-98,284
BAB_RS16215,SMc02319,38.095,63,38,1,1,63,1,62,2.04e-09,45.8
BAB_RS16230,SMc01850,46.250,160,77,2,83,242,182,332,7.44e-37,131
BAB_RS16235,SMc00455,51.942,206,97,1,9,212,6,211,8.03e-71,213
BAB_RS16240,SMc03788,51.590,1132,468,16,4,1077,7,1116,0.0,1087
BAB_RS16245,SMc03789,40.795,478,277,4,7,483,65,537,1.18e-111,338
BAB_RS16250,SMc03790,33.166,199,109,4,98,280,111,301,5.32e-20,85.5
BAB_RS16260,SMc01707,43.373,166,86,2,81,245,30,188,2.98e-43,142
BAB_RS16265,SMc03826,94.815,405,21,0,1,405,1,405,0.0,790
BAB_RS16270,SMc03827,51.832,191,92,0,29,219,23,213,1.20e-62,192
BAB_RS16280,SMc03831,85.195,385,57,0,27,411,26,410,0.0,703
BAB_RS16290,SMc03832,61.677,167,64,0,1,167,1,167,5.47e-76,222
