Abortus2308|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS10420,BME_RS09615,100.000,546,0,0,1,546,1,546,0.0,1117
BAB_RS10425,BME_RS09610,99.731,372,1,0,1,372,1,372,0.0,749
BAB_RS10435,BME_RS09605,100.000,384,0,0,1,384,1,384,0.0,763
BAB_RS15955,BME_RS09600,100.000,260,0,0,1,260,1,260,0.0,519
BAB_RS15960,BME_RS09595,99.057,318,3,0,1,318,1,318,0.0,647
BAB_RS15965,BME_RS09590,99.445,541,3,0,1,541,1,541,0.0,1098
BAB_RS15970,BME_RS09585,99.736,379,1,0,1,379,1,379,0.0,760
BAB_RS15975,BME_RS09580,99.726,365,1,0,1,365,1,365,0.0,726
BAB_RS15980,BME_RS09575,99.187,615,2,1,1,615,1,612,0.0,1266
BAB_RS15985,BME_RS09570,99.839,622,1,0,1,622,1,622,0.0,1281
BAB_RS15990,BME_RS09565,100.000,66,0,0,1,66,1,66,1.33e-45,136
BAB_RS15995,BME_RS09560,95.690,116,5,0,1,116,1,116,4.65e-80,227
BAB_RS16000,BME_RS09555,99.178,365,3,0,20,384,4,368,0.0,720
BAB_RS16005,BME_RS16860,94.000,150,9,0,1,150,1,150,4.42e-98,285
BAB_RS16010,BME_RS09540,99.652,287,1,0,1,287,1,287,0.0,583
BAB_RS16015,BME_RS09535,99.851,673,1,0,1,673,1,673,0.0,1359
BAB_RS16020,BME_RS09530,98.879,535,6,0,1,535,1,535,0.0,1080
BAB_RS16025,BME_RS09525,99.180,244,2,0,1,244,149,392,0.0,501
BAB_RS16030,BME_RS09510,100.000,254,0,0,1,254,1,254,0.0,519
BAB_RS16035,BME_RS09505,100.000,25,0,0,1,25,1,25,9.30e-13,50.8
BAB_RS16040,BME_RS09500,100.000,127,0,0,1,127,1,127,6.63e-84,238
BAB_RS16045,BME_RS09495,99.556,450,2,0,1,450,1,450,0.0,897
BAB_RS16050,BME_RS09490,99.087,219,2,0,1,219,1,219,3.55e-155,426
BAB_RS16055,BME_RS09485,99.647,566,2,0,1,566,1,566,0.0,1132
BAB_RS16060,BME_RS09480,100.000,339,0,0,1,339,1,339,0.0,650
BAB_RS16065,BME_RS09475,99.331,299,2,0,1,299,1,299,0.0,602
BAB_RS16070,BME_RS09470,100.000,427,0,0,1,427,1,427,0.0,877
BAB_RS16075,BME_RS09465,99.502,201,1,0,1,201,1,201,8.49e-146,400
BAB_RS16080,BME_RS09460,100.000,107,0,0,1,107,1,107,1.55e-73,210
BAB_RS16085,BME_RS09455,99.834,602,1,0,1,602,1,602,0.0,1206
BAB_RS16090,BME_RS09450,100.000,134,0,0,1,134,1,134,2.56e-99,277
BAB_RS16095,BME_RS09445,99.663,297,1,0,1,297,1,297,0.0,605
BAB_RS16100,BME_RS09440,100.000,287,0,0,1,287,1,287,0.0,595
BAB_RS16105,BME_RS09435,100.000,251,0,0,1,251,1,251,0.0,506
BAB_RS16110,BME_RS09430,99.010,202,2,0,1,202,1,202,2.56e-148,407
BAB_RS16115,BME_RS09425,99.688,321,1,0,1,321,1,321,0.0,626
BAB_RS16120,BME_RS09420,100.000,337,0,0,1,337,1,337,0.0,704
BAB_RS16130,BME_RS09410,98.565,209,3,0,1,209,1,209,1.24e-149,410
BAB_RS16135,BME_RS09405,99.174,121,1,0,1,121,1,121,9.14e-85,239
BAB_RS16140,BME_RS09400,72.414,232,2,2,1,170,1,232,3.08e-69,206
